gene_symbol,entrez_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
A2M,2,-0.002040345192393307,-0.01012423759947826,-0.0009029850731167131,0.006832340798434791,0.0024181666532947857,0.0062290908034782645,-0.0058885678839999895,0.00020893348951547832,-0.006315703032695652,0.002291512746246258,0.0004700940411498953,0.001929784913933479,0.0027904662030399977,-0.012569286348260884,-0.0010755641149806094,-0.0038411170155269523,0.005755162748695644,0.006330357623652178,-0.0005261255435933911,0.007204419511130436,-0.011325671100173913,0.0038513471023426064,0.007579993948869567,-0.003305912152526084,0.004977744286573918,0.004685272176678257,0.0038230231345217375,2.300769702200003e-05,-0.004417494785043481,-0.003341782082543825,-0.009380773608086956,-0.0016775575890011275,0.006890104753130433,0.007795357289304334,-0.002992596439787823,-0.0038742190219565225,-0.002372020948424781,-0.010777157269739131,0.007969160944086956,0.010153027513739143,-0.0030015905560930424,0.005042364189469565,0.002537727102978261,0.006390552803826086,-0.0022818264260026093,0.0013747635994430436,-0.0043241271425130436,0.006149965145652171,0.003259428292078263,-0.0033062009425130425,0.003984297770464351,0.015087640123478276,0.0018587402444973922,-0.00821607047773912,-0.013652506728695665,-0.0004922696740662606,0.006365003221043479,-0.008725296359999996,0.020099340986086917,-0.004786792468086954,-0.002572499839037393,-0.004065372496266085,0.009366952786782623,-0.012308784013043469,-0.002683093197750434,0.0022835299435713047,0.00580356334339131,0.007413095440260864,-0.002798325501327957,-0.0029620820175078307,-0.0007706695456620879,0.009126344292782607,-0.0010220194129537913,0.0032282344176600033,0.0010877107295613028,-0.002881750851459132,0.0028682539541460862,-0.0030812529697478268,0.004636542173791313,-0.0008507411195182613,-0.003509535170773046,-0.0014300189299113898,-0.008139004372347842,0.010703963425478259,0.002661143528967305,0.0036890348007139135,-0.003687915526399994,0.006896424822521726,-0.015598953860869541,-0.004183507635037389,0.0025329297301582595,-0.0008476538851283474,0.003760178922238255,0.003152991475308692,0.002081860399446086,-0.0023617531703673004,0.007350712110869574,-0.0008956339348364696,0.007519003106956523,-0.004027950430278252,-0.003470885640013913,0.012627836582173924,-0.00681992276052174,0.005176544900000003,0.0004607261894820004,0.008765747997391318,0.014811298690434785,0.015582840605652203,0.0012399588092358253,-0.002365568454741305,0.00289366685378174,0.00034521277665886977,-0.01075215490243479,-0.0021172453113000003,-0.006068025484173911,-0.005772659176173914,0.0020786669673531354,-0.0014456203455429561,0.0040802746992608715,-0.004426684649652183,-0.0013934056787847805,-0.005554113578782602,-0.0050126296046982596,-0.004100038536040868,-0.001580646453092165,-0.003781267632765217,0.008855265487652163,0.003907317851759989
AANAT,15,-0.002891395996913845,-0.010304333319538464,-0.001798641817648462,0.006042213508769225,0.003057062761123075,0.005380473024153845,-0.005590390889384607,-0.0001283411301030771,-0.005501988029076921,0.002338609114307693,-0.00043557710076003083,0.0013081887497914467,0.0013376258869938725,-0.012573811301538458,-0.0017242054145723091,-0.0019590887760425066,0.00652337731830769,0.007291854557076914,-0.0008925884136000004,0.005614665097538462,-0.009872113196307705,0.004366217508923081,0.009229316953076928,-0.0014196298542915398,0.004584791129538458,0.004329065370307698,0.0028910451200492328,-0.00016915233899846154,-0.005703138798923082,-0.0037917150609692225,-0.008751198964923079,-0.0030476570919953827,0.007590865187538463,0.007113505955692314,-0.0042758413539999976,-0.002061485558683983,-0.002775562220846154,-0.011032494475384616,0.007862191355692305,0.010410152016153848,-0.003822893121615382,0.005264538395538466,0.0024761998892676904,0.0069106829073846115,-0.0024408564989013845,4.377755822384615e-05,-0.004824397791230772,0.005370311032769232,0.0038595009282461493,-0.0035904217372769243,0.004006599843384615,0.015457419452307691,0.0014142077558815386,-0.005725718832615388,-0.013093689313846165,0.0010607583963984618,0.005968070673692307,-0.007299831756153845,0.020313752530769218,-0.0046936039112307655,-0.001646836715318384,-0.0035876218107692313,0.009053666640153852,-0.01178834098307692,-0.001964901915026462,0.003002074597661536,0.004926024612923071,0.007126626733230764,-0.0021298553175996943,-0.003481447824292308,-0.0006458779634553845,0.009375965355538463,0.0005054679887246151,0.0021957832922415363,0.002370611300712309,-0.0013212432929584615,0.002542019378990767,-0.004254618264153847,0.004457379887076919,-0.002473482031163077,-0.004459534008,-0.0015731155227123098,-0.009057472828461545,0.010874509016769231,0.002837766673466152,0.004224518394923078,-0.0038043045290769213,0.006291669262923077,-0.01661009675846153,-0.003789600102615383,0.00316982444782,-0.0005593972977860007,0.0037728936709230743,0.004518230450923077,0.0019299654684504634,-0.0009709617265307686,0.007853582509692309,-0.0012785549618696925,0.007390356521538462,-0.003685515224984617,-0.002201501153040002,0.01260429383307694,-0.005741727985384619,0.00486101728716923,4.1611125748815344e-05,0.008297738981999992,0.015324704033076925,0.01620279901923076,-0.0006391243282224613,-0.0017372538892529224,0.002682115814309229,0.00053435608189723,-0.011645379280923077,-0.0018228623682323085,-0.007676970052923075,-0.004793133373230772,0.0011468857510030773,-0.0020756826854015386,0.002671169341701537,-0.004798761304769232,-0.001920442656652307,-0.0039401466375353815,-0.0035355530618307648,-0.003343418336892309,-0.0008071932177012313,-0.0031556878632461546,0.008417448029692295,0.004004750323384616
AATF,26574,-0.0028975803476399995,-0.010174419425454544,-0.0019795415866047297,0.005888624783272727,0.002864517702009093,0.005541640511181815,-0.005983523258363633,-0.0003737370340429998,-0.00562009903118182,0.002475032965081365,-0.0004402220847060002,0.0011201449845436914,0.001412056435134094,-0.01233711591363638,-0.0015193999929668186,-0.0018767831523528614,0.006527415477090911,0.006989783669818193,-0.0007678361737713633,0.005809477779454547,-0.00952540892390909,0.00425407419645454,0.008992259721090906,-0.0012504415449553635,0.004559185414454544,0.004314166037218178,0.003062304908323636,-0.00010311243111418176,-0.005629724112727277,-0.0036768961659272774,-0.008270880565454533,-0.003078484880995453,0.00770142956072727,0.0073522909137272675,-0.004152065342863634,-0.0018630515685154523,-0.002914341505004541,-0.010760920223999994,0.0076934832411818125,0.01059829023063637,-0.004221031513754543,0.00550139405,0.0024467518081790103,0.0070688184310909,-0.002530155159983914,-0.00019716595264369108,-0.004984164083090917,0.005649547448727277,0.004182806891309092,-0.00397750698139091,0.004078882658136367,0.015793307168636396,0.001719625123500003,-0.00610761354354544,-0.01331882503,0.0009417459022639999,0.00571746843209091,-0.0075185268837272765,0.020268864467272774,-0.004768748387636363,-0.0017485607140672722,-0.0036049825374363654,0.0094091418,-0.011217818786818195,-0.0016922347200669994,0.003176249831344548,0.005056178391454549,0.0074824576253636425,-0.001850966709116983,-0.0035733943906636344,-0.0007991196962697274,0.009587635387818191,0.00031260907514450877,0.0023553499512427266,0.002488144747688997,-0.001252430657336909,0.002639090593436089,-0.004394631023645464,0.004641864642681815,-0.002713153847155458,-0.004692773448909097,-0.0014342187611289994,-0.009238499239363636,0.01108438506718183,0.00272853866294,0.0041740058490909076,-0.0038200022022090883,0.006428891723272744,-0.016972438830454555,-0.003970751208109096,0.0031375565724363627,-0.0005897556427753827,0.003751701585509096,0.004229084921054542,0.002196855495862725,-0.0012650787911767268,0.008070318375363652,-0.0012567875641860894,0.006894728636000003,-0.0037394922364945454,-0.0020661278456245466,0.012574164111363624,-0.005564474136909092,0.004728689028027275,-0.00015797573619172743,0.008575080576454555,0.015605472830000019,0.016298755610000024,-0.0003400263135538179,-0.0017782025763809104,0.0026001142662999987,0.000551867915832637,-0.01144271781863637,-0.0019824612745945455,-0.007630071360545464,-0.004912245792000003,0.0013724476089757274,-0.002137998333328821,0.002918382571114541,-0.005150034785818184,-0.0016480480673013653,-0.0041966287467181795,-0.003611255344354545,-0.0034983969938190947,-0.0006386930281544003,-0.003240736354436364,0.00823190233545454,0.004324393585545456
ABAT,18,-0.003049667017806974,-0.010405996450232557,-0.0013475015747572597,0.005893132979728668,0.0026766701144556163,0.0061145214825969,-0.006845618143023274,-0.00024004562853802237,-0.005790946567596901,0.002446409896205429,0.00032782054501415917,0.001044219167583023,0.0016500940357673907,-0.012304644115503869,-0.0010587841307311938,-0.0015622519770502675,0.0065410777579844965,0.0067045560252713176,-0.00048229800134992287,0.005619335483333329,-0.009476166636046515,0.0042436627594186075,0.008422668121511642,-0.0016160424838351888,0.004881454906705423,0.00417015174469767,0.003565491343976751,0.00042940625301309264,-0.005430021850813939,-0.003146231216898448,-0.008630451953062002,-0.002607759340178293,0.007574883033643414,0.007636638677480623,-0.004175491905020169,-0.002457551148928368,-0.002661257377147129,-0.010124450738759705,0.007996458585969,0.009843587162674416,-0.0035321285194302257,0.0057555451283333395,0.001868595038223996,0.006541342778720935,-0.002549529276318991,0.00023148824459694555,-0.0051143376597674395,0.005328371489064721,0.0037732904506724944,-0.003987415087910851,0.0042952722221317905,0.016002312786240303,0.0014016639321058726,-0.0072793784579844876,-0.013644690181782923,0.0007467197259361541,0.005972781188023257,-0.007879463695310094,0.019651489918217083,-0.005044350200232547,-0.002055143628679557,-0.003686728165537215,0.008829851466627918,-0.011458102243217055,-0.0015320188091141073,0.003101345190770544,0.005444289595077515,0.00786823684914728,-0.0027992768266011663,-0.002816890341581939,-0.0010043205403338674,0.009417706191279069,0.00033482256161085263,0.0031372079844713945,0.0022079267686454635,-0.0021421574386188864,0.0025285722768498228,-0.0029195933641058165,0.00422540147294574,-0.0020207411295784104,-0.004992709558139529,-0.0012835240575422458,-0.009060753101007738,0.010760683423682188,0.003293842677755035,0.004526133429670556,-0.003977828734244189,0.006399168656511629,-0.016592396197093018,-0.0038979502022131814,0.003045411540909296,-0.0005540340669553112,0.003913156903329457,0.003768881513798443,0.0026780885769841093,-0.0013148403855388095,0.007405094656356597,-0.0009400792258191084,0.00634403376883722,-0.0038849774472868213,-0.0020052427672856946,0.012753483644573632,-0.005607665764612407,0.005523918046162785,-1.54537166815309e-05,0.00866813536360464,0.015010671021317847,0.01584180118895347,4.2952430948248086e-05,-0.0023081763173446908,0.0030799208406967053,0.0009137686754312523,-0.010685571439728671,-0.0022585723524812373,-0.006954523256899207,-0.004555191582403111,0.0017554759335822946,-0.0014892797355782925,0.003592983036046503,-0.004372249624571328,-0.000979922114269601,-0.004341639026732572,-0.0041293583298240314,-0.004578225036034878,-0.0009832278901159186,-0.0037833991531821634,0.008095449617984484,0.003868663525139546
ABCD1,215,-0.0029259839954000003,-0.010172491155749995,-0.001767145488362502,0.005941963236,0.002976168030216247,0.0054899308717499965,-0.005836592616624996,-0.0002848632495523754,-0.005503747718625,0.0024903190986612484,-0.0004382207943796746,0.0013848784686416266,0.0011473900179121241,-0.012476777884374995,-0.001727417219939999,-0.0019294968275924973,0.006397909929124998,0.007123102339374995,-0.0008660165169705009,0.005495079365875,-0.009776227310999992,0.004488860394312499,0.00913311856375001,-0.0014732478965356235,0.004621707691249999,0.0043119788090375,0.003029097181321249,-0.0002503472244008749,-0.005575170827250004,-0.003829817281187499,-0.008615001195124998,-0.003104238333512502,0.007686173541499999,0.007216440556500003,-0.004321744825125,-0.0020480086971230004,-0.0029547928844162485,-0.010760024998749998,0.007748675910125,0.010370186320500002,-0.003887242603125001,0.005295419938625002,0.0025086642522975,0.006967367862,-0.0021798589036287497,-7.785951170000668e-07,-0.004754862061250001,0.005662613802499999,0.003999432055,-0.0038389286250000037,0.003959262904124995,0.015597406144375018,0.001482969479518425,-0.0059410278474999936,-0.01327445106062498,0.0011231764853567507,0.00596861409625,-0.0075550034207500045,0.02031635360874999,-0.004526515187749996,-0.0015620691344518766,-0.0036142694735624955,0.009084133946124996,-0.011687767829874986,-0.0018453587743906255,0.002946743479042497,0.004845207125875,0.007111382579500011,-0.002051077510809999,-0.003400988141454996,-0.0008054658281668756,0.009468067242749996,0.0003981673834217504,0.002744952256187501,0.0025833944440237498,-0.0014418742366028748,0.0025671469576075013,-0.0042609368662500065,0.004487666744999997,-0.0027679235380999997,-0.004805824821375004,-0.0016199482672384995,-0.009137583725500002,0.011005396267500002,0.002875359375775001,0.004360839140149995,-0.003857290293750004,0.0064309658303750095,-0.01667956719249999,-0.003915061970624999,0.0030975115117799997,-0.0005781931064366501,0.003761008460625001,0.004377245431875003,0.002055053777075545,-0.0010872383875180005,0.007763015564624987,-0.001278704187004,0.007217189393375008,-0.003749997440687501,-0.002237729115652502,0.01242256404175,-0.005623291116374996,0.004801875980874997,-3.8832400679500026e-05,0.008397105821875004,0.015424109018125015,0.01609060272187499,-0.0004067597626982377,-0.0018609680298468762,0.0025028201011675,0.000326114508262912,-0.011660470787499991,-0.0018333232642499977,-0.007473398933124996,-0.0048338759221250045,0.0010758120926728759,-0.0020450016236687497,0.0028573317039862502,-0.0048742500185,-0.0016632096884168733,-0.0040386766621,-0.0036107171376499984,-0.003437793526762501,-0.0008947788697184992,-0.003170959259800002,0.00854870027675,0.004068527497162499
ACAN,176,-0.002833825054577779,-0.01023550038122222,-0.0015990038829366664,0.006055816239888884,0.0032800186184111114,0.005356432889666674,-0.005707817079333335,-0.0002317462931961111,-0.005629166093555547,0.002432086085872222,-0.0004437073952113328,0.0014165986570348905,0.001167405837590333,-0.012411813527222208,-0.0016928688834443313,-0.0020398053339957803,0.006473426401444447,0.0071618918944444466,-0.0011239790286916669,0.005588692179555556,-0.01002678555655556,0.004325247598422222,0.008987775756444438,-0.0015522687859151113,0.004673221724777778,0.004497515116777778,0.002861267642785561,-0.00021661344692277775,-0.00553653900655555,-0.0036110472318688883,-0.008745831653111106,-0.003043060291511112,0.007553392988666658,0.0068949259121111025,-0.004220879158111106,-0.0021945972597020003,-0.0031171430738633353,-0.010928298724444452,0.0077655012572222185,0.010164652067555544,-0.0037182081398222256,0.0052383163284444425,0.002420694746561112,0.006944607594222223,-0.0023775332383899985,0.00022849113507956664,-0.004713968093555556,0.005642733418777764,0.003906091997444449,-0.003627992844855551,0.003982414310144441,0.01552678022000001,0.0013961553550508336,-0.00600982821922222,-0.013259420192777774,0.0008137100702070001,0.006068732937444453,-0.007558189928333329,0.020468019259999998,-0.004488511363111112,-0.0019402221935050008,-0.0034283864892888905,0.008900635713111112,-0.011778352919444448,-0.001919751897742445,0.002937343420451112,0.004797955641666665,0.007072321720777797,-0.002030161485231114,-0.00359233974807778,-0.0006504255745801111,0.009368509924333331,0.0002010993746535556,0.002596092655686672,0.002644195281264449,-0.001549131567700444,0.002593390859373329,-0.004217260455133327,0.0044209808947111105,-0.0025885633307377795,-0.004546819348555558,-0.0015676358106888244,-0.009037970467222227,0.0109292065611111,0.002832582403225557,0.0044334863173333345,-0.00397055947085556,0.006607237580444443,-0.016656817917777792,-0.004001647298955554,0.003267653157677771,-0.0006216300511786214,0.0038879341832111104,0.0047119973168222185,0.0022124605535655557,-0.0009623854126999554,0.0074667982275555544,-0.001335551030744668,0.007403083250888885,-0.0036587620097888853,-0.0022210136957552216,0.012554446886111115,-0.005813882888222222,0.004837962390888892,0.00012328722922399975,0.008429541704222235,0.015331781408333325,0.016179293597777773,-0.0004584737765391112,-0.0017252841008695535,0.0027408058667061125,0.0007553033510004449,-0.011706679011111115,-0.001866877356308891,-0.007456066942777769,-0.004784884687777783,0.00115454676957889,-0.0020414378913436657,0.002773207713455554,-0.004744978913666672,-0.0017636667576155546,-0.004077393454777777,-0.003721241289522229,-0.003338619767735555,-0.001015290500335621,-0.003336396667944445,0.008447619459999995,0.004208316155711111
ACE,1636,-0.002921581609264474,-0.01014071315430362,-0.0017501802663414721,0.006104905944757432,0.0030208025335524283,0.005480724090453835,-0.005611950691392806,-0.00037701189864053233,-0.005595576179655709,0.0024762166098122058,-0.0004154378678438024,0.001441271790696714,0.0010688872511901409,-0.012459857073552426,-0.0016402916710970875,-0.001977213500790765,0.0064318211156494534,0.007062010338341156,-0.0010183237819521907,0.005666787849608761,-0.01023458700406885,0.0044061084641627574,0.009063120644757424,-0.0015387722319525358,0.0044942016553208095,0.004390568814397494,0.002787096045427227,-0.0002438215974729576,-0.005607857883568078,-0.00354769741115806,-0.008846657418153357,-0.0031032774363990647,0.00756489474068857,0.006920192965727696,-0.004300124904538343,-0.0023378731689201898,-0.003301370188779345,-0.011077031765258222,0.007787411233646324,0.010155093745226915,-0.003871919009123629,0.005269858327386537,0.0025648556406979647,0.0067597134802816925,-0.0022429585402832524,0.0002215354975713616,-0.004496191360719874,0.005704729786697973,0.0035995705077934265,-0.0035603576892018775,0.003972946164475746,0.015364188212832563,0.0013463087161079818,-0.005725134624569644,-0.01302258433568077,0.0009280317761438183,0.006065323558998433,-0.007522373979812214,0.02057769987323945,-0.004392872671048512,-0.0018010057362441308,-0.0035278321457589993,0.008910606539280138,-0.0117529687230047,-0.0017310220086758984,0.0027630996505790288,0.0048037462083411545,0.006966931537715179,-0.0018695073506541468,-0.0035489264428638493,-0.0006205704811787171,0.0092168672859155,0.00016534154371960875,0.002678249073652585,0.0026871545846165862,-0.0017101917843615024,0.0025292918806259805,-0.004317395796087638,0.004567455739514865,-0.002615934815946793,-0.0043049574341940565,-0.0016303382594414714,-0.008991047879812211,0.010884116966353677,0.002902541826575897,0.004364938799999999,-0.003872810612316117,0.0064422678794992146,-0.016704411532081388,-0.003859377934741782,0.003207340267788732,-0.0006263258724025036,0.004015493871674496,0.0044160952490923345,0.0021733908573896713,-0.0010910275091148666,0.007586659919092336,-0.0013610907713538347,0.007369555441314558,-0.003659493774460096,-0.0022743365688998453,0.012597053969483572,-0.005956292013771518,0.004852793302347418,-0.0002424817164001565,0.008409813569796552,0.015290359618153362,0.01623446845461661,-0.0003774744706003127,-0.0016469921340821598,0.002688610790383413,0.0006697770668944754,-0.011614450469483558,-0.0017605732902023464,-0.0074028259585289516,-0.004880547418153362,0.0010064294745993736,-0.0017815245079687032,0.0029386036002660393,-0.00479583346510172,-0.0018270524511158038,-0.00411382072723005,-0.0036757886795305158,-0.003294293590915492,-0.001117736182726133,-0.0032753456447730824,0.00853156212425665,0.004123207733959313
ACHE,43,-0.0031881588946749985,-0.009938959438999992,-0.0017423692661001325,0.005874147570666665,0.002649600850529168,0.00554218528283334,-0.006088219764500004,-0.0001500441516026666,-0.005596514366666672,0.002460705724209672,-0.00019843478003658339,0.0009246107343522824,0.0016635563288464974,-0.012313128427916669,-0.001329392337844383,-0.001877701060331664,0.0067092112670000025,0.006633966403499999,-0.0007297632961105826,0.005802929528416663,-0.009700161745500004,0.004204561350583339,0.008783655164416683,-0.0014259438355741676,0.004914176111166665,0.004217422629875005,0.003228359360036664,0.00018937093491516664,-0.005487690560833332,-0.0033199500811166684,-0.008461016408249979,-0.0026930860545670804,0.007919187869083345,0.007391761477750003,-0.003936223177475,-0.002520614719409169,-0.0028937734323775,-0.010816058001583341,0.007745775511750002,0.010249245836416666,-0.004103976010375001,0.005495556165833332,0.002479355748194501,0.007068843263000003,-0.0026299401238116683,0.0001488029840076668,-0.0046505960413333386,0.0055687890041666716,0.0037818729947900025,-0.004008383836083331,0.004112208949166669,0.01570983483624998,0.001693424197386502,-0.006812456460249985,-0.01303256463500003,0.0004089670914535579,0.005906427284500003,-0.007912975291916672,0.020391145465,-0.004739330879333334,-0.001857763083003329,-0.003549948093408333,0.009313779957416666,-0.01131886321625001,-0.0017119676322708314,0.003050081384725003,0.00517149500016667,0.0075886642375833264,-0.001916771516869666,-0.0031230509971369226,-0.0004902774904475,0.009431800604750008,3.518560330899994e-05,0.003080865715633335,0.0024904323805308324,-0.0016972452754212485,0.002651506563033339,-0.003705723639774996,0.004366064806283325,-0.002505199234558334,-0.004659347431116673,-0.0014558374341060007,-0.008990065338583335,0.011033568768333328,0.003073529371786665,0.004240743765666668,-0.004000124324133333,0.006342160586999997,-0.01710326926041669,-0.003979529414416663,0.003103027749166665,-0.0003786646648093834,0.003872167426316665,0.0039488478462000095,0.0025291448524633322,-0.001433039653270666,0.007716550962416663,-0.000984409081590667,0.00675528044691667,-0.004110804425691666,-0.0020657094103737504,0.012222690744583329,-0.00556122364199999,0.005133558709333337,-0.00017821425057925006,0.008668743912833336,0.01547055292166671,0.016000627230000015,-0.00013716249880883338,-0.002025421328976414,0.002800352134116669,0.0007726769789948326,-0.011313081317333341,-0.002101208376598332,-0.007051333767749986,-0.004795577191166662,0.001658287493796542,-0.0019969991819519146,0.003203378143621666,-0.004897387787083331,-0.0013772849032074167,-0.0042803081295966616,-0.003616408385713341,-0.003647653519500004,-0.0007407228565981423,-0.0034567181317166715,0.00826517306041668,0.004243392965058332
ACTB,60,-0.0010052260706255296,-0.01117807298495652,-0.00105634812718426,0.0061273426719999965,8.385121513304367e-05,0.0055330665022000035,-0.0067281583744347815,-0.0005631982548529884,-0.006229062055417398,0.002769482263493037,0.00068810949376513,0.0017386932136598274,0.0034108353877947838,-0.01303214088086958,-0.0015225909602073905,-0.004719629881323482,0.005244193866834774,0.0073202091510434645,-0.0009720337036443485,0.00759805482043477,-0.011625805225391285,0.0037279399944886923,0.0080841811466087,-0.0024469399071678248,0.002290047755078956,0.003910775738969576,0.005195063096495658,0.00040189175468582596,-0.005223894470000007,-0.0038091349422869547,-0.009382553137652171,-0.001233126854872784,0.00907069828469566,0.009751411774260862,-0.004059490706921737,-0.002914843378951301,-0.001328286120244957,-0.009671558320086955,0.008816885880173922,0.011814424220521723,-0.0020243019013621733,0.004617151492634789,0.001561976642603446,0.0070264751158260795,-0.0020548200091878204,0.0003791266241413912,-0.00594626422732175,0.006037356285139134,0.004719845785530426,-0.0043601114563739185,0.0041624253824295646,0.014418284287304347,0.0036044271292121756,-0.008430125268521734,-0.013808865050434762,0.00026132054015650405,0.007362846392521742,-0.009600904312,0.018724242605652155,-0.006417812212173914,-0.0038159486506752173,-0.005158199100588866,0.012195144741130436,-0.01123605673086957,-0.002717746574690693,0.0003969384475391317,0.006345588512869567,0.008094555927565224,-0.003821002857585691,-0.002908683604594265,0.00015402701601578296,0.010204368590086952,0.0002453605417988652,0.002295834886487825,0.0010734655641343493,-0.0033769743940626085,0.0025974890939104373,-0.0034163466995713074,0.004498668845095655,0.0007878256005409567,-0.005966469610904344,-0.0017968746697695633,-0.009014788596086945,0.010778648444782615,0.004358599412686957,0.00415529864206696,-0.0041448577530843475,0.006760800156,-0.014438837367043468,-0.004556165786341731,0.0044198691655713005,-0.001460973455012281,0.00354605910343044,0.0031189232691973922,0.0017745915702849573,-0.002712661462977654,0.008081225190782604,-0.00015614091855260847,0.0064714644700869526,-0.004057078815991297,-0.002355431218737809,0.01307597047695651,-0.006372420319078261,0.0056455409574521715,3.8230452618000125e-05,0.008762920196260878,0.015465553756086943,0.016373668248695655,0.0013482857825974765,-0.003314073483904345,0.0034787441919043463,0.0006601442012293916,-0.01098970006313042,-0.002846923498590437,-0.0061251168019304325,-0.004609317041565222,0.00207245894502592,-0.0019274065701379995,0.003992927891406952,-0.005446424390521732,-0.002345125418324676,-0.0048628346101808745,-0.004992389221591313,-0.003458484161095955,-0.0006617182084904349,-0.0027658076562577386,0.008650884827478257,0.002973169966770871
ACTN2,88,-0.0027096821634518178,-0.009722985132181831,-0.0013510974127056365,0.005873182437636364,0.002562186801726454,0.005192363205545454,-0.006394937653272727,-0.00041154502758259135,-0.005959662460363631,0.0023551826383854525,0.0004029120105478185,0.000661395061437182,0.0017736444910940918,-0.012543591528636374,-0.001490519889706003,-0.002264266226577273,0.006149397102545447,0.006780744847454554,-0.0005930074713699997,0.0056316423608181905,-0.009661666893090915,0.004090272999181815,0.008942815389090916,-0.0014111233015363636,0.004637746993000007,0.003745775295181823,0.0035805822030727298,0.00022080623097440894,-0.005256314556909092,-0.0033671988806454555,-0.008523350769545454,-0.0029975681756527314,0.008038394114545445,0.007173785981000006,-0.004534127159127275,-0.0021598225823490913,-0.0029798966420509104,-0.010543190984727266,0.007752514207909094,0.009687190574727271,-0.003972673706745461,0.0052797071763,0.0021134518401040013,0.007328271986909091,-0.003028766024213633,0.0002709325418293638,-0.005025820435090908,0.005270693690000005,0.0038771589025727296,-0.003866151283927275,0.0038754856307609093,0.016039376049999984,0.0011328796997817814,-0.0067105273534545425,-0.01347231371727272,0.0005020627922203371,0.005811032766999998,-0.007751739328090913,0.02000357627363637,-0.004719397678545456,-0.002181082260593635,-0.003598363664672726,0.008919083205545464,-0.011633158451818162,-0.0016722830854717255,0.002980275020176366,0.00530885100345455,0.007395451423000008,-0.0019267442033027282,-0.003002508203865729,-0.0008806491625943087,0.009608874981454548,0.00011490914168189097,0.0028246613423218232,0.0024850435729245404,-0.0015274729263410902,0.002677258474854542,-0.0037720704219818156,0.004117303878609094,-0.0024189602075654565,-0.004869990111272733,-0.0018826811824096386,-0.009173881114000002,0.010910936763181821,0.0029344497944699998,0.004366254960454542,-0.004279970794409093,0.006396117193727273,-0.016773299511363624,-0.003566805249649089,0.002913114564970363,-0.00039697132402518215,0.0039883545558181775,0.004037379403454544,0.0026861588874818173,-0.0019316933469863645,0.007598971639545453,-0.0009964549755542237,0.006155719683545447,-0.0035882374382636383,-0.002155968498673365,0.012804625048181823,-0.005607280743727266,0.004943874158454542,-0.0004928142762635091,0.008371708476818195,0.015166220585909084,0.0163647379290909,-0.0002975289837560906,-0.0024707176922818194,0.0028419944398318173,0.000654678031017618,-0.010764802685363627,-0.0023016824346422733,-0.007124171363636369,-0.004812962477818181,0.002090769166190908,-0.0019985348645054565,0.0036794927256,-0.0047357703373636355,-0.0013737929066,-0.00456294686136364,-0.0035956602781663633,-0.003746258490745455,-0.00038901121909900086,-0.003452489199354544,0.00826836923690908,0.0042557381517272725
