gene_symbol,rank
PLEK,1
SLAMF7,2
LYN,3
GBP5,4
ITGB2,5
CD53,6
PTPRC,7
IL10RA,8
LYZ,9
HCLS1,10
CD2,11
LAMP3,12
NCKAP1L,13
MYO1F,14
IKZF1,15
LAPTM5,16
PTAFR,17
LCP1,18
PARP14,19
GPR65,20
TYMP,21
NCF2,22
IL4I1,23
LCP2,24
NOD2,25
GNA15,26
HAPLN3,27
TIMP1,28
CLEC7A,29
CCR5,30
SAMHD1,31
FGR,32
ISG20,33
FERMT3,34
ITGAX,35
GBP1,36
FCER1G,37
IFI16,38
ICAM1,39
CSF2RB,40
TLR2,41
SNX20,42
DTX3L,43
LCK,44
IRF1,45
ARHGAP30,46
C1R,47
IFITM3,48
JAK3,49
PARVG,50
CIITA,51
CYTH4,52
SLA,53
PDPN,54
CD48,55
MYO1G,56
OSMR,57
CXCL1,58
FCN1,59
PARP9,60
TAGAP,61
SLAMF8,62
TNFRSF1B,63
KLHL6,64
SELPLG,65
EVI2B,66
IL7R,67
SAMSN1,68
SELL,69
GZMB,70
RAB31,71
IGSF6,72
JAML,73
CD74,74
THEMIS2,75
VAV1,76
CCR7,77
PIK3R5,78
DOCK2,79
WDFY4,80
ARPC1B,81
APOL2,82
SP110,83
CDC25B,84
APOL3,85
GBP2,86
C1orf162,87
FPR3,88
IKZF3,89
DOK2,90
HCK,91
CORO1A,92
ICOS,93
SLAMF1,94
OAS2,95
TRIM22,96
ADCY7,97
CXCL10,98
CST7,99
APOBEC3G,100
TNFSF13B,101
LILRB4,102
STEAP4,103
SASH3,104
EPSTI1,105
FCGR3A,106
ALOX5AP,107
APOL1,108
MMP9,109
CARD6,110
UBE2L6,111
PIK3CG,112
TNFAIP2,113
CD3D,114
ANXA1,115
CD44,116
TNFSF14,117
CD86,118
LILRB1,119
CXCL9,120
STAT2,121
IRF8,122
CASP10,123
RASSF2,124
NLRC5,125
TRAF3IP3,126
CSF2RA,127
CD5,128
IL2RA,129
STAT1,130
ITGAL,131
CD84,132
ARHGAP9,133
CXCL16,134
MSN,135
CD28,136
MNDA,137
LILRB2,138
FXYD5,139
IDO1,140
TLR8,141
CASP1,142
ITGAM,143
HCST,144
SERPINB9,145
CFP,146
PLEKHO1,147
FYB1,148
BIN2,149
TYROBP,150
CCL22,151
CD6,152
RASAL3,153
MAP4K1,154
FPR1,155
COL4A1,156
ITGA4,157
S100A11,158
DOK3,159
APOL6,160
AOAH,161
SLC15A3,162
MX2,163
IL21R,164
SEC61A1,165
CD3G,166
BATF,167
PIM2,168
TAP1,169
ARHGDIB,170
TUBB6,171
S100A9,172
PML,173
GPR132,174
CYBB,175
CHI3L2,176
TNFSF8,177
MLKL,178
PTPRE,179
LAIR1,180
TRPV2,181
SIT1,182
RFX5,183
TNFRSF9,184
INPP5D,185
LAX1,186
IRF7,187
CHST11,188
AIM2,189
CD52,190
FAM20A,191
CD300A,192
SRGN,193
RHOH,194
C3AR1,195
CCDC88B,196
SAMD9L,197
UCP2,198
FGD3,199
ADGRE2,200
CXCR6,201
ITK,202
CXCR3,203
FMNL1,204
LAT2,205
C1S,206
C16orf54,207
CCL19,208
RHBDF2,209
MX1,210
CXCR4,211
DAPP1,212
ADAM8,213
CCR2,214
CCL2,215
TNC,216
SP140L,217
BCL2A1,218
CD37,219
HAVCR2,220
PTPN7,221
CD247,222
PIK3CD,223
WAS,224
CGAS,225
RRM2,226
TGM2,227
CTSS,228
