,dim1
DEFB108B,-0.01079375335884209
SH3BGRL2,0.009990922113367332
SYK,0.0034386093162198845
ACSL6,0.003836995539656413
TLCD5,-0.0010913557913657796
VEGFC,-0.001830023389994809
OR4F4,0.0019442654247085612
DRGX,-0.003438237637474346
ANAPC15,0.0008907631069919245
ISCA1,0.006557848886979172
LTN1,0.017922626798560996
MRPS21,0.005039715643206987
POGLUT3,-0.00297751029027447
CD180,-0.005153122081239424
PZP,0.00615573425649021
ANTXRL,-0.011140121410467963
RNF133,-0.010720866314604819
NKX2-3,-0.0033958809804994997
ZNF396,-0.01076970428639549
ZCWPW2,-0.0009116328914459226
PRR35,-0.011819508032139577
PGP,0.0036412243437681526
SLC17A9,-0.0034142000260828256
CARMIL2,-0.0026395921490987542
KDF1,-0.011446606009713171
NDUFA13,0.004851151013440577
ZNF12,-0.005065812781720156
PCDHB3,-0.003692900935565053
TEX264,-0.0034089091534730835
NPY5R,-0.008138109235629456
TRAP1,0.007009761258236107
AP5M1,-0.00028028611657053326
CNKSR1,-0.007052570936809358
STX6,0.007283980145718264
DPPA4,-0.00888269142299781
FICD,-0.00465954908894495
NMRK1,0.0031859180557461827
CD83,-0.005732126674041629
HEPHL1,-0.0017031621096850645
ATP2A1,0.0031045510580814586
CCDC13,-0.007795622476084787
MIA2,0.0020743811768670416
SEMA3E,0.004750811532912185
WFDC10A,-0.011619031553287773
EIF5B,0.00823477213703295
WBP2NL,-0.003830258155429681
ANKRD6,0.0006017952787441965
MANF,0.0025090060713979074
MDFIC,-0.0021924616221911525
MRPL24,0.0002299158454137258
FAM222A,-0.007357581335513115
TDO2,0.004507185643633675
ARNT2,0.00888614129634185
TTF2,-0.004520675479195132
AJM1,-0.010024763800439528
DPEP1,0.0005532127702036995
THAP9,-0.00730284732483211
ST7,0.011289154966963602
TMEM217,-0.008894843550276772
PLA2G10,-0.0042131791753202445
MFSD8,0.0016359469596816147
PODNL1,-0.003383180205154749
ROR2,0.00011659852942584252
RPS9,0.00897470274314222
SRRM5,-0.01121207638720257
HLA-E,0.0034715864339673916
CD93,-0.007183361825343175
ORM2,-0.00530084057268156
ETFB,0.006426501168012722
MSANTD2,-0.0038917198329837606
ASIC5,-0.002896549358726765
ATP1B1,0.01048316280091433
GRIP2,0.000335621060519664
CCDC97,-0.007656932449942683
HNRNPR,0.009594543030211245
PSMC3IP,-0.002845559657808581
RGPD3,0.008148272361523958
RHCE,-0.0009939826985902191
SEMA3A,0.006479985017296577
TMEM205,0.0005138369347553591
KCNK4,-0.005742293468354819
SPOCK1,0.005323627106826646
NDUFA5,0.00815775444599804
ZNF169,-0.006295638817352793
HNRNPA0,0.003296065675786109
CLDN8,0.0010426835036134207
CLEC3B,-0.0025187736644486417
GOLGA7B,0.0015472730894298358
IGKV4-1,-0.0008344007489922674
LCMT2,-0.007298712698407692
MROH7,-0.007295575190136621
NEDD8,0.009041612203957586
SLC2A5,0.0012546828034075126
SLC4A1AP,-0.002694784259975103
THUMPD2,0.0005730964866124648
COL8A1,-0.0022030406682484855
DISP1,0.006258294310625819
TOE1,-0.00547571158090386
SETD9,-0.005578328176360218
PRR9,-0.005361125639314825
ASB17,-0.009675258490744925
TCF3,-0.0016502358006516584
CBWD6,-0.0009096294025006168
TRMU,0.0013561356347356935
ADGRF1,-0.003273016919427845
THAP6,-0.00519127726581886
PRKD2,0.002125354774457053
TM2D2,-0.0031939365151590266
ANKRD16,-0.0010817727902305504
GPD2,0.008238092708378886
TNRC18,0.020777019210362062
PPP4R4,0.003943790066218817
LYSMD2,-0.0024505478790547088
CNPY2,0.0019438206225722528
PEF1,-0.00017257227731988547
SLAMF6,-0.00879637853131246
SORBS2,0.011495390407298326
LRPPRC,0.007803506057353526
LAG3,-0.010479118442296329
TNFRSF19,-0.004733146673259644
EIF3J,0.004795561936323949
DTNA,0.011498230589171855
PLEKHG4,-0.009156838794458451
OSBPL7,-0.002040839172912343
PTK2B,0.009069720174783991
RHBG,-0.0007706361526036034
LSM14B,-0.0008633111291572012
SORL1,0.024990857584909026
IFNA2,-0.007056850851548959
ADGRD2,-0.008742592074310435
SYNPO,-0.0045200810155732254
ACSL1,0.0059470433477418596
CTDNEP1,0.004223591844662118
MYOM1,0.013605426941824176
PMAIP1,-0.0029006317511218477
RNASE8,-0.005602221669057377
CCSAP,-0.004043608519499788
C10orf90,-0.006402208871475748
UBE2M,0.007241290571379969
SHOX2,-0.0012896827654702207
DMAP1,0.0022291817586153908
MEGF9,-0.0005989887256399664
LRRC47,-0.0035282332549798194
CRTC1,0.002806195276067102
OR4C5,0.0007285248986743835
FDX2,-0.005543422770657231
GLIS2,-0.007884166512396854
HMX3,-0.005696573783469599
CCER2,-0.011430045084164954
NDST1,0.0017498629681921025
PDZRN3,0.006775653197396217
BPIFB4,-0.0077253973897878315
B4GALT1,-0.0001399613936607522
PLAUR,-0.00374953911103015
DEFB110,-0.006093207637579113
GLIPR2,0.0027469909355134756
WDR54,-0.004782577545657188
NKTR,0.005845104225894286
C1orf50,-0.0030382630614741754
ZCCHC2,-0.0013644986512128265
CAMKV,-0.00023751569725741702
G6PC2,-0.0016971714350621822
ABCD4,0.0014842220974314354
ADK,0.013623759489228478
C1orf105,-0.010463621451170685
IL5RA,-0.007092797238382062
FBXO38,-0.0012016652628074936
CIB2,0.001809335633706854
NEO1,0.00980677058790326
OR52L1,0.00034712028770380606
PXMP4,-0.0010512722426770883
