gene_symbol,homlof_populations
FAM47C,10
POLQ,10
ITIH6,10
SSX1,10
RTL3,10
PSG9,10
ZNF674,10
NBPF9,10
MUC22,10
MAP3K15,10
MAGEC1,10
LUZP4,10
RENBP,9
MUC4,9
NBPF14,9
NBPF26,9
OBSL1,9
OR2T11,9
OR4P4,9
PCDHA8,9
PCDHB7,9
PNMA6F,9
RBMXL3,9
XPNPEP2,9
RP1L1,9
SPATA31A6,9
TAF9B,9
TBC1D8B,9
WASHC2A,9
MAP7D3,9
ZAN,9
ZNF559,9
ZNF630,9
ZNF75D,9
MGAM,9
POTEH,9
MAGEE2,9
DNAH7,9
MAGEC3,9
ACOT9,9
ADGRG4,9
AGTR2,9
AHNAK2,9
ARSF,9
ATXN3L,9
CT45A10,9
DMBT1,9
DNAH14,9
ARHGEF38,9
FAAH2,9
FRMPD3,9
KLHL34,9
FAM186A,9
KIR3DL1,9
HS6ST2,9
HEPH,9
FOXR2,9
FLG,9
FAM90A20P,9
RNASEL,8
PSG4,8
RGPD4,8
RGN,8
RADX,8
RTL4,8
PTPRH,8
PLXNB3,8
PRRG1,8
PRB3,8
PRAMEF4,8
PIR,8
PHKA1,8
SLC25A43,8
PCDHA9,8
SIGLEC5,8
USP26,8
SLCO1B3,8
USP17L2,8
PCDH11X,8
ZSCAN31,8
ZNF626,8
ZCCHC18,8
WDR87,8
USP17L7,8
UGT2B17,8
SRPX,8
TSPYL2,8
TRO,8
TRMT2B,8
TFDP3,8
TAS2R46,8
SYT15,8
PCDHA10,8
PFKFB1,8
PAPLN,8
GABRQ,8
FAM81B,8
FAM47B,8
FAM111A,8
DIPK2B,8
DGAT2L6,8
CXorf58,8
COL6A5,8
CFHR3,8
CD36,8
CCDC66,8
CAPS2,8
ASB12,8
APOBEC3B,8
ACTRT1,8
P2RY4,8
FLG2,8
ARID3A,8
GOLGA6L10,8
MAGIX,8
GOLGA8H,8
OR13H1,8
NOTCH2NLR,8
NBPF10,8
NACA,8
MTMR8,8
OFD1,8
LCE3C,8
KIR2DL4,8
ITGB1BP2,8
HLA-DRB1,8
GYG2,8
KLHL35,8
GUCY2F,8
RETSAT,7
PRAMEF27,7
PRB1,7
PSG8,7
PZP,7
RAB41,7
RTL5,7
RHBDD3,7
RHD,7
SAGE1,7
SATL1,7
SBDS,7
SERHL2,7
SERPINA12,7
PPP1R3F,7
PABIR3,7
POF1B,7
PNPLA4,7
PLIN4,7
PKHD1L1,7
PKD1L3,7
PASD1,7
OR52N5,7
OR4S2,7
OR4C11,7
OR2T35,7
OR2A42,7
OBSCN,7
NUP62CL,7
NOX1,7
SLC25A2,7
SHROOM2,7
ULK4,7
SMIM9,7
SPTBN5,7
MYH1,7
ZNF677,7
ZNF543,7
ZNF534,7
ZNF528,7
ZNF486,7
ZNF28,7
ZNF185,7
ZCCHC13,7
XKRX,7
XAGE5,7
WASHC2C,7
VEGFD,7
USP45,7
USP17L1,7
UGT2B28,7
UBXN8,7
TRPM4,7
TREX2,7
TMLHE,7
TMEM31,7
TMEM187,7
TLCD2,7
SYTL4,7
STBD1,7
SSX5,7
SRPX2,7
SRPK3,7
SPZ1,7
MYH8,7
GNRH2,7
MXRA5,7
CAPN15,7
CYP3A5,7
CYP2D6,7
CXorf66,7
CNGA2,7
CLEC11A,7
CLDN34,7
CFHR5,7
CFHR4,7
CFAP47,7
CFAP100,7
CDH26,7
CD99L2,7
CCDC7,7
CCDC168,7
CA5B,7
DMD,7
C1orf167,7
BTNL3,7
ATP1B4,7
ATP13A5,7
ATG4A,7
ASB11,7
ARSH,7
ARHGAP6,7
AMZ2,7
AKR1B10,7
AEBP1,7
ADGRG2,7
ADAM18,7
MUC17,7
DGKK,7
C1QTNF9B,7
DNHD1,7
H4C2,7
MROH2B,7
DRP2,7
MRO,7
MAGEB6,7
MAGEB5,7
MAGEB17,7
LONRF3,7
LGALS7,7
KIAA1210,7
KCNE5,7
IGFN1,7
HRNR,7
HLA-DRB5,7
HLA-DQA1,7
KIR2DL1,7
GPRASP1,7
GJB2,7
ESX1,7
GPR82,7
FAM166A,7
FAM83A,7
FAM9B,7
GARIN4,7
FRMPD2,7
GLOD5,7
GLUD2,7
GOLGA6B,7
GOLGA6D,7
EGFL6,7
OVCH1,6
PGAM4,6
OR5P2,6
PABIR2,6
PCDHB11,6
PCK2,6
OR51A2,6
PDE11A,6
PDK3,6
POTEI,6
PIK3C2G,6
PIWIL3,6
PLSCR5,6
PNMA3,6
PPIC,6
PRR32,6
OR2T27,6
PSG11,6
PRRG3,6
OR4M2B,6
MAP7D2,6
OR2T10,6
MPC1L,6
MAGEB16,6
PSG6,6
MAGEB2,6
MAGEF1,6
MALRD1,6
MAP3K6,6
MCF2,6
MICA,6
MROH2A,6
OR2G6,6
MYH4,6
MYO1A,6
NCBP2L,6
NEBL,6
NINL,6
NOMO1,6
NRK,6
OR11H12,6
PSG5,6
YIPF1,6
PSG7,6
ZC2HC1C,6
TTC6,6
TTLL10,6
TTLL13,6
TTLL6,6
UBA7,6
VSIG4,6
WASHC1,6
WDR27,6
