#id: 1825491670
#name: H.sapiens - Whole organism (Integrated)
#score: 31.9
#coverage: 99
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM: 31.9, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Human_PeptideAtlas_2011-08_Ens62.new:0.747;9606-PA_201408:0.075;HsapiensBuild242_May2010.peptides.new:0.043;peptideatlaBuild_March2009.peptides.new:0.041;Human_iBAQ_Khan_2013:0.038;9606_GPM_201408:0.036;GPM_2012_09_Homo_sapiens_-_ensembl:0.02;
#publication_year: 2025
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
TMSB4X	9606.ENSP00000370010	82964
APOA2	9606.ENSP00000356969	31361
RBP4	9606.ENSP00000360522	24443
ORM1	9606.ENSP00000259396	22835
APOA1	9606.ENSP00000236850	20723
ALB	9606.ENSP00000295897	19929
TTR	9606.ENSP00000237014	19096
APOC2	9606.ENSP00000466775	17564
APOC1	9606.ENSP00000465356	16749
HPX	9606.ENSP00000265983	15511
APOC3	9606.ENSP00000227667	11298
AHSG	9606.ENSP00000273784	11180
GAPDH	9606.ENSP00000380070	9978
ORM2	9606.ENSP00000394936	9784
SERPINA1	9606.ENSP00000416066	7748
HP	9606.ENSP00000348170	7425
GC	9606.ENSP00000421725	7169
ACTB	9606.ENSP00000494750	6893
ACTG1	9606.ENSP00000458162	6850
SERPINC1	9606.ENSP00000356671	6838
HBB	9606.ENSP00000494175	6494
APOH	9606.ENSP00000205948	6122
C3	9606.ENSP00000245907	5811
FGB	9606.ENSP00000306099	5411
PPBP	9606.ENSP00000296028	5183
CFH	9606.ENSP00000356399	5040
APOD	9606.ENSP00000345179	5010
HBA2	9606.ENSP00000251595	4979
HBA1	9606.ENSP00000322421	4979
PFN1	9606.ENSP00000225655	4950
TF	9606.ENSP00000385834	4792
VIM	9606.ENSP00000446007	4542
SERPINA3	9606.ENSP00000450540	4275
A1BG	9606.ENSP00000263100	4203
KNG1	9606.ENSP00000493985	4187
F2	9606.ENSP00000308541	4017
ENO1	9606.ENSP00000495530	3890
KRT1	9606.ENSP00000252244	3624
PPIA	9606.ENSP00000419425	3530
A2M	9606.ENSP00000323929	3520
PLG	9606.ENSP00000308938	3516
C4BPA	9606.ENSP00000356037	3449
EEF1A1	9606.ENSP00000339063	3342
GSN	9606.ENSP00000362924	3250
PKM	9606.ENSP00000320171	3152
FGG	9606.ENSP00000336829	3105
FGA	9606.ENSP00000498441	3068
CP	9606.ENSP00000264613	3067
IGLL5	9606.ENSP00000431254	2966
HRG	9606.ENSP00000232003	2935
VTN	9606.ENSP00000226218	2724
AMBP	9606.ENSP00000265132	2686
APOA4	9606.ENSP00000350425	2644
KRT9	9606.ENSP00000246662	2639
ITIH4	9606.ENSP00000266041	2626
CLU	9606.ENSP00000315130	2454
PF4	9606.ENSP00000296029	2377
CFHR1	9606.ENSP00000314299	2253
CFL1	9606.ENSP00000432660	2243
HSPD1	9606.ENSP00000340019	2191
AZGP1	9606.ENSP00000292401	2177
HBD	9606.ENSP00000494708	2173
CLEC3B	9606.ENSP00000296130	2146
IGF1	9606.ENSP00000376637	2104
S100A9	9606.ENSP00000357727	2091
HSPA8	9606.ENSP00000437125	2076
TUBB	9606.ENSP00000339001	2063
TPM4	9606.ENSP00000494125	2030
YWHAZ	9606.ENSP00000379287	2017
YWHAE	9606.ENSP00000264335	2005
CFHR2	9606.ENSP00000356385	1987
TAGLN2	9606.ENSP00000357076	1919
MYH9	9606.ENSP00000216181	1740
KRT10	9606.ENSP00000269576	1736
NPM1	9606.ENSP00000296930	1708
SAA1	9606.ENSP00000384906	1674
SH3BGRL3	9606.ENSP00000270792	1597
HPR	9606.ENSP00000441828	1548
TLN1	9606.ENSP00000316029	1511
MYL6	9606.ENSP00000446955	1501
FLNA	9606.ENSP00000358866	1492
CFB	9606.ENSP00000416561	1488
PTGDS	9606.ENSP00000360687	1483
APOE	9606.ENSP00000252486	1475
LDHA	9606.ENSP00000445175	1445
UBA52	9606.ENSP00000388107	1439
HSP90AB1	9606.ENSP00000360609	1415
PGK1	9606.ENSP00000362413	1393
B2M	9606.ENSP00000497910	1392
SERPING1	9606.ENSP00000278407	1382
CALR	9606.ENSP00000320866	1361
ANXA2	9606.ENSP00000346032	1336
ATP5F1B	9606.ENSP00000262030	1308
ATP5F1A	9606.ENSP00000381736	1246
TUBB1	9606.ENSP00000217133	1226
GSTP1	9606.ENSP00000381607	1223
TPM1	9606.ENSP00000351022	1221
TUBB4B	9606.ENSP00000341289	1203
C4B	9606.ENSP00000415941	1200
SERPINF2	9606.ENSP00000321853	1198
C4A	9606.ENSP00000396688	1197
VCL	9606.ENSP00000211998	1186
C1QB	9606.ENSP00000313967	1181
APCS	9606.ENSP00000255040	1169
TPI1	9606.ENSP00000229270	1134
PRDX1	9606.ENSP00000262746	1117
THBS1	9606.ENSP00000260356	1110
H0YJW9_HUMAN	9606.ENSP00000452347	1104
S100A8	9606.ENSP00000357721	1092
RPS7	9606.ENSP00000495273	1082
APOC4	9606.ENSP00000468236	1057
MDH2	9606.ENSP00000327070	1037
TUBA1B	9606.ENSP00000336799	1023
FN1	9606.ENSP00000346839	1010
SAA2	9606.ENSP00000436126	1006
FERMT3	9606.ENSP00000279227	997
HSP90AA1	9606.ENSP00000335153	988
RPS27A	9606.ENSP00000272317	988
POTEE	9606.ENSP00000439189	986
H2BC12	9606.ENSP00000349430	977
H2BC4	9606.ENSP00000321744	977
H2BC7	9606.ENSP00000348924	977
H2BC10	9606.ENSP00000366962	977
H2BC8	9606.ENSP00000445633	977
H2BC6	9606.ENSP00000489317	977
H2BC9	9606.ENSP00000479169	977
H2BC5	9606.ENSP00000289316	976
H2BC15	9606.ENSP00000483903	976
H2BS1	9606.ENSP00000481622	976
LOC102724334	9606.ENSP00000491341	976
H2BC14	9606.ENSP00000477907	975
H2BC13	9606.ENSP00000366618	975
LUM	9606.ENSP00000266718	974
H2BC11	9606.ENSP00000476136	972
H2BC21	9606.ENSP00000358151	971
H2BC17	9606.ENSP00000477527	971
H2BC3	9606.ENSP00000482674	970
TUBB2B	9606.ENSP00000259818	967
H2BU1	9606.ENSP00000479284	965
B4E1Z4_HUMAN	9606.ENSP00000410815	963
RAP1B	9606.ENSP00000250559	962
SOD1	9606.ENSP00000270142	956
TUBB2A	9606.ENSP00000369703	953
HSPA5	9606.ENSP00000324173	949
H2BC18	9606.ENSP00000445831	948
ITGA2B	9606.ENSP00000262407	937
TUBA4A	9606.ENSP00000248437	936
TPM3	9606.ENSP00000498577	935
ANXA1	9606.ENSP00000366109	933
AFM	9606.ENSP00000226355	923
RPLP1	9606.ENSP00000346037	923
TUBB4A	9606.ENSP00000264071	923
PGLYRP2	9606.ENSP00000292609	923
MYL12B	9606.ENSP00000463559	913
HMGB1	9606.ENSP00000345347	912
F12	9606.ENSP00000253496	911
JCHAIN	9606.ENSP00000440066	911
CORO1A	9606.ENSP00000219150	909
ALDOA	9606.ENSP00000496166	905
CAP1	9606.ENSP00000361883	902
C1R	9606.ENSP00000444271	902
H2AC21	9606.ENSP00000332790	894
SAA4	9606.ENSP00000278222	894
TUBA1A	9606.ENSP00000439020	890
HNRNPA2B1	9606.ENSP00000346694	881
PF4V1	9606.ENSP00000226524	879
PRDX2	9606.ENSP00000301522	876
MYL12A	9606.ENSP00000464359	875
GPX3	9606.ENSP00000373477	858
LYZ	9606.ENSP00000261267	857
PON1	9606.ENSP00000222381	853
H2AX	9606.ENSP00000434024	850
H2AC1	9606.ENSP00000297012	843
NME2	9606.ENSP00000376886	843
AGT	9606.ENSP00000355627	835
H4C6	9606.ENSP00000244537	830
H4C11	9606.ENSP00000347168	830
H4C2	9606.ENSP00000366974	830
H4C3	9606.ENSP00000367034	830
H4-16	9606.ENSP00000443017	830
H4C15	9606.ENSP00000462355	830
H4C14	9606.ENSP00000462667	830
H4C1	9606.ENSP00000479106	830
H4C4	9606.ENSP00000479461	830
H4C12	9606.ENSP00000479794	830
H4C13	9606.ENSP00000480960	830
H4C9	9606.ENSP00000481486	830
H4C5	9606.ENSP00000484789	830
H4C8	9606.ENSP00000489236	830
ACTN1	9606.ENSP00000377941	818
SERPINF1	9606.ENSP00000254722	804
C1QBP	9606.ENSP00000225698	804
PLEK	9606.ENSP00000234313	794
CST3	9606.ENSP00000381448	790
IGFBP3	9606.ENSP00000370473	787
ACTC1	9606.ENSP00000290378	786
S100A11	9606.ENSP00000271638	775
ACTG2	9606.ENSP00000386857	768
ACTA2	9606.ENSP00000224784	763
ARHGDIB	9606.ENSP00000228945	762
TUBA1C	9606.ENSP00000443475	760
EEF2	9606.ENSP00000307940	759
RPLP2	9606.ENSP00000431240	758
MSN	9606.ENSP00000353408	753
RANBP1	9606.ENSP00000401564	753
H3-3B	9606.ENSP00000254810	752
H3-3A	9606.ENSP00000355780	752
C1S	9606.ENSP00000385035	745
HNRNPK	9606.ENSP00000365458	744
ILK	9606.ENSP00000379975	742
BANF1	9606.ENSP00000433760	730
PRDX6	9606.ENSP00000342026	730
APOM	9606.ENSP00000365081	729
CAVIN2	9606.ENSP00000305675	723
SNRPD1	9606.ENSP00000300413	720
SAA2-SAA4	9606.ENSP00000485552	714
CD5L	9606.ENSP00000357156	709
ANXA5	9606.ENSP00000296511	702
