Gene,MF.score
PARP1,6.100357025591738e-4
SLC25A4,1.545351982351702e-4
DNA2,2.0507640189873331e-4
TYMP,1.6531421994474377e-4
ENDOG,2.0134756970502897e-4
LIG3,2.552559361111573e-4
MEF2A,7.035283370148981e-5
MPV17,2.3771148766319223e-5
OPA1,3.430057225747806e-4
POLG,1.0985714198239409e-4
RRM1,1.274989121169852e-4
SSBP1,1.0051359427391735e-4
TOP3A,6.738399620499606e-5
TP53,7.041718537326865e-4
DNAJA3,1.2478819022221577e-4
LONP1,1.0973075425578747e-4
AKT3,6.26429280378988e-5
POLG2,6.080574064149862e-5
RRM2B,1.219044119682773e-4
SLC25A36,8.678018563096957e-5
TWNK,6.52477102621652e-5
METTL4,1.874615622904275e-4
PIF1,2.0836018729403205e-4
SESN2,1.8998264615384983e-4
SLC25A33,1.3797426412655962e-4
NEURL4,1.2056996875414091e-5
MGME1,4.3573892456588934e-5
CHCHD4,1.27429915956134e-4
PRIMPOL,4.492280161119942e-5
STOX1,1.644540620946894e-4
ERCC8,8.131470048714733e-5
ERCC6,1.5282086921897126e-4
LIG4,2.5751498912746854e-4
TERF2,7.749217114099465e-4
TNP1,1.111269452169737e-4
UNG,1.3446482702787017e-4
XRCC1,2.3469809124355555e-4
SIRT1,0.0011312235516855252
APTX,2.173005581938347e-4
NEIL3,9.663739876057524e-5
TDP1,7.857265333085244e-5
APLF,5.211268427390411e-5
XNDC1N,4.7902154894549804e-6
SLC5A1,4.172800497390968e-4
SLC5A2,1.8323831590093964e-4
ABL1,7.564554945393399e-4
ACTB,3.446285189182767e-4
ACTL6A,7.68384216627915e-5
BCL6,4.2701781163051125e-4
BLM,2.562289201771552e-4
C1QBP,2.490772687765336e-4
CD28,1.0478267583295046e-4
CD40,1.9985161344096287e-4
CHEK1,7.752266266355113e-5
CREBBP,1.5947958936468067e-4
CSNK2A1,1.0820222008676215e-4
ERCC2,1.868272068891071e-4
FANCB,2.360451950059046e-5
FUS,2.0958374765772782e-5
MSH6,2.2987372617974588e-4
H1-0,2.367687896479763e-5
H1-2,9.617247891132127e-6
H1-3,9.617247891132127e-6
H1-4,1.0611387932596391e-5
H1-5,1.9923191451860823e-5
H1-6,8.808704075778685e-6
H1-1,1.2732004781241042e-5
PRMT1,2.509178753256506e-4
IL2,3.010818101033999e-4
IL4,2.559368980359865e-4
IL7R,9.248855191344602e-5
IL10,5.473539448191841e-4
KPNA1,5.353612135325147e-5
KPNA2,8.334348610753399e-5
MLH1,3.5379126770840183e-4
MRE11,2.2553614617597806e-4
MSH2,3.310775621329152e-4
MSH3,1.4485852543425124e-4
NBN,1.5041283167435509e-4
PLK1,2.1089347197045689e-4
PMS2,1.345082624728047e-4
PPP4C,2.2736898162526358e-5
PTPRC,4.3593272917497695e-4
RAD51,3.4995356385737205e-4
RPA2,5.24475730171411e-5
SKP2,3.482202439234013e-5
STAT6,1.3287977104003637e-4
SUPT6H,5.682833349872135e-5
VPS72,1.815344326314836e-5
TFRC,1.476081508952241e-4
TGFB1,0.001111054912388631
TP53BP1,7.645563332545013e-5
TNFSF4,5.828361624579276e-4
UBE2B,1.187441715820106e-4
WAS,9.499797945197329e-5
NSD2,1.6779734198818437e-4
YEATS4,1.9231432629227374e-5
TRRAP,3.12757499106957e-5
RUVBL1,1.0984999912653377e-4
TNFSF13,5.619725835218123e-5
TIMELESS,1.2123012177815111e-4
H1-10,8.752876315287206e-6
