Gene_EntrezID,DE_Prior_Rank,gene_symbol
7503,1,XIST
8653,0.999947840600876,DDX3Y
9086,0.999869601502191,EIF1AY
8284,0.999869601502191,KDM5D
8287,0.999791362403505,USP9Y
246126,0.99971312330482,TXLNGY
1960,0.99971312330482,EGR3
1958,0.999634884206134,EGR1
1545,0.99958272480701,CYP1B1
3500,0.999504485708325,IGHG1
3429,0.999504485708325,IFI27
3576,0.999426246609639,CXCL8
2354,0.999374087210515,FOSB
378938,0.999321927811392,MALAT1
9383,0.999243688712706,TSIX
3043,0.999243688712706,HBB
7544,0.99916544961402,ZFY
5996,0.999113290214897,RGS1
10964,0.999061130815773,IFI44L
7057,0.998982891717087,THBS1
4057,0.998982891717087,LTF
2920,0.998904652618402,CXCL2
83869,0.998852493219278,TTTY14
1277,0.998800333820154,COL1A1
2353,0.998748174421031,FOS
3117,0.998696015021907,HLA-DQA1
7153,0.998643855622783,TOP2A
260436,0.99859169622366,FDCSP
6373,0.998513457124974,CXCL11
5743,0.998513457124974,PTGS2
3638,0.998409138326727,INSIG1
608,0.998409138326727,TNFRSF17
23764,0.998330899228041,MAFF
6374,0.998278739828917,CXCL5
5450,0.998200500730232,POU2AF1
4929,0.998200500730232,NR4A2
3223,0.998122261631546,HOXC6
6241,0.998070102232422,RRM2
4312,0.998017942833299,MMP1
1959,0.997965783434175,EGR2
3248,0.997913624035051,HPGD
91543,0.997835384936366,RSAD2
6279,0.997835384936366,S100A8
57016,0.99775714583768,AKR1B10
96610,0.997652827039432,BMS1P20
6364,0.997652827039432,CCL20
3045,0.997652827039432,HBD
100133941,0.997548508241185,CD24
6347,0.997496348842061,CCL2
9518,0.997444189442938,GDF15
10631,0.997365950344252,POSTN
2919,0.997365950344252,CXCL1
1281,0.997287711245566,COL3A1
7130,0.997209472146881,TNFAIP6
5166,0.997209472146881,PDK4
115908,0.997131233048195,CTHRC1
4321,0.997079073649072,MMP12
4680,0.997026914249948,CEACAM6
3627,0.996948675151262,CXCL10
3512,0.996948675151262,JCHAIN
22829,0.996870436052577,NLGN4Y
50486,0.996740037554767,G0S2
4283,0.996740037554767,CXCL9
1278,0.996740037554767,COL1A2
467,0.996740037554767,ATF3
645784,0.996609639056958,ANKRD36BP2
3725,0.996557479657834,JUN
23657,0.996479240559149,SLC7A11
9021,0.996479240559149,SOCS3
5806,0.996401001460463,PTX3
948,0.996348842061339,CD36
1116,0.996296682662216,CHI3L1
1462,0.996244523263092,VCAN
7852,0.996166284164406,CXCR4
7404,0.996166284164406,UTY
6696,0.996088045065721,SPP1
150094,0.996035885666597,SIK1
4256,0.995983726267473,MGP
4311,0.99593156686835,MME
969,0.995879407469226,CD69
6352,0.995827248070102,CCL5
8644,0.995775088670979,AKR1C3
1839,0.995722929271855,HBEGF
1843,0.995670769872731,DUSP1
7128,0.995618610473607,TNFAIP3
1301,0.995566451074484,COL11A1
118430,0.99551429167536,MUCL1
4493,0.995462132276236,MT1E
9314,0.995409972877112,KLF4
10561,0.995357813477989,IFI44
1646,0.995305654078865,AKR1C2
10202,0.995253494679741,DHRS2
2069,0.995201335280618,EREG
10563,0.995149175881494,CXCL13
441168,0.99509701648237,CALHM6
4969,0.994992697684123,OGN
3575,0.994992697684123,IL7R
212,0.994992697684123,ALAS2
2877,0.994888378885875,GPX2
6423,0.99481013978719,SFRP2
374,0.99481013978719,AREG
5055,0.994731900688504,SERPINB2
7474,0.99467974128938,WNT5A
7980,0.994627581890257,TFPI2
1846,0.994575422491133,DUSP4
54443,0.994471103692885,ANLN
760,0.994471103692885,CA2
330,0.994471103692885,BIRC3
55872,0.994366784894638,PBK
8870,0.994314625495514,IER3
597,0.994262466096391,BCL2A1
10351,0.994210306697267,ABCA8
6372,0.994158147298143,CXCL6
283120,0.994105987899019,H19
6280,0.994053828499896,S100A9
259282,0.99397558940121,BOD1L1
2921,0.99397558940121,CXCL3
27074,0.993871270602963,LAMP3
4070,0.993871270602963,TACSTD2
1848,0.993793031504277,DUSP6
118932,0.993740872105153,ANKRD22
259266,0.99368871270603,ASPM
3934,0.993636553306906,LCN2
3569,0.993584393907782,IL6
51237,0.993506154809097,MZB1
4603,0.993506154809097,MYBL1
100423062,0.993401836010849,IGLL5
2706,0.993401836010849,GJB2
1844,0.993323596912164,DUSP2
3434,0.99327143751304,IFIT1
6947,0.993219278113916,TCN1
3397,0.993167118714792,ID1
10875,0.993114959315669,FGL2
9547,0.993036720216983,CXCL14
1602,0.993036720216983,DACH1
125,0.992958481118298,ADH1B
8553,0.992880242019612,BHLHE40
4837,0.992880242019612,NNMT
3162,0.992802002920926,HMOX1
54855,0.992749843521803,TENT5C
