,gene_symbol,UMAP 0,UMAP 1
0,A1CF,2.8315005,2.5465732
1,A4GALT,6.559547,-2.4844558
2,AAAS,5.3726463,2.2653754
3,AACS,5.0490756,-0.89122283
4,AADAT,7.6563835,3.2161386
5,AAGAB,4.528312,3.8219593
6,AAK1,7.7412677,3.935388
7,AAMDC,3.7800913,3.313893
8,AAMP,6.277108,6.005876
9,AANAT,5.870347,-0.82918775
10,AAR2,6.2848926,2.2821634
11,AARD,6.5281463,-1.6411122
12,AARS1,6.048278,2.161949
13,AARS2,7.045666,-2.8658788
14,AASS,6.427704,-0.4655655
15,AATF,0.35055634,-0.33483052
16,AATK,6.7280574,-2.781894
17,ABAT,6.3248544,-2.2322054
18,ABCA1,0.9891319,3.5497887
19,ABCA12,1.3407196,-0.69473755
20,ABCA13,5.0072126,0.83063215
21,ABCA2,4.831307,0.60997725
22,ABCA4,9.359138,4.3698087
23,ABCA5,1.1426743,2.4464815
24,ABCA6,0.6377293,2.1386018
25,ABCA7,6.59443,2.3329093
26,ABCA8,2.8017244,1.216693
27,ABCA9,8.149972,3.259263
28,ABCB1,5.946417,3.938755
29,ABCB11,4.269324,2.848998
30,ABCB4,2.834469,3.4366944
31,ABCB6,5.615771,1.6493964
32,ABCB7,6.5502477,-1.9897927
33,ABCB8,6.015674,-2.3800478
34,ABCB9,4.534126,-0.95451856
35,ABCC1,8.317657,1.1990738
36,ABCC3,9.0686245,2.018099
37,ABCC4,7.406269,1.8541363
38,ABCC5,4.8558908,3.4983425
39,ABCC6,8.292208,1.1493405
40,ABCC8,5.5557146,1.2247604
41,ABCC9,0.98707014,3.928716
42,ABCD3,4.7236414,-1.5574394
43,ABCE1,8.3014965,4.073555
44,ABCF1,8.966627,4.2066555
45,ABCF2,8.150787,4.4457893
46,ABCF3,8.197302,3.9797802
47,ABCG1,4.97247,-0.97899187
48,ABCG2,8.545311,1.6603001
49,ABCG8,6.09427,-0.200488
50,ABHD10,6.5189376,-0.92536855
51,ABHD11,6.8638973,-2.8102694
52,ABHD12B,0.68549436,2.8416135
53,ABHD13,6.099433,2.3958347
54,ABHD14A,4.906316,-1.0900712
55,ABHD14B,0.669788,-0.08353778
56,ABHD15,4.0501575,2.758379
57,ABHD16B,0.12174085,2.3148494
58,ABHD17A,6.5115724,1.08905
59,ABHD18,2.2748578,5.401246
60,ABHD2,6.604306,2.9579935
61,ABHD3,6.0168214,1.5462532
62,ABHD4,2.0148907,1.5105044
63,ABHD5,5.5364246,1.9516304
64,ABHD6,4.727555,0.76717776
65,ABHD8,0.5578408,2.4348922
66,ABI1,7.9843974,2.2315726
67,ABI2,4.0259886,2.1735702
68,ABITRAM,3.744956,2.6059878
69,ABL1,0.1551449,2.9602284
