,gene_symbol,UMAP 0,UMAP 1
0,A1BG,4.2163763,1.591518
1,A1BG-AS1,5.9603686,-2.2914827
2,A1CF,-0.88799477,-2.9388373
3,A2M,4.163057,1.640451
4,A2M-AS1,5.8463163,-2.2450445
5,A2ML1,4.0548368,1.5855336
6,A2ML1-AS1,5.858186,-2.247556
7,A2MP1,0.32298332,1.7352021
8,A3GALT2,-3.1114268,-0.54844284
9,A4GALT,-3.090108,-0.45655447
10,A4GNT,-3.0565994,-0.40367433
11,AA06,8.8247595,-4.7585135
12,AAAS,0.53511,3.5239937
13,AACS,-2.6977153,1.5851508
14,AACSP1,-2.53369,1.553935
15,AADAC,-1.9807478,1.7705039
16,AADACL2,-1.9443396,1.6855695
17,AADACL2-AS1,5.6494937,-2.4048886
18,AADACL3,-2.0228627,1.6898377
19,AADACL4,-2.0075324,1.7043495
20,AADACP1,-2.0366101,1.7173247
21,AADAT,-2.153547,1.8410047
22,AAGAB,2.9508996,2.78884
23,AAK1,3.0557442,2.6205752
24,AAMDC,3.173549,-0.65449464
25,AAMP,4.121028,0.71458036
26,AANAT,-1.9366294,2.1571813
27,AAR2,0.109241955,0.58178985
28,AARD,1.9035122,-0.014493486
29,AARS1,-1.6436422,2.4779794
30,AARS1P1,-1.3993659,2.3419547
31,AARS2,-1.6877416,2.578203
32,AARSD1,-1.6625782,2.47086
33,AARSD1P1,-0.2756407,1.8496546
34,AASDH,-2.1921449,1.7865239
35,AASDHPPT,-2.2199838,1.6997762
36,AASS,-2.2377293,1.7427173
37,AATBC,8.103303,-5.8063326
38,AATF,0.96666175,2.8613288
39,AATK,2.6248598,1.3951678
40,ABALON,5.8383784,-2.1481364
41,ABAT,-2.1649392,1.9304422
42,ABCA1,6.0353785,5.881202
43,ABCA10,6.062594,5.90524
44,ABCA11P,6.026322,5.877533
45,ABCA12,6.032459,5.8829346
46,ABCA13,6.0431986,5.8863325
47,ABCA17P,6.0283833,5.8769836
48,ABCA2,6.039867,5.885723
49,ABCA3,6.033092,5.882049
50,ABCA4,6.0150847,5.8628163
51,ABCA5,6.0533557,5.8886895
52,ABCA6,6.041074,5.8882217
53,ABCA7,6.0425906,5.884097
54,ABCA8,6.0388136,5.8839602
55,ABCA9,6.039161,5.8842034
56,ABCA9-AS1,6.1144533,-2.4081123
57,ABCB1,6.0569687,5.883588
58,ABCB10,6.0573297,5.892843
59,ABCB10P3,5.9824986,5.8512535
60,ABCB11,6.0808887,5.89124
61,ABCB4,6.1146226,5.901034
62,ABCB5,6.0586133,5.8892508
63,ABCB6,6.05575,5.894525
64,ABCB7,6.069122,5.8934913
65,ABCB8,6.090651,5.9197135
66,ABCB9,6.0401297,5.875461
67,ABCC1,6.05379,5.8875537
68,ABCC10,6.0612903,5.891629
69,ABCC11,6.0612326,5.8951325
70,ABCC12,6.0618343,5.8921676
71,ABCC13,6.0434027,5.880576
72,ABCC2,6.098478,5.9196544
73,ABCC3,6.0651693,5.895543
74,ABCC4,6.0628657,5.895023
75,ABCC5,6.0527973,5.8933
76,ABCC5-AS1,5.8084764,-2.4879766
77,ABCC6,6.058459,5.893664
78,ABCC8,6.0566745,5.8749084
79,ABCC9,6.069379,5.8938723
80,ABCD1,6.034457,5.8902597
81,ABCD1P3,6.0188713,5.870884
82,ABCD2,6.034272,5.885588
83,ABCD3,6.034887,5.8911123
84,ABCD4,6.030409,5.885761
85,ABCE1,6.042197,5.8854036
86,ABCF1,6.035228,5.8761635
87,ABCF2,6.031752,5.8760905
88,ABCF2P1,6.0272245,5.870524
89,ABCF2P2,6.017042,5.863565
90,ABCF3,6.0374656,5.8853045
91,ABCG1,6.0372643,5.886542
92,ABCG2,6.0554028,5.891258
93,ABCG4,6.040252,5.8863535
94,ABCG5,6.0405807,5.886312
95,ABCG8,6.03998,5.8838654
96,ABHD1,-2.8824058,1.3694193
97,ABHD10,-2.9633017,1.3845606
98,ABHD11,-2.9270184,1.3655276
99,ABHD11-AS1,5.9381084,-2.4304197
100,ABHD12,-2.9727855,1.3680687
101,ABHD12B,-2.9122148,1.3711941
102,ABHD13,-2.9562635,1.3591664
103,ABHD14A,-2.8897066,1.3942825
104,ABHD14A-ACY1,-2.3401947,1.4987419
105,ABHD14B,-2.9016774,1.3918959
106,ABHD15,-2.9131727,1.360673
