,gene_symbol,UMAP 0,UMAP 1
0,A1BG,-3.440681,1.1588737
1,A1CF,-0.13952677,0.6209657
2,A2M,-0.0880748,-0.031876016
3,A2ML1,0.8523385,3.628179
4,A3GALT2,2.3885767,1.8219613
5,A4GALT,-0.81373,-0.91729563
6,A4GNT,1.8093443,0.10740481
7,AAAS,2.4784658,-1.1812452
8,AACS,-1.6034371,1.1570758
9,AADAC,0.64662015,1.003532
10,AADACL2,2.5082777,1.1864413
11,AADACL3,-0.11380563,-0.16384135
12,AADACL4,0.19893564,1.2425479
13,AADAT,1.134578,1.0834548
14,AAGAB,3.707524,-1.7802956
15,AAK1,-2.2386503,-1.9561847
16,AAMDC,0.8561099,-3.9232335
17,AAMP,-0.9576286,-1.6244258
18,AANAT,0.8551962,1.8583107
19,AAR2,-2.734543,4.0978923
20,AARD,1.2982029,-0.0072590215
21,AARS2,-1.6895825,5.1890078
22,AARSD1,-3.1326225,-0.4491165
23,AASDH,-2.7966962,1.5925103
24,AASDHPPT,3.8043606,-1.0118917
25,AASS,-0.7116227,2.4024386
26,AATF,-3.71758,-0.4717005
27,AATK,4.041091,0.050346743
28,ABAT,-0.8568718,-2.9065654
29,ABCA1,-2.3826141,1.4448134
30,ABCA10,-1.7919785,-2.511733
31,ABCA12,-0.33724016,0.6163939
32,ABCA13,1.8071321,3.9943516
33,ABCA2,0.689296,3.8318427
34,ABCA3,-2.0387049,3.1653147
35,ABCA4,-0.0031004124,0.9195584
36,ABCA5,-1.8109627,-2.5603278
37,ABCA6,-1.7918327,-2.4990728
38,ABCA7,-1.5329754,-0.46970505
39,ABCA8,-0.25217098,0.10712247
40,ABCA9,-1.8008324,-2.5511942
41,ABCB1,0.24651188,-4.1115127
42,ABCB10,-4.7479815,0.5282849
43,ABCB11,0.42064735,0.34813836
44,ABCB4,0.6581197,3.1502655
45,ABCB5,0.39595363,0.7281489
46,ABCB6,-2.4426582,-0.5838051
47,ABCB7,-2.645329,3.7807682
48,ABCB8,5.5749803,0.00020094546
49,ABCB9,0.7883411,-1.0083162
50,ABCC1,4.391215,-2.5533905
51,ABCC10,-1.6456833,5.244391
52,ABCC11,-3.4440384,0.7333588
53,ABCC12,0.2939977,-0.3185942
54,ABCC2,1.9672796,-1.6223501
55,ABCC3,-1.759439,0.8814474
56,ABCC4,-3.138922,-3.5225308
57,ABCC5,1.1876438,1.1812907
58,ABCC6,0.45994556,1.3929331
59,ABCC8,0.55888176,3.0259635
60,ABCC9,1.088166,-2.889706
61,ABCD1,3.5037742,-4.114156
62,ABCD2,-0.8184481,1.4465302
63,ABCD3,2.0737665,-2.8376422
64,ABCD4,-4.630367,-0.1962611
65,ABCE1,2.3552587,-1.5130279
66,ABCF1,1.4706333,1.2304002
67,ABCF2,-1.0637128,-1.0877897
68,ABCF3,0.6532282,-2.768865
69,ABCG1,0.18967548,-1.9350421
70,ABCG2,-0.059999004,0.08408568
71,ABCG4,-2.253955,-1.0508702
72,ABCG5,0.122122005,2.698976
73,ABCG8,-1.1633099,0.93125546
74,ABHD1,-1.8559217,0.6162133
75,ABHD10,1.2631292,-1.0446949
76,ABHD11,0.5451411,-0.7981464
77,ABHD12,1.2274369,-0.039452475
78,ABHD12B,2.4044607,3.497796
79,ABHD13,-0.85517097,3.3621287
80,ABHD14A,2.1777596,-1.0457065
81,ABHD14A-ACY1,1.1602353,1.1770996
82,ABHD14B,0.9022508,1.1054447
83,ABHD15,3.105756,-3.3444
84,ABHD16A,-1.5046269,2.3809652
85,ABHD16B,-0.5035015,1.0015519
86,ABHD17A,0.93223995,2.1721807
87,ABHD17B,0.7121893,3.8628104
88,ABHD17C,2.6144142,-4.6420407
89,ABHD18,1.5925472,-2.1517267
90,ABHD2,-0.9741757,2.5459747
91,ABHD3,-1.5491289,2.2462404
92,ABHD4,1.7593529,-1.1253355
93,ABHD5,-1.857573,1.523496
94,ABHD6,-1.4477714,-1.7967643
95,ABHD8,-1.3083966,-3.5276265
96,ABI1,2.174944,-4.6727414
97,ABI2,-0.37552443,2.0750103
98,ABI3,-1.7278005,0.8291635
99,ABI3BP,0.020106552,-0.19690338
100,ABITRAM,-4.7682924,0.70472664
101,ABL1,1.8963348,-2.2283428
102,ABL2,1.1086452,3.3155062
103,ABLIM1,1.6606048,-2.1156964
104,ABLIM2,-0.24608266,-2.0580935
105,ABLIM3,-0.46544898,1.5167519
106,ABO,1.5940655,-0.4696473
107,ABR,0.8061297,-1.5958117
108,ABRA,-0.27230686,-2.3530643
109,ABRACL,-0.37812063,-0.45033938
110,ABRAXAS1,-2.7787504,-0.08815033
111,ABRAXAS2,-0.95004743,4.5087776
112,ABT1,-0.26229864,-1.2648209
