,gene_symbol,UMAP 0,UMAP 1
0,A1BG,10.906875,13.108941
1,A1CF,6.80625,10.026207
2,A2M,7.939029,9.295029
3,A2ML1,10.49786,8.514881
4,A3GALT2,8.228991,12.539432
5,A4GNT,11.011196,6.7971168
6,AAAS,9.93259,13.999041
7,AACS,13.475198,7.9993362
8,AADAC,11.106864,1.7291876
9,AADACL2,7.610028,5.6424084
10,AADACL3,14.108404,6.594792
11,AADACL4,11.59184,8.589412
12,AADAT,10.745233,5.4430237
13,AAGAB,7.1840615,10.545612
14,AAK1,8.130506,6.164455
15,AAMDC,8.119243,10.749916
16,AAMP,8.892774,14.432499
17,AANAT,10.80147,11.629788
18,AAR2,7.9063754,12.365779
19,AARD,8.13086,8.973093
20,AARS2,10.913226,9.77383
21,AARSD1,13.387816,7.9313245
22,AASDH,7.5415335,9.197588
23,AASDHPPT,9.117748,7.6399493
24,AASS,8.278835,6.3172603
25,AATF,5.299469,13.34299
26,AATK,10.874271,8.901849
27,ABAT,10.260632,10.947829
28,ABCA1,10.220766,10.24845
29,ABCA12,7.3266516,9.969611
30,ABCA13,8.70784,5.5063787
31,ABCA2,8.192628,14.574967
32,ABCA3,10.291171,9.054216
33,ABCA4,7.846012,9.89502
34,ABCA5,7.975079,8.529041
35,ABCA6,6.170492,10.414714
36,ABCA7,11.237586,13.707408
37,ABCA8,10.877796,6.630889
38,ABCA9,7.9659395,4.9564657
39,ABCB1,7.8698797,9.288646
40,ABCB10,12.329017,10.248599
41,ABCB5,8.23725,6.3751445
42,ABCB6,9.403307,14.68786
43,ABCB7,8.47566,8.519933
44,ABCB8,9.572026,14.082019
45,ABCB9,10.969958,12.156002
46,ABCC1,13.238528,10.572941
47,ABCC10,5.178313,5.1011753
48,ABCC11,8.735457,10.046472
49,ABCC12,9.45432,10.101999
50,ABCC3,8.479205,14.428309
51,ABCC5,11.041133,10.501058
52,ABCC6,12.388778,14.184524
53,ABCC8,8.260865,11.132912
54,ABCC9,9.557224,6.537073
55,ABCD1,10.139201,11.652277
56,ABCD2,7.029273,10.337682
57,ABCD3,8.2282095,9.064418
58,ABCD4,13.381398,10.335688
59,ABCE1,8.41247,8.001917
60,ABCF1,11.195141,10.306499
61,ABCF2,9.6720705,14.173257
62,ABCF3,8.99995,14.761934
63,ABCG1,10.556541,5.4623876
64,ABCG2,10.86401,9.7080965
65,ABCG4,12.714185,10.519328
66,ABCG5,9.600482,11.168946
67,ABCG8,10.097993,11.389035
68,ABHD1,10.108382,10.662445
69,ABHD10,5.9762444,11.347902
70,ABHD11,13.3698015,11.128809
71,ABHD12,8.9865885,1.5612497
72,ABHD12B,7.1129794,10.502207
73,ABHD13,7.02788,10.816556
74,ABHD14A,8.4731245,14.276731
75,ABHD14A-ACY1,8.46888,14.27978
76,ABHD14B,9.415273,13.361927
77,ABHD15,8.870569,15.016491
78,ABHD16A,10.902412,12.947
79,ABHD17A,14.651424,10.791281
80,ABHD17B,9.4666195,9.346297
81,ABHD17C,8.796521,9.230288
82,ABHD2,9.535047,9.3120985
83,ABHD3,12.666512,6.687794
84,ABHD4,9.7965,9.8725
85,ABHD6,8.362168,8.965075
86,ABHD8,11.135698,13.04503
87,ABI1,11.901972,10.215715
88,ABI2,13.126228,10.357862
89,ABI3,11.25513,6.5965357
90,ABI3BP,8.175229,6.05525
91,ABITRAM,7.5609894,10.291785
92,ABL1,6.512729,8.159034
93,ABL2,11.934943,10.286023
94,ABLIM1,6.851587,10.846263
95,ABLIM2,8.108991,12.355007
96,ABLIM3,7.5495315,11.425706
97,ABO,11.017224,1.8828163
98,ABR,10.819025,12.708119
99,ABRA,9.409991,6.9461102
100,ABRACL,10.63068,8.621621
101,ABRAXAS1,12.543416,9.544384
102,ABRAXAS2,12.497972,10.410173
103,ABT1,10.063463,8.394114
104,ABTB1,7.1537733,8.462431
105,ABTB2,8.783336,6.4928193
106,ACAA1,9.935844,8.123409
107,ACAA2,9.228068,9.443149
108,ACACA,13.286112,10.142176
109,ACACB,9.770573,10.312263
110,ACAD10,11.500227,10.858011
111,ACAD11,7.0847473,8.268343
112,ACAD8,7.415235,13.439996
113,ACAD9,10.189138,10.066615
114,ACADL,8.662029,9.368064
115,ACADM,8.567764,5.931229
116,ACADS,7.0302258,12.964627
117,ACADSB,8.034765,10.146943
118,ACADVL,9.29241,15.181715
119,ACAN,7.69209,11.284161
120,ACAP1,10.083631,14.413112
121,ACAP2,8.997407,9.836225
122,ACAP3,8.4594755,14.431082
123,ACAT1,11.816362,9.4379635
124,ACAT2,7.6530676,10.86101
125,ACBD3,12.353801,10.569829
126,ACBD4,10.060725,12.837459
127,ACBD5,6.2193127,11.987456
128,ACBD6,12.388447,7.019825
129,ACBD7,11.057753,11.118088
130,ACCS,10.04059,8.544077
131,ACCSL,8.257472,9.269225
132,ACD,9.236274,14.500561
133,ACE,10.610463,10.879937
134,ACE2,7.90102,6.8266006
135,ACER1,14.21523,10.697541
136,ACER2,10.30764,9.179979
137,ACER3,10.469835,9.064526
138,ACHE,13.61277,11.390456
139,ACIN1,9.869433,13.764873
140,ACKR1,7.4780765,13.5479145
141,ACKR2,12.458978,7.8327494
142,ACKR3,8.99927,8.626268
143,ACKR4,7.68346,5.766583
144,ACLY,12.992814,11.002496
145,ACMSD,7.773407,3.3134768
146,ACO1,11.892486,5.7506785
147,ACO2,11.468591,11.205196
148,ACOD1,8.216715,9.355718
149,ACOT1,12.905273,9.906912
150,ACOT11,8.939256,11.776231
151,ACOT12,7.647636,9.453842
152,ACOT13,6.9327397,8.187404
153,ACOT2,12.969468,6.915535
154,ACOT4,12.6963005,6.9723206
155,ACOT7,13.010933,6.938485
156,ACOT8,12.097891,10.436393
157,ACOT9,12.225631,9.293967
158,ACOX1,13.254811,9.58161
159,ACOX2,9.192936,5.779386
160,ACOX3,9.349166,10.691603
161,ACOXL,7.1883397,7.5626006
162,ACP1,8.759061,8.923735
163,ACP4,11.488202,12.36692
164,ACP6,12.527519,6.7020435
165,ACP7,12.65447,11.343163
166,ACR,8.254276,14.692012
167,ACRBP,13.361178,10.874584
168,ACRV1,9.1596985,9.383953
169,ACSBG1,12.699631,6.6131177
170,ACSBG2,11.046391,10.507576
171,ACSF2,14.129044,6.553693
172,ACSF3,8.512938,12.025569
173,ACSL1,7.809011,10.250143
174,ACSL3,5.0066104,5.144678
175,ACSL5,12.820352,6.7425084
176,ACSM1,8.418652,6.5376067
177,ACSM2A,8.433446,8.849617
178,ACSM2B,8.246025,8.996507
179,ACSM3,7.4415326,5.456075
180,ACSM4,11.193402,7.10498
181,ACSM5,10.064462,10.806864
182,ACSM6,7.8040056,8.531781
183,ACSS1,7.733504,11.637873
184,ACSS2,10.226794,11.713232
185,ACSS3,8.067519,3.6718283
186,ACTA1,9.469257,11.303692
187,ACTA2,7.4793434,9.267221
188,ACTBL2,6.268921,11.043385
189,ACTC1,7.032585,10.633386
190,ACTG1,7.988465,14.446817
191,ACTG2,10.165581,9.223159
192,ACTL6A,9.752283,10.322281
193,ACTL6B,13.516617,10.754353
194,ACTL7A,7.863475,11.608049
195,ACTL7B,7.5681973,11.551635
196,ACTL8,8.625136,11.088719
197,ACTL9,12.012004,12.273834
198,ACTN1,8.875037,10.202853
199,ACTN2,9.776259,7.89699
200,ACTN3,11.315059,11.507615
201,ACTN4,13.927525,11.155132
202,ACTR10,9.615591,8.99726
203,ACTR1A,9.612845,11.861932
204,ACTR1B,10.163559,10.410761
205,ACTR2,10.806938,8.725211
206,ACTR3,8.952975,9.789604
207,ACTR3B,11.3437195,9.369016
208,ACTR5,11.840466,9.891127
209,ACTR6,8.920283,11.219086
210,ACTR8,7.7781367,9.681008
211,ACTRT1,8.235714,5.3472366
212,ACTRT2,7.92441,13.870457
213,ACTRT3,7.133441,10.904618
214,ACVR1,9.300322,9.57709
215,ACVR1B,8.305909,9.706135
216,ACVR1C,6.983023,9.841564
217,ACVR2A,8.4481735,9.029002
218,ACVR2B,14.196827,6.620595
219,ACVRL1,9.365215,12.479518
220,ACY1,10.863296,12.7967205
221,ACY3,13.692216,7.740043
222,ACYP1,8.000915,9.94713
223,ACYP2,10.884217,10.953032
224,ADA,9.897525,10.088107
225,ADA2,11.950859,10.030293
226,ADAD1,8.312288,5.7136626
227,ADAD2,9.418624,13.497557
228,ADAL,7.919685,10.629644
229,ADAM10,11.247909,10.340152
230,ADAM11,9.567072,13.912791
231,ADAM12,7.397834,10.783268
232,ADAM15,9.409179,13.403728
233,ADAM17,12.271029,10.403445
234,ADAM18,7.306379,9.230949
235,ADAM19,8.633927,8.614581
236,ADAM2,9.538831,7.3863025
237,ADAM20,13.923571,7.347025
238,ADAM21,13.990435,6.947802
239,ADAM22,9.180922,4.5872254
240,ADAM23,7.313808,10.343199
241,ADAM28,8.188734,5.3625298
242,ADAM29,9.15015,7.5417185
243,ADAM30,9.384563,5.7528343
244,ADAM32,8.009336,8.49048
245,ADAM33,9.380768,13.207043
246,ADAM7,7.7812333,9.32226
247,ADAM8,7.948059,14.328582
248,ADAM9,6.5412064,11.506393
249,ADAMDEC1,8.809733,7.3705597
250,ADAMTS1,13.871743,6.7541537
251,ADAMTS10,12.675337,12.307399
252,ADAMTS12,8.917715,8.473055
253,ADAMTS13,10.052406,10.479595
254,ADAMTS14,9.489505,9.997603
255,ADAMTS15,7.5843825,11.934173
256,ADAMTS16,12.652899,6.5002933
257,ADAMTS17,7.199778,7.865589
258,ADAMTS18,7.2466564,10.986077
259,ADAMTS19,8.997306,8.415642
260,ADAMTS2,7.412981,12.748849
261,ADAMTS20,8.850008,6.3944116
262,ADAMTS3,7.1050944,10.719496
263,ADAMTS4,9.570544,14.295022
264,ADAMTS5,6.2564344,10.521882
265,ADAMTS6,11.456585,6.0527773
266,ADAMTS7,11.806022,10.22577
267,ADAMTS8,7.212967,11.279633
268,ADAMTS9,7.4387403,9.073469
269,ADAMTSL1,7.0390215,10.372269
270,ADAMTSL3,8.281852,9.591429
271,ADAMTSL4,13.315821,11.259359
272,ADAMTSL5,11.175248,13.035498
273,ADAP1,9.923512,12.80278
274,ADAP2,12.526327,10.642631
275,ADAR,9.379204,8.848516
276,ADARB1,9.032646,8.600006
277,ADARB2,6.882276,11.370947
278,ADAT1,10.023028,10.116005
279,ADAT2,7.679677,10.148946
280,ADAT3,14.583336,10.853836
281,ADCK1,13.105768,8.958154
282,ADCK2,7.7087674,5.4438305
283,ADCK5,12.856652,8.684781
284,ADCY1,7.813018,11.813434
285,ADCY10,7.6475425,10.493766
286,ADCY2,6.0974894,11.404816
287,ADCY4,9.680364,14.153358
288,ADCY5,9.268894,11.359017
289,ADCY6,12.174635,11.447598
290,ADCY8,6.776438,10.581197
291,ADCY9,12.715781,10.7666855
292,ADCYAP1,6.4922,11.094874
293,ADCYAP1R1,7.8715615,12.701401
294,ADD2,8.073924,9.078099
295,ADD3,7.9526477,10.366534
296,ADGB,8.762615,8.578902
297,ADGRA1,7.8393865,14.627107
