,gene_symbol,UMAP 0,UMAP 1
0,A1BG,9.129187,2.1222088
1,A1CF,6.8103523,8.611497
2,A2M,8.626857,2.394423
3,A2ML1,8.588625,2.4115808
4,A3GALT2,4.2220793,4.150919
5,A4GALT,4.1712356,4.0977855
6,A4GNT,4.4896827,4.3967195
7,AAAS,16.04624,2.1986074
8,AACS,4.0330715,5.4421644
9,AADAC,4.2765527,5.625873
10,AADACL2,4.2882676,5.597658
11,AADACL3,4.282057,5.5779023
12,AADACL4,4.2581053,5.5436974
13,AADAT,4.7598505,5.865672
14,AAGAB,12.352354,-1.7128093
15,AAK1,12.347085,-1.7062938
16,AAMDC,8.034339,1.1239485
17,AAMP,8.576294,1.6251447
18,AANAT,11.642364,-1.1319338
19,AAR2,13.728426,3.2662249
20,AARD,9.925937,9.311137
21,AARS2,5.1676583,6.154451
22,AARSD1,5.130655,6.1934724
23,AASDH,4.726986,5.776548
24,AASDHPPT,4.787924,5.642042
25,AASS,4.6026015,5.7078533
26,AATF,9.374474,5.53386
27,AATK,9.179307,6.5804973
28,ABAT,4.725718,5.7893186
29,ABCA1,0.05884652,10.757806
30,ABCA10,0.05468013,10.762124
31,ABCA12,0.056736585,10.759906
32,ABCA13,0.08359936,10.733018
33,ABCA2,0.055314593,10.760581
34,ABCA3,0.06010065,10.757031
35,ABCA4,0.058559783,10.758098
36,ABCA5,0.05694491,10.760769
37,ABCA6,0.052554112,10.764092
38,ABCA7,0.053347483,10.763384
39,ABCA8,0.052281376,10.764385
40,ABCA9,0.052240133,10.764494
41,ABCB1,0.070158854,10.747119
42,ABCB10,0.0636483,10.754264
43,ABCB11,0.06692764,10.751392
44,ABCB4,0.06322752,10.754138
45,ABCB5,0.05812514,10.759607
46,ABCB6,0.049977683,10.766456
47,ABCB7,0.0676437,10.75031
48,ABCB8,0.05985656,10.758611
49,ABCB9,0.05607576,10.760702
50,ABCC1,0.044950526,10.771268
51,ABCC10,0.043833353,10.77271
52,ABCC11,0.009681,10.806798
53,ABCC12,0.042090118,10.774281
54,ABCC2,0.040967375,10.775434
55,ABCC3,0.04771932,10.768674
56,ABCC4,0.044654444,10.771539
57,ABCC5,0.04332862,10.772973
58,ABCC6,0.083144695,10.73316
59,ABCC8,0.042312287,10.773952
60,ABCC9,0.043267198,10.773266
61,ABCD1,0.05517249,10.76027
62,ABCD2,0.0541774,10.761547
63,ABCD3,0.05446565,10.761298
64,ABCD4,0.057466634,10.758261
65,ABCE1,0.04697684,10.770476
66,ABCF1,0.049189236,10.767254
67,ABCF2,-0.011576144,10.82721
68,ABCF3,0.040461093,10.776266
69,ABCG1,0.05388734,10.762526
70,ABCG2,0.060735572,10.756036
71,ABCG4,0.05470373,10.76177
72,ABCG5,0.053382877,10.762944
73,ABCG8,0.053334646,10.763496
74,ABHD1,4.169134,5.1105194
75,ABHD10,4.0943737,5.0524645
76,ABHD11,4.158103,5.154733
77,ABHD12,4.1104417,5.095475
78,ABHD12B,4.1376424,5.0706973
79,ABHD13,4.1196966,5.0822434
80,ABHD14A,4.1216464,5.0950527
81,ABHD14A-ACY1,11.3415,-2.2792373
82,ABHD14B,4.143874,5.195417
83,ABHD15,4.1602573,5.0532384
84,ABHD16A,4.1224623,5.0795336
85,ABHD16B,4.074617,5.094011
86,ABHD17A,4.0582056,5.046972
87,ABHD17B,4.063917,5.0190544
88,ABHD17C,4.0806303,5.0420723
89,ABHD18,4.140188,5.1656938
90,ABHD2,4.121142,5.0251884
91,ABHD3,4.125292,5.1170535
92,ABHD4,4.132384,5.065687
93,ABHD5,4.157592,5.047008
94,ABHD6,4.149762,5.009039
95,ABHD8,4.1160164,5.0935383
96,ABI1,10.770811,4.3082952
97,ABI2,10.698474,4.278771
98,ABI3,11.140853,4.266437
99,ABI3BP,10.662939,4.1529727
100,ABITRAM,10.7516775,3.6593733
101,ABL1,9.825577,6.1415854
102,ABL2,9.577767,6.39363
103,ABLIM1,10.997028,3.3976479
104,ABLIM2,10.914645,3.457805
105,ABLIM3,10.89315,3.356007
106,ABO,4.252334,4.1555614
107,ABR,14.876023,0.2833252
108,ABRA,14.913477,0.22902338
109,ABRACL,10.22575,4.169047
110,ABRAXAS1,10.956217,5.862283
111,ABRAXAS2,11.01733,5.8583145
112,ABT1,13.242663,0.9340441
113,ABTB1,16.47997,4.5627813
114,ABTB2,16.351128,4.6070704
115,ACAA1,4.1550684,5.42465
116,ACAA2,4.149129,5.4163485
117,ACACA,4.0883417,5.590605
118,ACACB,4.08353,5.6934743
119,ACAD10,3.9283772,5.6193204
120,ACAD11,3.903986,5.6253457
121,ACAD8,3.9724507,5.6810927
122,ACAD9,3.9170084,5.636827
123,ACADL,3.9135206,5.6419787
124,ACADM,3.8873253,5.630647
125,ACADS,3.8527372,5.591656
126,ACADSB,3.8822823,5.632675
127,ACADVL,3.9153793,5.640281
128,ACAN,9.389292,2.8188915
129,ACAP1,8.782026,8.9092045
130,ACAP2,8.762448,8.912761
131,ACAP3,8.780131,8.914468
132,ACAT1,4.1640944,5.333133
133,ACAT2,4.2467237,5.211078
134,ACBD3,4.0617814,5.1941395
135,ACBD4,4.0553093,5.223763
136,ACBD5,4.0744166,5.127296
137,ACBD6,4.0844407,5.1489854
138,ACBD7,4.1168623,5.1254454
139,ACCS,4.0632997,5.4648995
140,ACCSL,4.189567,5.514226
141,ACD,12.982871,3.2998264
142,ACE,8.271275,1.4479505
143,ACE2,8.307638,1.4599869
144,ACER1,5.4597607,4.7256956
145,ACER2,5.4379387,4.727858
146,ACER3,5.4321876,4.732035
147,ACHE,4.9016566,5.1318407
148,ACIN1,9.510002,5.541802
149,ACKR1,6.9614024,1.3787867
150,ACKR2,6.9562902,1.3937031
151,ACKR3,6.9559536,1.3926154
152,ACKR4,6.953508,1.3802282
153,ACLY,4.146314,5.495623
154,ACMSD,4.7462115,5.7554812
155,ACO1,4.1674848,5.438649
156,ACO2,4.18127,5.423083
157,ACOD1,4.239161,5.587987
158,ACOT1,4.2209277,5.272781
159,ACOT11,4.244734,5.263187
160,ACOT12,4.255963,5.2485356
161,ACOT13,4.253656,5.2831783
162,ACOT2,4.1980934,5.254723
163,ACOT4,4.2680516,5.228517
164,ACOT6,4.2111897,5.2638903
165,ACOT7,4.2799788,5.257112
166,ACOT8,4.2246933,5.268407
167,ACOT9,4.219134,5.3293695
168,ACOX1,3.975849,5.6682367
169,ACOX2,3.958746,5.8155613
170,ACOX3,3.9963248,5.6207767
171,ACOXL,4.0050073,5.677928
172,ACP1,5.5344253,4.1249223
173,ACP2,5.5310035,4.117966
174,ACP4,5.5300016,4.065122
175,ACP5,5.5464654,4.0787826
176,ACP6,5.4969025,4.089365
177,ACP7,5.548203,4.067372
178,ACR,13.639341,4.1409287
179,ACRBP,12.285957,3.121526
180,ACRV1,13.79897,4.2280188
181,ACSBG1,3.81506,5.3528852
182,ACSBG2,3.8270516,5.3478694
183,ACSF2,3.8604136,5.360485
184,ACSF3,3.8532372,5.4024935
185,ACSL1,3.8493907,5.363551
186,ACSL3,3.785192,5.3650193
187,ACSL4,3.792367,5.3588724
188,ACSL5,3.784906,5.3876305
189,ACSL6,3.7816908,5.373177
190,ACSM1,3.851465,5.4035945
191,ACSM2A,3.8409653,5.3585463
192,ACSM2B,3.8252313,5.369874
193,ACSM3,3.8207674,5.381242
194,ACSM4,3.8491192,5.3553257
195,ACSM5,3.8027222,5.3348494
196,ACSM6,3.8131206,5.3410583
197,ACSS1,4.0512843,5.4407043
198,ACSS2,3.861681,5.378462
199,ACSS3,3.9083345,5.4240637
200,ACTA1,10.1887665,3.8695776
201,ACTA2,10.174309,3.9040627
202,ACTB,10.217219,3.9147675
203,ACTBL2,10.205284,3.8908634
204,ACTC1,10.177415,3.8800795
205,ACTG1,10.205576,3.8844576
206,ACTG2,10.189391,3.8643079
207,ACTL10,10.215774,3.9045396
208,ACTL6A,10.226387,3.9647317
209,ACTL6B,10.248876,3.9287057
210,ACTL7A,10.25111,3.9442315
211,ACTL7B,10.22897,3.9470727
212,ACTL8,10.256787,3.8998017
213,ACTL9,10.252614,3.8914695
214,ACTN1,10.185975,3.8255773
215,ACTN2,10.243152,3.88973
216,ACTN3,10.220319,3.8717146
217,ACTN4,10.249579,3.776288
218,ACTR10,10.168419,3.99716
219,ACTR1A,10.235673,3.9536765
220,ACTR1B,10.223914,3.951773
221,ACTR2,10.212847,4.047922
222,ACTR3,10.147828,4.0007443
223,ACTR3B,10.202447,4.0061855
224,ACTR3C,10.173108,3.987222
225,ACTR5,10.175752,3.987993
226,ACTR6,10.1753645,3.9930732
227,ACTR8,10.150888,3.9726422
228,ACTRT1,10.203029,3.9221785
229,ACTRT2,10.176667,3.9695315
230,ACTRT3,10.169071,3.984456
231,ACVR1,9.637919,0.99700075
232,ACVR1B,9.652328,1.0058037
233,ACVR1C,9.659681,0.99436367
234,ACVR2A,9.684306,1.0293481
235,ACVR2B,9.645804,0.990129
236,ACVRL1,9.653485,1.0019842
237,ACY1,4.521067,5.127521
