,gene_symbol,UMAP 0,UMAP 1
0,A1BG,9.972116,11.5181875
1,A1CF,7.9741535,6.734448
2,A2M,11.648955,12.566893
3,A2ML1,11.135613,6.3208485
4,A3GALT2,11.001347,0.094959475
5,A4GALT,5.990045,9.400808
6,A4GNT,7.059494,9.480128
7,AAAS,6.3643894,8.857003
8,AACS,9.451577,10.445344
9,AADAC,10.89782,6.684095
10,AADACL2,12.472225,-2.7571557
11,AADACL3,4.3844595,5.4425287
12,AADACL4,13.652363,7.4201984
13,AADAT,12.475098,-1.8217775
14,AAGAB,5.7429786,2.8596823
15,AAK1,12.473606,6.065744
16,AAMDC,12.3377495,9.445979
17,AAMP,11.233626,5.351164
18,AANAT,13.458653,3.8520756
19,AAR2,9.806664,-1.0747254
20,AARD,6.570207,9.230225
21,AARS1,13.230845,1.6839116
22,AARS2,12.1635895,8.22875
23,AARSD1,12.103558,4.730487
24,AASDH,8.26533,12.264041
25,AASDHPPT,12.207028,-1.4790342
26,AASS,8.507153,-1.7083662
27,AATF,12.13853,7.8718414
28,AATK,11.498717,8.930668
29,ABAT,9.854627,9.473504
30,ABCA1,11.809167,2.5967991
31,ABCA10,5.82379,9.729195
32,ABCA12,7.0602646,9.542784
33,ABCA13,10.693375,-3.185593
34,ABCA2,8.154846,8.630826
35,ABCA3,11.099312,-1.5265688
36,ABCA4,14.692607,2.277158
37,ABCA5,7.641027,9.139349
38,ABCA6,6.762135,3.0522718
39,ABCA7,9.368653,13.061078
40,ABCA8,7.6982427,6.544289
41,ABCA9,7.0784616,5.3146553
42,ABCB1,11.5759115,10.8979225
43,ABCB10,12.710365,12.101683
44,ABCB11,12.521439,3.64765
45,ABCB4,7.0557046,-1.7242883
46,ABCB5,11.21433,6.5965114
47,ABCB6,7.5365343,8.676586
48,ABCB7,6.4975924,6.3310723
49,ABCB8,11.107625,5.2254744
50,ABCB9,15.761182,8.3116045
51,ABCC1,11.0116005,4.6478243
52,ABCC10,13.724005,8.296732
53,ABCC11,13.600765,10.823965
54,ABCC12,6.9312844,2.605218
55,ABCC2,5.4753013,8.161743
56,ABCC3,6.0520873,10.266953
57,ABCC4,14.74023,8.65537
58,ABCC5,11.516253,-1.3565431
59,ABCC6,8.699706,8.915365
60,ABCC8,8.951295,-2.7900646
61,ABCC9,9.351846,-1.6245016
62,ABCD1,8.03957,9.338886
63,ABCD2,12.206443,-0.69707406
64,ABCD3,10.663406,11.906449
65,ABCD4,6.9128304,8.3982315
66,ABCE1,14.978658,8.1446495
67,ABCF1,9.045838,4.951498
68,ABCF2,14.925243,7.2684984
69,ABCF2-H2BE1,9.652012,-1.029638
70,ABCF3,9.384951,-0.91574234
71,ABCG1,8.744742,2.8042064
72,ABCG2,7.383442,-0.16647895
73,ABCG4,6.466968,9.853296
74,ABCG5,7.7201734,2.5082142
75,ABCG8,12.679003,11.597539
76,ABHD1,6.094833,9.258001
77,ABHD10,11.847147,8.453633
78,ABHD11,12.763898,2.009311
79,ABHD12,6.223195,3.042416
80,ABHD12B,11.063289,-2.4015741
81,ABHD13,11.608955,8.463397
82,ABHD14A,11.239012,-2.3236742
83,ABHD14A-ACY1,8.344483,3.5357728
84,ABHD14B,8.113441,4.3377647
85,ABHD15,9.616487,2.4440284
86,ABHD16A,15.26236,5.2292786
87,ABHD16B,9.009745,5.5631437
88,ABHD17A,8.431811,1.1551133
89,ABHD17B,10.253408,0.66409755
90,ABHD17C,10.624187,-3.2221847
91,ABHD18,9.492976,3.8447955
92,ABHD2,13.810257,2.4810493
93,ABHD3,6.074304,4.394711
94,ABHD4,13.829699,11.67693
95,ABHD5,7.1729054,5.608886
96,ABHD6,11.139873,6.374924
97,ABHD8,11.499813,11.632144
98,ABI1,12.236598,12.062877
99,ABI2,10.564459,-0.5399898
100,ABI3,11.452688,-0.47229865
101,ABI3BP,8.819422,8.22676
102,ABITRAM,12.219288,8.0310955
103,ABL1,9.302851,11.933295
104,ABL2,9.899695,2.4039848
105,ABLIM1,10.881866,3.9431794
106,ABLIM2,12.036602,5.1922865
107,ABLIM3,6.081383,3.2268481
108,ABR,5.384425,8.387564
109,ABRA,15.324067,2.8911557
110,ABRACL,11.7077675,5.327253
111,ABRAXAS1,15.901753,7.679239
112,ABRAXAS2,6.686191,-0.70398253
113,ABT1,12.306419,-0.3355546
114,ABTB1,10.88596,8.080267
115,ABTB2,9.353614,1.8000495
116,ACAA1,15.666476,5.6972103
117,ACAA2,12.81791,-2.1677797
118,ACACA,6.42496,1.781341
119,ACACB,11.345716,5.5270057
120,ACAD10,12.17708,6.407966
121,ACAD11,9.414382,0.036038898
122,ACAD8,6.8048506,3.0702996
123,ACAD9,9.245304,-0.203744
124,ACADL,14.865524,7.6383862
125,ACADM,10.836113,7.864431
126,ACADS,11.006199,7.426299
127,ACADSB,11.760652,8.459271
128,ACADVL,5.9720154,5.02862
129,ACAN,10.972977,7.1890388
130,ACAP1,9.408272,9.20001
131,ACAP2,10.731394,1.6055274
132,ACAP3,6.006635,6.5798774
133,ACAT1,13.952128,5.821769
134,ACAT2,9.802484,1.8401053
135,ACBD3,7.4280396,-0.1823824
136,ACBD4,12.073281,11.672525
137,ACBD5,11.999409,2.015495
138,ACBD7,14.022999,4.4547696
139,ACCS,15.600851,5.2278194
140,ACCSL,8.114509,5.8461537
141,ACD,8.320226,7.0809245
142,ACE,6.529066,2.7018752
143,ACE2,11.656853,-1.1371981
144,ACER1,9.713119,-1.8255339
145,ACER2,10.750584,9.960607
146,ACER3,12.078355,10.560615
147,ACHE,13.492581,8.997634
148,ACIN1,7.72011,6.1401253
149,ACKR1,14.239978,5.446288
150,ACKR2,11.344928,8.085491
151,ACKR3,8.891188,-3.1100223
152,ACKR4,14.625027,5.2169743
153,ACLY,12.911918,8.530398
154,ACMSD,6.4396567,5.6297946
155,ACO1,10.901385,11.357205
156,ACO2,8.413278,12.030377
157,ACOD1,10.425137,-0.035275016
158,ACOT1,10.739315,-0.39260453
159,ACOT11,13.2127495,9.416534
160,ACOT12,12.32013,2.0869474
161,ACOT13,11.254635,2.4302006
162,ACOT2,7.7626,11.924626
163,ACOT4,10.752682,10.394268
164,ACOT6,16.022566,5.632615
165,ACOT7,8.17448,4.2922454
166,ACOT8,15.594236,8.722705
167,ACOT9,14.419756,1.7334841
168,ACOX1,7.5454607,-1.4572794
169,ACOX2,15.83443,7.8729844
170,ACOX3,6.76185,4.9375734
171,ACOXL,12.395813,1.932538
172,ACP1,11.799037,8.799295
173,ACP2,6.4834027,4.0728884
174,ACP3,12.722013,3.2374532
175,ACP4,7.2498493,7.240105
176,ACP5,12.932279,11.474693
177,ACP6,10.674915,9.876002
178,ACP7,8.081898,12.44159
179,ACR,9.745498,3.6327784
180,ACRBP,10.945283,1.8324844
181,ACRV1,9.821041,5.9593925
182,ACSBG1,8.251546,-0.56628716
183,ACSBG2,8.900185,3.5949442
184,ACSF2,12.745814,3.2440374
185,ACSF3,12.3791275,-2.7907295
186,ACSL1,8.771182,-1.9356017
187,ACSL3,8.799973,1.4734427
188,ACSL4,6.801585,1.8767966
189,ACSL5,7.539794,3.8784573
190,ACSL6,12.766149,5.435215
191,ACSM1,9.268579,0.31076255
192,ACSM2A,14.491024,9.633773
193,ACSM2B,9.145633,1.6041481
194,ACSM3,6.5039597,8.067592
195,ACSM4,12.403621,3.0147913
196,ACSM5,13.738676,8.144798
197,ACSM6,15.588994,3.1795056
198,ACSS1,7.1989193,6.686349
199,ACSS2,9.332353,-2.7659025
200,ACSS3,10.908628,11.430848
201,ACTA1,9.81678,6.133553
202,ACTA2,14.024803,10.661752
203,ACTB,2.07304,4.8986483
204,ACTBL2,3.9328508,5.4219546
205,ACTC1,9.908722,6.224387
206,ACTG1,2.2832637,4.925562
207,ACTG2,9.685106,-1.0907714
208,ACTL6A,10.151447,-1.0321693
209,ACTL6B,14.390725,5.5538096
210,ACTL7A,10.279183,5.837432
211,ACTL7B,10.24314,5.8372593
212,ACTL8,11.188964,5.350641
213,ACTL9,10.300095,6.193286
214,ACTN1,11.4936695,-0.44163996
215,ACTN2,9.503845,4.9299984
216,ACTN4,7.710089,5.3813643
217,ACTR10,11.020592,8.351862
218,ACTR1A,14.498282,2.7534952
219,ACTR1B,11.188699,5.3227954
220,ACTR2,13.215144,8.78102
221,ACTR3,9.814681,-2.3334436
222,ACTR3B,7.889361,-2.6808271
223,ACTR3C,10.788457,6.9010816
224,ACTR5,7.7736125,3.7235327
225,ACTR6,14.880854,3.295203
226,ACTR8,11.353278,9.2748785
227,ACTRT1,9.800317,5.2432823
228,ACTRT2,10.287605,5.9618545
229,ACTRT3,7.3421097,10.048433
230,ACVR1,6.6679473,5.463406
231,ACVR1B,11.895222,10.725446
232,ACVR1C,6.164704,10.235712
233,ACVR2A,5.6131573,7.7923455
234,ACVR2B,12.004493,-2.417083
235,ACVRL1,7.3332815,6.484729
236,ACY1,12.997472,12.018788
237,ACY3,11.82459,5.657929
238,ACYP1,10.499918,11.026457
239,ACYP2,8.6814575,10.270168
240,ADA,10.861457,8.03858
241,ADA2,13.618868,8.831572
242,ADAD1,9.855331,6.3383036
243,ADAD2,15.031899,5.643196
244,ADAL,10.9758835,-3.410202
245,ADAM10,12.443272,-1.8730246
246,ADAM11,5.871734,2.7367492
247,ADAM12,13.700931,4.011631
248,ADAM15,8.96479,4.4938
249,ADAM17,5.979128,10.262052
250,ADAM18,10.497145,0.2657263
251,ADAM19,12.21585,6.7830744
252,ADAM2,8.814194,10.244646
253,ADAM20,10.178984,10.760639
254,ADAM21,13.326806,8.59174
255,ADAM22,15.234572,4.385601
256,ADAM23,12.5841255,1.7877963
257,ADAM28,9.748586,1.5699401
258,ADAM29,7.340292,10.074137
259,ADAM30,9.964912,5.426777
260,ADAM32,12.8748,9.935345
261,ADAM33,11.7224655,5.697097
262,ADAM6,10.124611,5.350612
263,ADAM7,9.764338,6.044322
264,ADAM8,9.056193,4.44447
265,ADAM9,14.766159,4.5388293
266,ADAMDEC1,10.398846,4.6601434
267,ADAMTS1,12.24407,-1.3595163
268,ADAMTS10,11.789483,-1.9457903
269,ADAMTS12,5.990207,4.9716887
270,ADAMTS13,14.034329,5.275424
271,ADAMTS14,10.331563,-2.0757172
272,ADAMTS15,11.966218,2.7321677
273,ADAMTS16,10.908606,1.316601
274,ADAMTS17,9.771357,9.383377
275,ADAMTS18,10.076526,-1.0974782
276,ADAMTS19,7.551035,-0.2827561
277,ADAMTS2,8.117987,7.8196225
278,ADAMTS20,7.601778,7.649255
279,ADAMTS3,11.019422,-3.1401374
280,ADAMTS4,13.381247,12.035836
281,ADAMTS5,11.17255,2.3853748
282,ADAMTS6,7.471781,10.577312
283,ADAMTS7,8.09219,6.848689
284,ADAMTS8,10.726735,-1.9942912
285,ADAMTS9,6.6263156,-0.837019
286,ADAMTSL1,15.260112,5.67975
287,ADAMTSL2,8.724818,3.169188
288,ADAMTSL3,8.004167,6.0141807
289,ADAMTSL4,6.847419,5.36054
290,ADAMTSL4-AS1,10.966122,-3.1526423
291,ADAMTSL5,9.783716,-1.0977452
292,ADAP1,12.851727,8.90163
293,ADAP2,8.38121,11.593331
294,ADAR,15.170809,2.373031
295,ADARB1,9.892341,2.4086413
296,ADARB2,8.809431,4.2479615
297,ADAT1,14.699595,9.440995
298,ADAT2,9.707269,-1.0680711
299,ADAT3,13.313089,11.07681
300,ADCK1,11.412321,10.087609
301,ADCK2,10.394137,9.279555
302,ADCK5,10.935072,12.2031975
303,ADCY1,5.508727,8.488467
304,ADCY10,8.711822,8.471719
305,ADCY2,8.564508,8.260611
306,ADCY3,13.710669,2.4147341
307,ADCY4,8.967713,7.5998487
