,gene_symbol,UMAP 0,UMAP 1
0,A1BG,1.0175116,4.07505
1,A1CF,10.13094,8.056301
2,A2M,1.6764116,2.6984737
3,A2ML1,1.6635059,2.68012
4,A3GALT2,2.976137,2.7184117
5,A4GALT,2.9081013,2.4719386
6,A4GNT,2.9280818,2.3295827
7,AAAS,7.37138,7.4221306
8,AACS,8.3287,4.572828
9,AADAC,2.7113543,1.4541667
10,AADACL2,2.6050494,1.5260683
11,AADACL3,8.99244,4.52628
12,AADACL4,8.919254,4.5516
13,AADAT,8.374405,4.2427278
14,AAGAB,7.500367,7.328094
15,AAK1,10.087527,7.9425116
16,AAMDC,8.06004,4.346019
17,AAMP,7.3675117,6.288816
18,AANAT,7.0452633,7.8853645
19,AAR2,7.018621,5.571456
20,AARD,7.2379065,11.708504
21,AARS1,7.7998366,4.206409
22,AARS2,8.742969,5.2780905
23,AARSD1,7.9691696,4.7259865
24,AASDH,7.0614862,7.3099484
25,AASDHPPT,7.671383,5.937864
26,AASS,8.344849,4.5616546
27,AATF,8.7807045,8.5049715
28,AATK,9.84657,11.669282
29,ABAT,8.1362705,4.17847
30,ABCA1,11.948389,4.09823
31,ABCA10,12.157371,3.952154
32,ABCA12,2.183852,4.489527
33,ABCA2,11.916196,4.0062633
34,ABCA3,12.049167,4.221599
35,ABCA4,11.961223,4.0903215
36,ABCA5,12.191924,3.9899857
37,ABCA6,12.148218,3.9703696
38,ABCA7,12.029438,3.9767756
39,ABCA8,12.187203,3.9454956
40,ABCA9,12.206998,3.9760957
41,ABCB1,12.018579,4.51738
42,ABCB10,12.0135355,4.3023148
43,ABCB11,12.057541,4.51206
44,ABCB4,12.029254,4.516916
45,ABCB5,12.024339,4.5560827
46,ABCB6,12.201331,4.3425555
47,ABCB7,9.357921,5.1404963
48,ABCB8,12.18172,4.1751738
49,ABCB9,12.220325,4.320607
50,ABCC1,12.042665,4.4757857
51,ABCC10,12.419959,4.0212398
52,ABCC11,12.198172,4.110374
53,ABCC12,12.185476,4.0822344
54,ABCC2,12.127412,4.3946643
55,ABCC3,12.144912,4.3136883
56,ABCC4,12.024549,4.454681
57,ABCC5,12.17732,4.2160606
58,ABCC6,12.370533,4.0029073
59,ABCC8,12.310617,4.148021
60,ABCC9,12.316728,4.0870585
61,ABCD1,11.960903,4.3478246
62,ABCD2,12.157063,4.8275485
63,ABCD3,12.300979,4.9355426
64,ABCD4,12.1748,4.403259
65,ABCE1,7.138406,3.9942172
66,ABCF1,8.820352,7.726695
67,ABCF2,7.0273066,4.7991495
68,ABCF3,7.2028356,4.9229374
69,ABCG1,12.036288,4.4157863
70,ABCG2,11.946632,4.593913
71,ABCG4,11.996516,4.4505
72,ABCG5,12.411427,4.1027694
73,ABCG8,12.300434,4.035974
74,ABHD1,8.935324,5.048942
75,ABHD10,8.341653,5.803954
76,ABHD11,8.639888,5.6382604
77,ABHD12,3.1257129,2.556438
78,ABHD12B,8.895717,4.650893
79,ABHD13,8.984153,4.5334873
80,ABHD14A,2.9202776,2.6138492
81,ABHD14B,8.481784,4.277189
82,ABHD15,7.2311745,8.709673
83,ABHD16A,8.894565,5.3352146
84,ABHD16B,8.511264,6.149252
85,ABHD17A,8.3097,5.3645725
86,ABHD17B,7.300396,4.308305
87,ABHD17C,8.617959,5.9017425
88,ABHD18,7.714912,6.6955757
89,ABHD2,8.906583,4.611152
90,ABHD3,8.893303,4.6005287
91,ABHD4,7.9840875,5.204298
92,ABHD5,8.233992,5.0330067
93,ABHD6,8.950683,4.528283
94,ABHD8,7.3114686,8.336493
95,ABI1,10.04588,8.687475
96,ABI2,9.986396,8.633029
97,ABI3,9.367004,8.853648
98,ABI3BP,1.4833059,4.726667
99,ABITRAM,7.862889,6.4239087
100,ABL1,9.388345,9.830463
101,ABL2,9.303986,9.750715
102,ABLIM1,9.804353,8.880216
103,ABLIM2,9.826721,8.814374
104,ABLIM3,9.759826,8.854286
105,ABO,3.012191,2.5608478
106,ABR,9.77497,7.201355
107,ABRA,8.728321,10.700882
108,ABRACL,7.101979,4.306418
109,ABRAXAS1,7.58309,9.090656
110,ABRAXAS2,7.8480597,8.915918
111,ABT1,8.436234,8.252997
112,ABTB1,6.0093174,7.3970666
113,ABTB2,6.8910947,7.8065777
114,ABTB3,6.995505,7.902327
115,ACAA1,8.113021,4.0850725
116,ACAA2,8.164349,3.9802225
117,ACACA,7.445108,6.75415
118,ACACB,7.4800367,6.838536
119,ACAD10,8.637201,4.7150764
120,ACAD11,8.442393,4.5168223
121,ACAD8,8.269169,3.8693657
122,ACAD9,8.281558,3.9771912
123,ACADL,8.216448,3.8510344
124,ACADM,7.9731836,3.7666526
125,ACADS,8.208977,3.815717
126,ACADSB,8.228427,3.804468
127,ACADVL,8.203688,3.8663874
128,ACAN,1.3910149,4.8582544
129,ACAP1,6.889036,7.180298
130,ACAP2,8.444232,7.371091
131,ACAP3,8.739923,7.6818266
132,ACAT1,8.146918,3.9952414
133,ACAT2,8.216255,4.002739
134,ACBD3,8.85763,7.8485622
135,ACBD4,8.796353,9.5482235
136,ACBD5,9.099657,10.751932
137,ACBD6,7.2435093,7.0951734
138,ACBD7,8.173084,3.7596636
139,ACCS,8.099216,5.9914436
140,ACCSL,7.657104,6.1142645
141,ACD,8.51134,10.602741
142,ACE,2.6240056,1.5718147
143,ACE2,2.5002968,1.5829335
144,ACER1,12.894293,4.4644675
145,ACER2,12.935833,4.4313912
146,ACER3,12.888978,4.570124
147,ACHE,2.7217379,1.9749775
148,ACIN1,10.01633,10.366042
149,ACKR1,12.431751,3.1673427
150,ACKR2,12.524433,2.6344068
151,ACKR3,12.776447,2.3432252
152,ACKR4,12.694923,2.3193266
153,ACLY,7.449134,3.785031
154,ACMSD,8.267319,4.104123
155,ACO1,7.9563155,3.8922744
156,ACO2,7.520757,3.6714566
157,ACOD1,8.467707,4.5316076
158,ACOT1,8.424232,5.4808555
159,ACOT11,7.3999205,7.105665
160,ACOT12,7.203177,6.434363
161,ACOT13,7.9038177,4.3390636
162,ACOT2,8.323975,5.690318
163,ACOT4,8.290244,5.5203776
164,ACOT6,8.122405,5.2856755
165,ACOT7,8.252943,5.8814154
166,ACOT7L,7.3085585,6.2573757
167,ACOT8,8.358618,5.285323
168,ACOT9,7.7895684,5.808353
169,ACOX1,8.323989,4.552688
170,ACOX2,8.413549,4.6366954
171,ACOX3,8.408721,4.7786784
172,ACOXL,8.403936,4.589636
173,ACP1,7.9337926,4.1746244
174,ACP2,2.7214544,1.990435
175,ACP3,2.6724517,1.7410617
176,ACP4,2.8574703,2.4621255
177,ACP5,2.5002654,1.8273402
178,ACP6,7.4039717,6.345489
179,ACP7,2.5426278,1.8567113
180,ACR,1.2985698,2.6033494
181,ACRBP,2.0959551,4.2870445
182,ACRV1,1.4147896,4.620224
183,ACSBG1,8.323861,4.7421327
184,ACSBG2,8.261638,4.845657
185,ACSF2,8.411297,4.65383
186,ACSF3,8.620355,4.9899096
187,ACSL1,8.250902,4.1836658
188,ACSL3,8.325126,4.300543
189,ACSL4,8.270899,4.1977825
190,ACSL5,8.276397,4.2170877
191,ACSL6,8.266121,4.257299
192,ACSM1,8.416525,4.628391
193,ACSM2A,8.346308,4.7473216
194,ACSM2B,8.416146,4.687902
195,ACSM3,8.473912,4.581808
196,ACSM4,8.403811,4.6935487
197,ACSM5,8.494373,4.808014
198,ACSM6,7.2710443,6.4797697
199,ACSS1,8.350787,4.4320197
200,ACSS2,8.330518,4.4235663
201,ACSS3,8.378724,4.620192
202,ACTA1,6.7191615,2.0682049
203,ACTA2,6.711564,2.0784116
204,ACTB,6.6740413,2.0644143
205,ACTBL2,6.7397437,2.0309687
206,ACTC1,6.701354,2.0859811
207,ACTG1,6.698205,2.1117136
208,ACTG2,6.7191343,2.0806422
209,ACTL10,7.9407077,5.512279
210,ACTL6A,7.1859226,3.5926144
211,ACTL6B,7.1748867,3.6471717
212,ACTL7A,7.830908,5.519711
213,ACTL7B,7.825576,5.5515985
214,ACTL8,7.6878414,5.57997
215,ACTL9,7.9091873,5.5387387
216,ACTMAP,8.466539,6.31815
217,ACTN1,6.274471,5.1046877
218,ACTN2,6.2970247,5.2935047
219,ACTN3,6.285775,5.46624
220,ACTN4,6.2838125,5.133654
221,ACTR10,7.413248,6.392435
222,ACTR1A,7.6023145,4.1183844
223,ACTR1B,7.669378,4.0668526
224,ACTR2,7.1243567,3.534183
225,ACTR3,7.081245,3.5124638
226,ACTR3B,7.130076,3.5192437
227,ACTR3C,7.090619,3.5234063
228,ACTR5,7.9343824,6.558993
229,ACTR6,7.8688145,4.247931
230,ACTR8,7.459607,6.638607
231,ACTRT1,7.7377286,5.3556376
232,ACTRT2,7.762732,5.393831
233,ACTRT3,7.729913,5.3328323
234,ACVR1,3.4251,3.5628684
235,ACVR1B,3.4107,3.5555499
236,ACVR1C,3.3861372,3.5660849
237,ACVR2A,3.4119875,3.5316427
238,ACVR2B,3.4396944,3.5032823
239,ACVRL1,3.394914,3.5423737
240,ACY1,8.41381,4.6237283
241,ACY3,8.42664,5.4801393
242,ACYP1,7.8092976,4.7464967
243,ACYP2,6.9015603,3.7481744
244,ADA,8.4363575,4.1664076
245,ADA2,2.874784,1.998173
246,ADAD1,7.1706343,8.037702
247,ADAD2,7.676129,8.7406
248,ADAL,8.486274,4.223753
249,ADAM10,2.222778,2.6528537
250,ADAM11,2.2491374,3.1632447
251,ADAM12,2.253707,3.3730116
252,ADAM15,2.0048914,3.754641
253,ADAM17,1.9804481,2.992415
254,ADAM18,1.8242363,2.7355053
255,ADAM19,2.0531049,3.3619742
256,ADAM2,1.804516,2.7244024
257,ADAM20,1.8720452,2.7502766
258,ADAM21,1.9032321,2.7461083
259,ADAM22,2.0605633,3.2339869
260,ADAM23,2.0923402,3.0469344
261,ADAM28,1.8707567,2.8331745
262,ADAM29,1.8589196,2.746604
263,ADAM30,1.8465738,2.7208102
264,ADAM32,1.8157403,2.7875848
265,ADAM33,2.055785,3.5134733
266,ADAM5,1.5640278,2.9902267
267,ADAM7,1.7394081,2.8586345
268,ADAM8,2.1613488,3.4371805
269,ADAM9,1.9228197,2.8884542
270,ADAMDEC1,1.8150433,2.7254207
271,ADAMTS1,2.0985506,3.0354376
272,ADAMTS10,2.1571457,3.227718
273,ADAMTS12,1.5961076,3.484672
274,ADAMTS13,1.6626666,3.801006
275,ADAMTS14,2.096543,3.4115345
276,ADAMTS15,2.1785483,3.0916045
277,ADAMTS16,1.9971226,3.2696595
278,ADAMTS17,1.8979813,3.3731217
279,ADAMTS18,2.068467,3.1860206
280,ADAMTS19,1.7864711,3.4715374
281,ADAMTS2,2.2804978,3.4001153
282,ADAMTS20,1.464778,3.2892
283,ADAMTS3,2.3348608,3.246294
284,ADAMTS4,2.1420135,3.2749138
285,ADAMTS5,2.0218391,3.0411704
286,ADAMTS6,2.0899067,3.0398507
287,ADAMTS7,1.6957722,4.026449
288,ADAMTS8,2.1947207,3.1060727
289,ADAMTS9,1.5129353,3.333174
290,ADAMTSL1,1.5301847,3.4010658
291,ADAMTSL2,1.5648245,3.504801
292,ADAMTSL3,1.4824088,3.453991
293,ADAMTSL4,1.6822008,4.233932
294,ADAMTSL4-AS1,9.545423,14.812975
295,ADAMTSL5,2.0059536,3.4998593
296,ADAP1,7.2987704,5.1248994
297,ADAP2,7.392752,5.6174207
298,ADAR,7.842735,8.962755
299,ADARB1,8.672947,7.304767
300,ADARB2,8.344197,8.763485
301,ADARB2-AS1,9.491374,14.914896
302,ADAT1,7.858159,6.6624274
303,ADAT2,8.27727,4.6319895
304,ADAT3,8.727155,5.7590513
305,ADCK1,8.971416,5.1401362
306,ADCK2,7.684629,8.666501
307,ADCK5,9.121261,5.304374
308,ADCY1,11.907624,4.243925
309,ADCY10,6.2886133,8.137348
310,ADCY2,11.934406,4.3983183
311,ADCY3,11.939391,4.0924397
312,ADCY4,12.0170555,4.2065487
313,ADCY5,11.75565,4.505718
314,ADCY6,11.901909,4.301497
315,ADCY7,11.948392,4.279862
316,ADCY8,11.893843,4.0648413
317,ADCY9,11.895484,3.9837315
318,ADCYAP1,7.770715,13.297295
319,ADCYAP1R1,11.6772175,3.722108
320,ADD1,9.517432,8.675398
321,ADD2,9.267651,8.783807
322,ADD3,9.273043,8.729611
323,ADGB,7.4836826,10.042434
324,ADGRA1,11.980462,3.2476118
325,ADGRA2,2.1268961,4.5273385
326,ADGRA3,2.186294,4.7306805
327,ADGRB1,1.8503113,4.4505157
328,ADGRB2,1.86101,4.5028996
329,ADGRB3,1.7054579,4.6465483
330,ADGRD1,2.3734274,4.4004993
331,ADGRD2,2.0996583,4.442255
332,ADGRE1,2.5286744,4.3025036
333,ADGRE2,2.5520825,4.2715864
334,ADGRE3,2.567067,4.322223
335,ADGRE4P,2.5836947,4.2940016
336,ADGRE5,2.576223,4.283716
337,ADGRF1,2.4236562,4.367593
338,ADGRF2P,2.380611,4.3564544
339,ADGRF3,1.9490812,4.368118
340,ADGRF4,2.574453,4.434805
341,ADGRF5,2.306623,4.175434
342,ADGRG1,11.264718,3.298386
343,ADGRG2,1.9912815,4.5154324
344,ADGRG3,11.378608,3.3345597
345,ADGRG5,11.426708,3.3165998
346,ADGRG6,2.251927,4.2450185
347,ADGRG7,2.4922905,4.3505974
348,ADGRL1,2.828288,3.4118226
349,ADGRL2,2.787995,3.4267323
350,ADGRL3,2.8637788,3.4363277
351,ADGRL4,2.550266,4.377272
352,ADH1A,8.355248,3.8178015
353,ADH1B,8.364612,3.7859674
354,ADH1C,8.363306,3.7980418
355,ADH4,8.374287,3.8225133
356,ADH5,7.561895,3.540879
357,ADH6,8.358062,3.8199363
358,ADH7,8.394971,3.8359516
359,ADHFE1,7.967651,4.0632777
360,ADI1,7.7673316,4.198892
361,ADIG,8.405985,12.985905
362,ADIPOQ,0.44933707,2.8357713
363,ADIPOR1,12.503562,4.6867986
364,ADIPOR2,12.451994,4.6315503
365,ADIRF,7.9374666,11.46375
366,ADISSP,8.099751,7.670823
367,ADK,7.760365,3.9242485
368,ADM,7.806881,13.259658
369,ADM2,7.83809,13.244228
370,ADM5,9.727668,14.739155
371,ADNP,10.165796,10.993696
372,ADNP2,10.205689,10.705078
373,ADO,8.273671,6.105357
374,ADORA1,12.605724,2.5012455
375,ADORA2A,12.346548,2.7154784
376,ADORA2A-AS1,9.704103,14.905878
377,ADORA2B,12.575799,2.5325096
378,ADORA3,12.676281,2.4000692
379,ADPGK,2.6846697,2.1682637
380,ADPRH,8.361421,4.5915027
381,ADPRHL1,8.248575,4.762912
382,ADPRM,7.852587,5.3062325
383,ADPRS,8.483714,4.7689857
384,ADRA1A,12.086435,2.8089752
385,ADRA1B,12.086451,2.8563008
386,ADRA1D,12.046411,2.8896964
387,ADRA2A,12.097627,2.8014245
388,ADRA2B,12.090585,2.8144794
389,ADRA2C,12.164849,2.8408892
390,ADRB1,12.129185,2.8570414
391,ADRB2,12.176274,2.6084132
392,ADRB3,12.173103,2.950372
393,ADRM1,10.285021,8.3950205
394,ADSL,7.6738644,3.830139
395,ADSS1,7.5445704,3.774635
396,ADSS2,7.5899687,3.7937155
397,ADTRP,12.856803,4.381406
398,AEBP1,2.1920319,3.5750773
399,AEBP2,9.241503,9.2030735
400,AEN,8.104855,9.492945
401,AFAP1,8.794352,9.962125
402,AFAP1L1,8.701916,10.296102
403,AFAP1L2,8.792678,10.286452
404,AFDN,9.375322,9.279811
405,AFDN-DT,10.957365,12.7464485
406,AFF1,10.074912,10.861784
407,AFF2,9.984013,11.074736
408,AFF3,10.061439,10.907228
409,AFF4,10.040529,10.65851
410,AFG1L,8.490992,5.5092344
411,AFG2A,7.9724026,7.234292
412,AFG2B,8.47851,6.434652
