,gene_symbol,UMAP 0,UMAP 1
0,7SK,-11.912886,-7.411512
1,A1BG,2.70777,17.895512
2,A1BG-AS1,2.7097185,17.894049
3,A1CF,2.3144324,-9.161241
4,A2M,10.4390545,2.976553
5,A2M-AS1,10.34594,3.0652487
6,A2ML1,10.369098,3.0221834
7,A3GALT2,-4.3679905,3.249518
8,A4GALT,8.144037,9.2426
9,A4GNT,-3.6726165,-5.7574196
10,AAAS,11.092185,1.4381403
11,AACS,10.505087,-9.027919
12,AADAC,-2.9225237,-4.4768643
13,AADACL2,-2.8580105,-4.38573
14,AADACL3,0.7030639,5.117868
15,AADAT,16.765099,0.53121954
16,AAGAB,0.96189666,-12.954213
17,AAK1,-7.770901,10.807712
18,AAMDC,3.677462,3.1742666
19,AAMP,-12.192665,0.42671582
20,AANAT,3.1099975,7.228949
21,AAR2,10.154717,-2.5763576
22,AARD,12.128868,-5.5532327
23,AARS1,7.9239764,6.3520837
24,AARS2,-10.715235,-7.002156
25,AARSD1,3.2562683,12.383006
26,AASDH,13.74566,5.4719644
27,AASDHPPT,4.5598774,3.160001
28,AASS,-7.302462,5.623044
29,AATBC,1.4148259,1.2386005
30,AATF,3.8229105,7.3879647
31,AATK,4.9736023,10.943121
32,ABALON,10.919637,-2.753555
33,ABAT,7.7852244,7.222196
34,ABCA1,5.556534,0.8723565
35,ABCA10,3.5480773,6.586951
36,ABCA11P,14.306904,1.7680047
37,ABCA12,-12.508164,0.42318383
38,ABCA13,-7.5340295,3.035579
39,ABCA17P,-0.78199476,-1.740112
40,ABCA2,3.889219,-0.75134814
41,ABCA3,-0.781138,-1.7360513
42,ABCA4,-3.035524,8.340311
43,ABCA5,3.544801,6.5882463
44,ABCA6,3.5317028,6.5959907
45,ABCA7,-3.1472192,14.406753
46,ABCA8,3.551044,6.5800524
47,ABCA9,3.5399191,6.592357
48,ABCA9-AS1,3.5455422,6.5857034
49,ABCB1,-6.1594195,3.813983
50,ABCB10,-2.720409,3.19461
51,ABCB11,-11.63445,5.442668
52,ABCB4,-6.1975746,3.8426597
53,ABCB5,-9.410339,2.5449743
54,ABCB6,-11.70026,0.6634828
55,ABCB8,-9.346022,5.109618
56,ABCB9,10.169562,-9.462283
57,ABCC1,7.355783,6.942238
58,ABCC10,-10.77895,-6.5137873
59,ABCC11,10.324209,7.176013
60,ABCC12,10.230926,7.0922756
61,ABCC13,1.6002707,0.38336957
62,ABCC2,4.8464217,-8.444114
63,ABCC3,4.119697,5.4767885
64,ABCC4,3.7120724,-5.77086
65,ABCC5,-3.4540746,-3.026932
66,ABCC5-AS1,-3.4075952,-3.0695956
67,ABCC6,7.331677,6.8954864
68,ABCC8,1.5924124,-2.089022
69,ABCC9,9.956792,2.0456555
70,ABCD2,9.670191,1.2529073
71,ABCD3,-3.0778816,8.219751
72,ABCD4,-0.93261164,-8.022876
73,ABCE1,16.251957,0.50598305
74,ABCF1,4.818048,7.974261
75,ABCF2,-9.288055,5.146722
76,ABCF3,-3.4102607,-3.043511
77,ABCG1,1.0653371,0.8424312
