,gene_symbol,UMAP 0,UMAP 1
0,A1BG,12.503425,6.3994317
1,A1CF,6.9824824,4.0370183
2,A2M,13.255641,4.6362543
3,A2ML1,13.513782,5.009819
4,A3GALT2,12.168688,5.383021
5,A4GALT,12.899676,5.030248
6,A4GNT,13.497096,4.6858816
7,AAAS,11.205766,7.097355
8,AACS,9.828011,1.4035819
9,AADAC,13.216074,3.8962736
10,AADACL2,13.011612,3.8171322
11,AADACL3,10.71139,3.5098906
12,AADACL4,10.793805,3.401875
13,AADAT,10.074277,1.7237877
14,AAGAB,8.332629,2.8012238
15,AAK1,6.191755,4.194033
16,AAMDC,8.658031,0.67934084
17,AAMP,10.079823,4.170367
18,AANAT,10.920658,4.7115397
19,AAR2,9.751879,3.8221622
20,AARD,8.731363,7.19713
21,AARS1,9.150572,1.1785642
22,AARS2,10.8050165,3.495205
23,AARSD1,9.311951,2.0135975
24,AASDH,11.041262,6.47902
25,AASDHPPT,9.977002,3.2207115
26,AASS,10.309921,2.5560029
27,AATF,7.9372444,4.022995
28,AATK,7.7834435,6.7084475
29,ABAT,9.890575,1.7473043
30,ABCA1,11.619797,2.4205494
31,ABCA10,13.01188,2.9084253
32,ABCA12,12.470759,7.431766
33,ABCA13,10.849999,10.577811
34,ABCA2,12.631194,3.4263012
35,ABCA3,12.147225,2.1977854
36,ABCA4,12.265286,2.6011724
37,ABCA5,13.015284,2.9061778
38,ABCA6,13.064042,2.8530378
39,ABCA7,11.952371,4.0691934
40,ABCA8,12.963236,2.606813
41,ABCA9,13.02103,2.7408571
42,ABCB1,11.345699,1.4149792
43,ABCB10,12.355517,1.2897243
44,ABCB11,11.712244,1.7112684
45,ABCB4,11.447522,1.4389359
46,ABCB5,11.716375,1.6882532
47,ABCB6,12.543445,1.5263339
48,ABCB7,10.350869,1.7901986
49,ABCB8,12.344406,1.4361424
50,ABCB9,12.35876,2.0172646
51,ABCC1,11.656933,1.3428043
52,ABCC10,13.047321,2.0493326
53,ABCC11,12.883728,2.5084019
54,ABCC12,12.604016,2.3657517
55,ABCC2,12.247447,1.7586228
56,ABCC3,11.991915,1.3041763
57,ABCC4,11.620842,1.4795716
58,ABCC5,12.4775095,2.2736826
59,ABCC6,13.083683,2.0861146
60,ABCC8,12.8763895,2.5260866
61,ABCC9,12.729278,2.4099698
62,ABCD1,11.21076,2.446573
63,ABCD2,11.277353,1.7338054
64,ABCD3,11.426967,1.5333176
65,ABCD4,12.103384,1.9937794
66,ABCE1,7.9112635,1.0317163
67,ABCF1,7.810786,2.5495095
68,ABCF2,8.669884,1.4512479
69,ABCF3,9.405755,1.9336579
70,ABCG1,11.678109,1.5402019
71,ABCG2,10.445208,0.40433237
72,ABCG4,11.70031,1.4384098
73,ABCG5,13.084938,2.6306186
74,ABCG8,13.453459,2.6989834
75,ABHD1,10.698629,2.727648
76,ABHD10,10.6287365,4.371217
77,ABHD11,10.632488,3.0232577
78,ABHD12,10.295946,3.306091
79,ABHD12B,10.635885,3.4786131
80,ABHD13,11.150312,3.2696798
81,ABHD14A,11.5829935,5.0467334
82,ABHD14B,10.356936,2.1673024
83,ABHD15,10.970862,5.1823807
84,ABHD16A,11.0953,4.890834
85,ABHD16B,11.183193,5.89195
86,ABHD17A,8.452268,1.3037502
87,ABHD17B,8.163542,0.9267109
88,ABHD17C,8.406995,1.519572
89,ABHD18,10.21564,4.016099
90,ABHD2,11.74237,2.3283405
91,ABHD3,10.479119,2.369449
92,ABHD4,10.043329,2.5251555
93,ABHD5,10.133402,2.8499494
94,ABHD6,11.245966,2.9821973
95,ABHD8,10.981855,6.9552684
96,ABI1,6.1059723,2.9976737
97,ABI2,6.024672,3.0225146
98,ABI3,7.497844,4.7727666
99,ABI3BP,7.010199,3.922228
100,ABITRAM,8.625003,1.8453896
101,ABL1,8.328549,6.613687
102,ABL2,8.46867,6.705892
103,ABLIM1,6.905829,3.6233478
104,ABLIM2,6.809594,2.994261
105,ABLIM3,7.058709,3.8238988
106,ABO,12.436333,4.2594213
107,ABR,8.43328,2.167958
108,ABRA,8.138437,4.9263954
109,ABRACL,7.960494,0.8183458
110,ABRAXAS1,9.846426,6.199709
111,ABRAXAS2,8.697036,4.87391
112,ABT1,8.215581,4.509681
113,ABTB1,10.933867,5.758473
114,ABTB2,11.004978,7.5353494
115,ABTB3,10.957395,7.559503
116,ACAA1,8.748891,0.9607327
117,ACAA2,9.290323,0.5566223
118,ACACA,10.592538,6.393393
119,ACACB,10.562497,6.50304
120,ACAD10,10.255121,2.1272779
121,ACAD11,10.230108,1.8463186
122,ACAD8,9.475337,0.7650492
123,ACAD9,9.955407,1.670367
124,ACADL,9.63618,0.8925421
125,ACADM,9.486552,0.6655101
126,ACADS,9.454351,0.7007631
127,ACADSB,9.588951,0.7257198
128,ACADVL,9.801611,1.4543996
129,ACAN,7.808897,9.198076
130,ACAP1,8.366783,4.189119
131,ACAP2,7.5064855,2.6477168
132,ACAP3,8.190157,3.9861715
133,ACAT1,9.397085,0.6302363
134,ACAT2,9.540406,0.7027669
135,ACBD3,7.544501,3.6028335
136,ACBD4,7.892748,4.778746
137,ACBD5,8.818665,6.5948906
138,ACBD6,8.535862,2.1560085
139,ACBD7,7.1793985,0.89925396
140,ACCS,10.54366,4.0546246
141,ACCSL,10.393965,4.26562
142,ACD,9.346544,9.593923
143,ACE,13.236566,4.1769753
144,ACE2,13.657176,4.3239627
145,ACER1,12.176831,1.9823153
146,ACER2,11.791181,1.2649305
147,ACER3,12.027623,1.8457044
148,ACHE,12.319496,4.5591555
149,ACIN1,7.8843403,7.2913547
150,ACKR1,11.87848,7.18536
151,ACKR2,13.706713,1.7248743
152,ACKR3,13.944195,1.819856
153,ACKR4,13.949232,1.5371959
154,ACLY,9.533792,1.6799461
155,ACMSD,9.15058,0.75991243
156,ACO1,9.333638,0.85215545
157,ACO2,9.041009,1.0120271
158,ACOD1,10.933362,6.248243
159,ACOT1,10.433934,2.8639193
160,ACOT11,10.368493,4.3474817
161,ACOT12,10.425373,4.434119
162,ACOT13,9.845363,1.2723298
163,ACOT2,10.571107,3.2436655
164,ACOT4,10.5117235,3.0014133
165,ACOT6,10.575802,3.0314155
166,ACOT7,9.94885,2.524646
167,ACOT7L,10.357555,4.145896
168,ACOT8,9.824199,2.285284
169,ACOT9,10.316979,3.6307786
170,ACOX1,10.285822,2.2637181
171,ACOX2,10.619201,3.566933
172,ACOX3,10.418104,2.4130332
173,ACOXL,10.665283,3.3686168
174,ACP1,8.747774,0.6494313
175,ACP2,12.713131,4.10486
176,ACP3,13.358203,4.0495095
177,ACP4,12.118342,5.08956
178,ACP5,13.629627,4.2522273
179,ACP6,10.811837,6.7448153
180,ACP7,13.272767,4.182889
181,ACR,13.751754,6.6190624
182,ACRBP,12.640835,7.031658
183,ACRV1,7.779634,9.246065
184,ACSBG1,10.313105,2.55091
185,ACSBG2,10.289871,2.4940326
186,ACSF2,10.337791,2.249366
187,ACSF3,10.336271,2.5966203
188,ACSL1,9.563119,1.3658264
189,ACSL3,10.227571,1.9143002
190,ACSL4,10.157499,1.7492814
191,ACSL5,9.936619,1.5814621
192,ACSL6,9.591506,1.3844305
193,ACSM1,10.346883,2.2674308
194,ACSM2A,10.365689,2.3499413
195,ACSM2B,10.354567,2.335699
196,ACSM3,10.098486,1.7419814
197,ACSM4,10.274425,2.0643177
198,ACSM5,10.177258,2.1002388
199,ACSM6,10.847751,6.296918
200,ACSS1,9.625769,1.1633068
201,ACSS2,9.455982,1.1798239
202,ACSS3,9.78064,1.3092669
203,ACTA1,6.5887375,0.051585507
204,ACTA2,6.5969567,0.03391325
