,gene_symbol,UMAP 0,UMAP 1
0,A1BG,5.034684,7.798036
1,A1CF,8.215927,1.7126825
2,A2M,6.726144,5.81626
3,A2ML1,6.668955,5.8224783
4,A3GALT2,7.550741,6.029456
5,A4GALT,5.890681,5.660747
6,A4GNT,7.9692063,6.2896166
7,AAAS,5.9058986,2.3211198
8,AACS,3.4791505,4.4121666
9,AADAC,6.9748573,4.6042953
10,AADACL2,7.1212263,4.502626
11,AADACL3,6.7878494,4.4476423
12,AADACL4,7.081646,4.44551
13,AADAT,5.5416455,4.2613225
14,AAGAB,9.244907,1.078732
15,AAK1,9.950795,-0.008384713
16,AAMDC,6.924196,3.8373287
17,AAMP,6.751412,2.8816218
18,AANAT,7.0226707,2.8374548
19,AAR2,7.70351,2.340543
20,AARD,8.674565,-1.8247094
21,AARS1,8.40172,3.8153257
22,AARS2,8.1172085,3.352893
23,AARSD1,8.552162,3.7004108
24,AASDH,4.7630115,3.6421342
25,AASDHPPT,4.983585,3.6047313
26,AASS,7.846205,3.9609892
27,AATF,5.629348,1.7401497
28,AATK,7.115091,-0.41531265
29,ABAT,4.1512003,4.2105427
30,ABCA1,8.895563,5.0132484
31,ABCA10,9.183838,5.099243
32,ABCA12,9.363915,4.518944
33,ABCA2,9.27406,4.650778
34,ABCA3,9.000865,5.1923814
35,ABCA4,9.114933,4.965999
36,ABCA5,9.136177,5.127901
37,ABCA6,9.184709,5.0825443
38,ABCA7,7.4098425,5.058393
39,ABCA8,9.105335,5.0310316
40,ABCA9,9.176639,5.132027
41,ABCB1,9.285797,5.483056
42,ABCB10,9.222393,5.5147023
43,ABCB11,9.294203,5.502358
44,ABCB4,9.280659,5.4946923
45,ABCB5,9.275604,5.5170693
46,ABCB6,9.21065,5.3903213
47,ABCB7,9.236017,5.455309
48,ABCB8,9.212868,5.5107455
49,ABCB9,9.292925,5.572255
50,ABCC1,9.273336,5.5010114
51,ABCC10,9.149214,5.576933
52,ABCC11,9.215663,5.392238
53,ABCC12,9.264678,5.377996
54,ABCC2,9.250551,5.4209228
55,ABCC3,9.275076,5.5563345
56,ABCC4,9.266767,5.578568
57,ABCC5,9.271333,5.392675
58,ABCC6,9.138932,5.4552555
59,ABCC8,9.285097,5.368697
60,ABCC9,9.278831,5.3541574
61,ABCD1,9.258244,5.308673
62,ABCD2,9.254571,5.316621
63,ABCD3,9.289578,5.392806
64,ABCD4,9.334118,5.4897413
65,ABCE1,4.303831,3.9752393
66,ABCF1,9.137738,2.033143
67,ABCF2,8.756908,3.0125782
68,ABCF3,8.744873,2.9491086
69,ABCG1,9.331522,5.722766
70,ABCG2,3.389238,4.7693596
71,ABCG4,9.320108,5.728541
72,ABCG5,9.204477,5.336086
73,ABCG8,9.188803,5.2611213
74,ABHD1,5.154192,4.445848
75,ABHD10,5.7188425,3.7832298
76,ABHD11,7.1792064,4.133063
77,ABHD12,3.6540668,4.5545707
78,ABHD12B,7.099106,4.390342
79,ABHD13,7.231677,4.5165095
80,ABHD14A,7.21851,4.268466
81,ABHD14B,8.269258,3.9153435
82,ABHD15,5.1993804,3.1827152
83,ABHD16A,5.9998646,3.2070866
84,ABHD16B,7.6280227,2.8330128
85,ABHD17A,3.5321128,4.4311194
86,ABHD17B,4.1134706,4.26092
87,ABHD17C,3.3974373,4.4470515
88,ABHD18,8.618298,2.7220018
89,ABHD2,7.3024583,3.6499217
90,ABHD3,3.0300112,4.589293
91,ABHD4,7.4733276,4.429745
92,ABHD5,7.540081,4.225454
93,ABHD6,7.3896084,4.1143556
94,ABHD8,8.508673,1.3641136
95,ABI1,10.071293,-0.48382816
96,ABI2,10.05048,-0.7194031
97,ABI3,9.418993,-0.0077905045
98,ABI3BP,6.8912244,7.8558316
99,ABITRAM,4.149625,3.9106464
100,ABL1,8.664962,0.44693363
101,ABL2,8.660482,0.37980646
102,ABLIM1,3.515961,3.665055
103,ABLIM2,6.2896886,1.6622477
104,ABLIM3,6.4549375,1.4752952
105,ABO,4.64636,5.005087
106,ABR,4.0193715,3.5940611
107,ABRA,9.751103,-0.9634462
108,ABRACL,4.0558696,3.4147675
109,ABRAXAS1,9.85505,-0.22122413
110,ABRAXAS2,9.914004,-0.3505484
111,ABT1,7.6397896,1.7668099
112,ABTB1,4.5018926,3.5994747
113,ABTB2,6.517372,2.2552867
114,ABTB3,3.8308809,3.4518487
115,ACAA1,7.964083,4.306251
116,ACAA2,8.023649,4.2695084
117,ACACA,9.367104,2.6877358
118,ACACB,9.578897,2.3989491
119,ACAD10,7.770015,4.0961895
120,ACAD11,7.7082624,4.3543644
