,gene_symbol,UMAP 0,UMAP 1
0,A1BG,7.6830597,5.0696673
1,A1CF,11.668253,5.471713
2,A2M,5.053498,7.3307023
3,A2ML1,5.05239,7.330021
4,A3GALT2,9.547231,9.146922
5,A4GALT,9.3084345,9.102138
6,A4GNT,9.2653475,9.075295
7,AAAS,13.004643,10.133257
8,AACS,19.059195,5.0367026
9,AADAC,8.07216,9.562094
10,AADACL2,8.058204,9.544784
11,AADACL3,8.062622,9.528069
12,AADACL4,8.07538,9.565935
13,AADAT,8.23757,11.140192
14,AAGAB,10.156671,5.7130766
15,AAK1,14.46039,5.858426
16,AAMDC,8.087762,9.351908
17,AAMP,13.191043,10.977887
18,AANAT,8.410408,8.790588
19,AAR2,9.430483,9.176647
20,AARD,9.249001,1.8956044
21,AARS1,9.056776,10.273944
22,AARS2,9.141959,10.223338
23,AARSD1,8.909116,10.000396
24,AASDH,12.4958515,9.755725
25,AASDHPPT,9.032683,8.985275
26,AASS,8.966911,10.283447
27,AATF,10.553871,3.5695431
28,AATK,15.327172,5.782085
29,ABAT,8.239409,11.10537
30,ABCA1,13.373448,8.926958
31,ABCA10,13.359486,9.075984
32,ABCA12,13.37425,8.730015
33,ABCA13,16.004684,7.843269
34,ABCA2,13.403332,8.857217
35,ABCA3,13.379579,9.069257
36,ABCA4,13.380496,8.910633
37,ABCA5,13.353242,9.069495
38,ABCA6,13.342944,9.078688
39,ABCA7,13.41242,8.949483
40,ABCA8,13.329838,9.05969
41,ABCA9,13.363314,9.070876
42,ABCB1,16.127329,-2.5235558
43,ABCB10,16.054695,-2.4470544
44,ABCB11,16.120771,-2.516516
45,ABCB4,16.121302,-2.5172246
46,ABCB5,16.120964,-2.518025
47,ABCB6,16.043747,-2.4347367
48,ABCB7,16.042917,-2.4337273
49,ABCB8,16.074368,-2.4667666
50,ABCB9,16.076437,-2.469376
51,ABCC1,16.111925,-2.5091739
52,ABCC10,16.10658,-2.5029867
53,ABCC11,16.10743,-2.5039933
54,ABCC12,16.105879,-2.5022383
55,ABCC2,16.105148,-2.5021498
56,ABCC3,16.106295,-2.5035264
57,ABCC4,16.10306,-2.501709
58,ABCC5,16.098576,-2.4932852
59,ABCC6,16.091398,-2.4880316
60,ABCC8,16.108414,-2.5029323
61,ABCC9,16.108892,-2.5059197
62,ABCD1,15.943606,-2.3302672
63,ABCD2,15.935528,-2.3230584
64,ABCD3,15.935526,-2.3281908
65,ABCD4,15.962936,-2.3539345
66,ABCE1,8.863763,9.923511
67,ABCF1,11.4531555,7.577894
68,ABCF2,11.095409,8.233286
69,ABCF3,11.105031,8.207971
70,ABCG1,11.17542,10.162761
71,ABCG2,11.164324,10.190234
72,ABCG4,11.192095,10.174374
