gene_symbol,UMAP 0,UMAP 1
A1BG,2.2834926,12.255227
A1CF,-3.8740249,5.679455
A2M,-0.09665508,10.994223
A2ML1,-0.67261165,10.644349
A3GALT2,11.043101,10.414178
A4GALT,6.8557057,12.753365
A4GNT,7.0663724,8.637544
AAAS,7.8435917,11.030558
AACS,2.6226943,12.022207
AADAC,7.281386,6.515924
AADACL2,-1.2062608,5.3351684
AADACL3,0.9536595,10.651156
AADACL4,6.2136235,10.126524
AADAT,5.4837136,8.133228
AAGAB,3.1484642,8.24723
AAMDC,11.9270935,7.642958
AAMP,7.6263,11.331003
AANAT,11.2001295,10.46236
AAR2,5.2283816,11.488662
AARD,5.2354274,8.969887
AARS1,1.9280521,11.792983
AARS2,-0.79106385,12.134314
AARSD1,9.53156,8.940731
AASDH,1.6402516,6.399132
AASDHPPT,3.2216523,5.5135546
AASS,-0.8739443,5.435699
AATF,6.7802687,10.469512
AATK,-1.7897791,12.449004
ABAT,-0.30137977,10.25318
ABCA10,-1.9183611,5.749388
ABCA12,-4.0044913,6.286935
ABCA2,-3.565472,10.377168
ABCA3,-2.625577,11.214722
ABCA4,-2.430445,10.481438
ABCA5,-2.6001725,5.1987967
ABCA6,-1.0327437,6.1794643
ABCA7,-2.9921806,11.043792
ABCA8,-1.8903422,6.6447034
ABCA9,-1.9302932,6.575005
ABCB1,-0.7589055,6.412578
ABCB10,-0.4273968,8.671554
ABCB11,-2.8504298,7.256866
ABCB4,0.30919155,8.150005
ABCB5,-1.1770638,6.3192782
ABCB6,3.8202226,11.989206
ABCB7,0.36496502,6.2998576
ABCB8,-0.28804827,12.555005
ABCB9,2.0903833,13.231474
ABCC1,-2.3992527,10.723508
ABCC10,-0.9089267,12.464497
ABCC11,-1.3757007,10.515603
ABCC12,-2.3520875,10.166014
ABCC2,-1.222657,8.993133
ABCC3,-1.6240083,11.371313
ABCC4,-1.4483179,7.137094
ABCC5,-1.4311484,10.412798
ABCC6,-1.0356206,12.343589
ABCC8,-0.8616113,12.127161
ABCC9,-3.8650184,6.072911
ABCD1,1.4060637,13.620631
ABCD2,-2.2227342,5.2006073
ABCD3,1.8214544,5.238587
ABCD4,3.2672207,10.72668
ABCE1,1.1460247,5.1948247
ABCF1,2.033989,11.332265
ABCF2,0.022342097,10.928058
ABCF2-H2BK1,6.540061,10.406988
ABCF3,5.4894967,11.4477415
ABCG1,3.6654046,11.867781
ABCG2,0.76992965,6.2240405
ABCG4,1.2073389,12.6509
ABCG5,4.0320597,10.039143
ABCG8,-3.0973055,9.138446
ABHD1,9.158172,10.709329
ABHD10,3.7410946,5.3653126
ABHD11,9.766252,10.516387
ABHD12,7.225873,11.455585
ABHD12B,6.567331,9.0282545
ABHD13,-1.122515,5.018646
ABHD14A,10.827914,10.635611
ABHD14A-ACY1,8.682689,11.508033
ABHD14B,8.493153,11.097166
ABHD15,2.458193,11.488375
ABHD16A,6.897061,11.386572
ABHD16B,9.878531,11.961376
ABHD17A,9.497443,12.166368
ABHD17B,2.9814086,8.711491
ABHD17C,4.9648347,9.643629
ABHD18,-1.4057015,5.921135
ABHD2,-3.4951534,7.834846
ABHD3,5.9006014,7.6459494
ABHD4,3.060463,11.653542
ABHD5,-0.5802058,5.164074
ABHD6,5.8375783,9.84618
ABHD8,7.3236,12.8980255
ABI1,1.9756544,5.0916276
ABI2,-2.4696145,7.0975404
ABI3,9.36529,11.327481
ABI3BP,-3.2504675,8.445497
ABITRAM,6.5526514,7.754366
ABL1,-1.2804241,12.278593
ABLIM1,-3.4464865,8.1146755
ABLIM2,1.3892121,12.603236
ABLIM3,0.21473247,11.4260235
ABO,9.854782,10.090011
ABR,-1.408157,11.894363
ABRA,3.8860283,8.074806
ABRACL,8.003213,5.9893436
ABRAXAS1,0.73353714,5.7233806
ABRAXAS2,3.4303951,6.942089
ABT1,3.2246685,9.395663
ABTB1,7.6224046,12.311214
ABTB2,-1.1263107,12.280978
ACAA1,9.063747,10.941945
ACAA2,3.0188222,9.392143
ACACB,-3.801159,9.115426
ACAD10,0.6392614,11.68918
ACAD11,2.6725936,9.151568
ACAD8,6.1759596,9.790112
ACAD9,5.1399794,11.073733
ACADL,4.8985257,7.7542825
ACADM,4.1591516,5.138833
ACADS,8.610127,12.012355
ACADSB,-1.4188246,6.2977486
ACADVL,6.5409093,11.556391
ACAN,-3.7683046,9.275019
ACAP1,5.546746,12.775042
ACAP2,-2.8614476,5.7193685
ACAP3,1.010045,13.6333475
ACAT1,7.5396724,7.3442054
ACAT2,8.290949,7.930293
ACBD3,1.363257,6.197118
ACBD4,8.710047,11.9032545
ACBD5,0.9749512,6.2837954
ACBD6,9.61799,8.918146
ACBD7,2.2329552,8.258378
ACCS,5.5373573,11.707461
ACCSL,7.400959,10.035428
ACD,9.7533455,11.340197
ACE,-0.94811636,12.418805
ACE2,2.454638,7.3059206
ACER1,9.254085,10.314486
ACER2,3.7948508,10.053298
ACER3,-3.0214522,5.988087
ACHE,7.321802,12.769103
ACIN1,0.015174918,11.773697
ACKR1,10.510427,9.987629
ACKR2,3.4521773,10.994446
ACKR3,6.032954,9.0916605
ACKR4,4.1443033,5.477217
ACLY,0.46750668,11.168712
ACMSD,8.728451,7.743098
ACO1,-2.8714359,7.567308
ACO2,4.459132,12.373655
ACOD1,5.9944553,9.455279
ACOT1,8.752342,10.933684
ACOT11,3.1287305,13.002203
ACOT12,6.162501,8.758351
ACOT13,0.9853377,7.2971954
ACOT2,8.733611,10.881353
ACOT4,9.108457,10.573066
ACOT6,9.01601,10.481876
ACOT7,8.588275,12.062628
ACOT8,10.576369,10.095952
ACOT9,0.37993702,9.775569
ACOX1,-2.7985783,6.566503
ACOX2,5.927143,11.495943
ACOX3,4.1712246,11.322494
ACOXL,4.017886,11.528047
ACP1,7.856646,7.0719824
ACP2,6.691049,11.80949
ACP3,2.9044518,8.89147
ACP4,10.360884,11.385862
ACP5,9.722797,10.614616
ACP6,-2.4371133,7.998067
ACP7,4.1890774,12.239673
ACR,9.577385,10.159215
ACRBP,7.898707,11.065617
ACRV1,6.288308,8.120994
ACSBG1,-2.321393,8.80611
ACSBG2,4.3983526,10.202747
ACSF2,6.587889,11.567696
ACSF3,0.8071442,12.982613
ACSL1,1.5453359,9.425227
ACSL3,-0.6384675,5.1911325
ACSL4,0.018585412,5.040803
ACSL5,2.7698383,9.43164
ACSL6,-2.7010303,7.0905952
ACSM1,6.4611483,10.260972
ACSM2A,4.0804234,8.622033
ACSM2B,4.0489707,8.6311035
ACSM3,4.0769644,6.4675407
ACSM4,5.3089166,9.073414
ACSM5,4.033818,10.734667
ACSS1,1.5546869,12.054378
ACSS2,3.7804382,11.4486065
ACSS3,-3.490601,5.542617
ACTA1,9.292779,10.857826
ACTA2,9.346842,9.892399
ACTB,7.7860546,11.035883
ACTBL2,3.5441732,8.139319
ACTC1,9.341763,10.009549
ACTG1,7.270152,11.174655
ACTG2,9.321946,9.999757
ACTL10,9.667614,11.853268
ACTL6A,6.910667,7.638747
ACTL6B,9.565504,10.875571
ACTL7A,9.626014,10.403812
ACTL7B,9.90929,11.515647
ACTL8,7.5697956,11.274643
ACTL9,10.34857,11.390317
ACTN1,1.5745977,11.855876
ACTN2,-0.36665717,9.901436
ACTN3,4.239416,12.91742
ACTN4,-0.96586996,12.278966
ACTR10,4.4889946,6.6537104
ACTR1A,3.8957436,11.971924
ACTR1B,6.2106376,12.002551
ACTR2,1.5114325,5.0060105
ACTR3,-2.6979337,5.5628753
ACTR3B,5.9648814,9.196215
ACTR3C,9.0984,7.8661137
ACTR5,4.884205,10.845876
ACTR6,5.4929924,5.298802
ACTR8,1.6467346,8.3116255
ACTRT1,8.620515,8.60329
ACTRT2,9.728675,11.045069
