,gene_symbol,UMAP 0,UMAP 1
0,A1BG,3.957043,9.94151
1,A1CF,5.480887,17.179783
2,A2M,3.9683633,11.628656
3,A2ML1,3.9855335,11.5627365
4,A3GALT2,2.6771412,14.468382
5,A4GALT,2.5841482,14.482642
6,A4GNT,2.5699482,14.606107
7,AAAS,1.8114549,15.321968
8,AACS,-0.094854094,15.771917
9,AADAC,0.28387538,15.558632
10,AADACL2,0.27331305,15.644718
11,AADACL3,0.2124203,15.663108
12,AADACL4,0.3114375,15.626984
13,AADAT,0.85487723,15.47536
14,AAGAB,-3.1472976,10.60153
15,AAK1,-3.1024187,10.689619
16,AAMDC,0.94939435,15.6060505
17,AAMP,0.3462509,9.949803
18,AANAT,1.696224,15.381912
19,AAR2,-0.21309064,17.110662
20,AARD,-3.833586,8.810584
21,AARS2,2.7982087,15.67975
22,AARSD1,2.7846189,15.662488
23,AASDH,1.132821,15.336391
24,AASDHPPT,0.9801622,15.418468
25,AASS,1.1297163,15.51035
26,AATF,0.37685406,5.706389
27,AATK,-1.0451746,10.038928
28,ABAT,0.8989269,15.624847
29,ABCA1,-1.130855,16.805536
30,ABCA10,-1.1432972,16.847303
31,ABCA12,-1.1583798,16.867
32,ABCA13,-1.149654,16.867023
33,ABCA2,-1.139881,16.855768
34,ABCA3,-1.1265337,16.833035
35,ABCA4,-1.0853417,16.790417
36,ABCA5,-1.120088,16.834648
37,ABCA6,-1.11991,16.807318
38,ABCA7,-1.0370717,16.806667
39,ABCA8,-1.1699055,16.849846
40,ABCA9,-1.1621048,16.871565
41,ABCB1,-1.2018586,16.928038
42,ABCB10,-1.0512931,16.860947
43,ABCB11,-1.1789122,16.788277
44,ABCB4,-1.1660026,16.782772
45,ABCB5,-1.1714065,16.895372
46,ABCB6,-0.97080064,16.829865
47,ABCB7,-0.90558946,16.832464
48,ABCB8,-0.84915197,16.863993
49,ABCB9,-1.1458539,16.887573
50,ABCC1,-1.1736752,16.906645
51,ABCC10,-1.2043566,16.930725
52,ABCC11,-1.1681489,16.877905
53,ABCC12,-1.1486853,16.886705
54,ABCC2,-1.1715746,16.907352
55,ABCC3,-1.1666076,16.891172
56,ABCC4,-1.1697778,16.900648
57,ABCC5,-1.1690804,16.901497
58,ABCC6,-1.1616393,16.898853
59,ABCC8,-1.9362875,16.858213
60,ABCC9,-1.4665756,16.888165
61,ABCD1,-0.9398746,16.692316
62,ABCD2,-0.8470048,16.50029
63,ABCD3,-0.9287886,16.729399
64,ABCD4,-0.8843025,16.710024
65,ABCE1,-1.1380563,16.88157
66,ABCF1,-1.1466606,16.87339
67,ABCF2,-1.1343509,16.879517
68,ABCF3,-1.1816896,16.851158
69,ABCG1,-1.1351848,16.75926
70,ABCG2,-1.1451231,16.864988
71,ABCG4,-1.1427053,16.807634
72,ABCG5,-1.1462673,16.82817
73,ABCG8,-1.1589961,16.835003
74,ABHD1,0.079733856,15.004458
75,ABHD10,0.09155847,15.014302
76,ABHD11,0.07402106,14.978301
77,ABHD12,0.1562898,14.922402
78,ABHD12B,0.10692472,14.940348
79,ABHD13,0.059789266,15.004281
80,ABHD14A,0.079394616,15.025737
81,ABHD14A-ACY1,0.227503,15.127026
82,ABHD14B,0.061516754,15.028736
83,ABHD15,0.089573085,15.023948
84,ABHD16A,0.07400911,14.977481
85,ABHD16B,0.05682966,15.0259495
86,ABHD17A,0.06123183,15.020276
87,ABHD17B,0.052037768,15.013719
88,ABHD17C,0.04489431,15.016091
89,ABHD18,0.06446517,15.03322
90,ABHD2,0.103550844,15.038722
91,ABHD3,0.08395619,14.983582
92,ABHD4,0.09104363,15.0121765
93,ABHD5,0.0346696,15.001275
94,ABHD6,0.039855864,14.996562
95,ABHD8,0.05845473,15.005268
96,ABI1,2.952217,7.1092925
97,ABI2,-1.0964737,9.053022
98,ABI3,-0.77713877,6.817223
99,ABI3BP,-0.5216426,9.118807
100,ABITRAM,0.09351957,15.070662
101,ABL1,-1.0853915,9.019762
102,ABL2,-1.1694748,9.131832
103,ABLIM1,-0.9129036,9.090897
104,ABLIM2,-0.9367539,9.137311
105,ABLIM3,-0.97232604,9.114627
106,ABO,-1.1097616,13.433843
107,ABR,4.1437216,10.265078
108,ABRA,-1.6700104,9.729388
109,ABRACL,-0.8543152,10.630696
110,ABRAXAS1,1.0570153,4.6662464
111,ABRAXAS2,1.0857313,4.5990825
112,ABT1,1.3503271,2.492722
113,ABTB1,2.0738971,6.5013614
114,ABTB2,2.016048,6.4786386
115,ACAA1,-0.040668733,15.717795
116,ACAA2,-0.050105598,15.719415
117,ACACA,-0.0063115098,15.764679
118,ACACB,0.02500301,15.778094
119,ACAD10,0.0010520112,15.607217
120,ACAD11,0.014022219,15.679862
121,ACAD8,0.010963496,15.691069
122,ACAD9,0.012089057,15.6859455
123,ACADL,0.07566561,15.681186
124,ACADM,0.014073225,15.696904
125,ACADS,0.09206638,15.751767
126,ACADSB,-0.014083404,15.61899
127,ACADVL,-0.006551628,15.682776
128,ACAN,0.14658038,11.492173
129,ACAP1,-2.6268656,9.134541
130,ACAP2,-2.4990633,9.181825
131,ACAP3,-2.6109993,9.08056
132,ACAT1,-0.107083336,15.747396
133,ACAT2,-0.16513383,15.512242
134,ACBD3,-0.116984226,15.2285185
135,ACBD4,-0.10384578,15.219273
136,ACBD5,-0.11597042,15.196681
137,ACBD6,-0.09809239,15.194228
138,ACBD7,-0.13091013,15.218717
139,ACCS,0.075706884,15.90342
140,ACCSL,-0.15154132,15.8392935
141,ACD,5.1754737,15.814299
142,ACE,0.9867794,11.885508
143,ACE2,1.0655693,11.865892
144,ACER1,0.6081592,13.894035
145,ACER2,0.6246632,13.891481
146,ACER3,0.6117059,13.870315
147,ACHE,-1.4292707,13.041253
148,ACIN1,1.9947397,7.402293
149,ACKR1,5.351269,10.391667
150,ACKR2,5.323529,10.398704
151,ACKR3,5.3208694,10.396051
152,ACKR4,5.2921977,10.426437
153,ACLY,-0.029629463,15.782585
154,ACMSD,0.72395533,15.761668
155,ACO1,0.015511951,15.994638
156,ACO2,0.10082306,16.010353
157,ACOD1,0.039029196,15.919225
158,ACOT1,-0.18356101,15.59707
159,ACOT11,-0.2089201,15.594354
160,ACOT12,-0.21241115,15.568163
161,ACOT13,-0.22077347,15.588611
162,ACOT2,-0.21328005,15.592137
163,ACOT4,-0.25973505,15.56807
164,ACOT6,-0.21998419,15.585495
165,ACOT7,-0.18571974,15.573332
166,ACOT8,-0.21470644,15.589277
167,ACOT9,-0.20507576,15.585085
168,ACOX1,-0.020398697,15.708501
169,ACOX2,0.00095769746,15.700025
170,ACOX3,-0.038290456,15.7071905
171,ACOXL,-0.02628282,15.695686
172,ACP1,0.37579033,13.6626625
173,ACP2,0.37227088,13.762128
174,ACP4,0.39977345,13.687253
175,ACP5,0.34487718,13.706903
176,ACP6,0.42403954,13.683975
177,ACP7,0.4069453,13.608999
178,ACR,-3.053747,4.685324
179,ACRBP,3.0145843,13.25182
180,ACRV1,-3.0955656,4.7077208
181,ACSBG1,-0.15779719,15.826833
182,ACSBG2,-0.12084657,15.880558
183,ACSF2,-0.12833439,15.848829
184,ACSF3,-0.14576308,15.858327
185,ACSL1,-0.1507451,15.796693
186,ACSL3,-0.1312512,15.825814
187,ACSL4,-0.13845737,15.818478
188,ACSL5,-0.0898492,15.813312
189,ACSL6,-0.125335,15.8513975
190,ACSM1,-0.16024242,15.86669
191,ACSM2A,-0.15799677,15.867122
192,ACSM2B,-0.14813146,15.876148
193,ACSM3,-0.16761974,15.87655
194,ACSM4,-0.20303869,15.86727
195,ACSM5,-0.17708847,15.878384
196,ACSM6,-0.19229972,15.88206
197,ACSS1,-0.14233463,15.8379545
198,ACSS2,-0.13031347,15.896629
199,ACSS3,-0.1735881,15.871697
200,ACTA1,-1.604666,9.66918
201,ACTA2,-1.6447257,9.724562
202,ACTB,-1.5223682,9.4961605
203,ACTBL2,-1.3655994,9.218953
204,ACTC1,-1.680748,9.761033
205,ACTG1,-1.4828106,9.5006695
206,ACTG2,-1.6355398,9.703244
207,ACTL10,-1.4492631,9.305977
208,ACTL6A,-1.4447366,9.236991
209,ACTL6B,-1.3449059,9.205018
210,ACTL7A,-1.3967092,9.295732
211,ACTL7B,-1.416513,9.237963
212,ACTL8,-1.4775648,9.184721
213,ACTL9,-1.5031943,9.211337
214,ACTN1,-1.5074933,9.547242
215,ACTN2,-1.6513115,9.697543
216,ACTN3,-1.646221,9.713419
217,ACTN4,1.1964848,9.621923
218,ACTR10,-1.555438,9.379908
219,ACTR1A,-1.5942895,9.443352
220,ACTR1B,-1.5648811,9.422509
221,ACTR2,-1.5497745,9.40288
222,ACTR3,-1.5760591,9.437558
223,ACTR3B,-1.5408137,9.404033
224,ACTR3C,-1.5659361,9.383912
225,ACTR5,-1.5113657,9.342691
226,ACTR6,-1.5476592,9.373661
227,ACTR8,-1.4933218,9.388669
228,ACTRT1,-1.5432755,9.411485
229,ACTRT2,-1.5551122,9.389635
230,ACTRT3,-1.5886908,9.392031
231,ACVR1,0.5138781,8.861351
232,ACVR1B,0.49311426,8.806754
233,ACVR1C,0.49500483,8.841401
234,ACVR2A,0.53809327,8.849515
235,ACVR2B,0.47081462,8.74776
