,gene_symbol,UMAP 0,UMAP 1
0,A1BG,-0.6680586,8.296647
1,A1CF,3.616798,-1.4266437
2,A2M,4.9746532,3.5581965
3,A2ML1,5.003951,3.5821345
4,A3GALT2,4.193969,3.1359825
5,A4GALT,4.2494454,3.161455
6,A4GNT,4.305638,3.1348197
7,AAAS,5.6164236,-3.9105096
8,AACS,0.0304357,-2.6201093
9,AADAC,1.0044967,-1.8800731
10,AADACL2,0.97895056,-1.8645858
11,AADACL3,1.0312321,-1.9274255
12,AADACL4,1.0737915,-1.9478583
13,AADAT,0.23583272,-2.772136
14,AAGAB,4.7751746,-3.0292528
15,AAK1,6.6509004,-1.7045819
16,AAMDC,0.9258261,-3.067456
17,AAMP,5.2892036,-4.235128
18,AANAT,2.0313933,-2.195078
19,AAR2,5.871004,-3.4714556
20,AARD,7.598418,0.0029456664
21,AARS1,1.0412933,-4.007556
22,AARS2,1.1179943,-3.8525321
23,AARSD1,1.086814,-3.7943141
24,AASDH,1.698683,-2.1603568
25,AASDHPPT,1.7542784,-2.6177263
26,AASS,0.7991202,-2.945616
27,AATF,4.1399198,-2.7810328
28,AATK,7.0443907,-1.2585416
29,ABAT,0.27973834,-2.8196414
30,ABCA1,12.636753,-1.6467803
31,ABCA10,12.639925,-1.6496323
32,ABCA12,12.631577,-1.6510633
33,ABCA13,7.0726633,-4.223609
34,ABCA2,12.624717,-1.65522
35,ABCA3,12.6286745,-1.653416
36,ABCA4,12.628323,-1.6456879
37,ABCA5,12.640242,-1.6454586
38,ABCA6,12.641708,-1.6448762
39,ABCA7,12.611144,-1.658228
40,ABCA8,12.642546,-1.644298
41,ABCA9,12.641468,-1.6466506
42,ABCB1,12.559853,-1.7267896
43,ABCB10,12.512191,-1.7137113
44,ABCB11,12.598285,-1.6901214
45,ABCB4,12.59304,-1.690329
46,ABCB5,12.597869,-1.6912493
47,ABCB6,12.539995,-1.7180933
48,ABCB7,12.536723,-1.726525
49,ABCB8,12.525142,-1.7132487
50,ABCB9,12.547393,-1.7113596
51,ABCC1,12.57221,-1.7131114
52,ABCC10,12.5639105,-1.6992571
53,ABCC11,12.5932255,-1.6845194
54,ABCC12,12.588294,-1.6968615
55,ABCC2,12.5889,-1.6974001
56,ABCC3,12.583759,-1.699793
57,ABCC4,12.585793,-1.699011
58,ABCC5,12.5890875,-1.6945728
59,ABCC6,12.5602865,-1.7022289
60,ABCC8,12.577099,-1.7005099
61,ABCC9,12.576166,-1.704639
62,ABCD1,12.558747,-1.7153372
63,ABCD2,12.568111,-1.7063861
64,ABCD3,12.570235,-1.7077887
65,ABCD4,12.562105,-1.7144299
66,ABCE1,3.2564056,-3.7147803
67,ABCF1,3.4096134,-3.4140303
68,ABCF2,3.340486,-3.5380447
69,ABCF3,3.3348143,-3.4104462
70,ABCG1,12.642032,-1.6436106
71,ABCG2,12.670091,-1.617662
72,ABCG4,12.624335,-1.6568267
73,ABCG5,12.634967,-1.6499834
74,ABCG8,12.636937,-1.6519202
75,ABHD1,1.3072242,-1.9147564
76,ABHD10,1.5427036,-3.061575
77,ABHD11,1.3078051,-2.866681
78,ABHD12,1.4333456,-2.12539
79,ABHD12B,1.3595514,-2.0229526
80,ABHD13,1.2938037,-1.9759121
81,ABHD14A,1.1307746,-2.120051
82,ABHD14B,1.2429085,-2.2977967
83,ABHD15,1.4968708,-1.9968197
84,ABHD16A,1.3698303,-1.9004859
85,ABHD16B,1.3998808,-1.9705573
86,ABHD17A,1.2768595,-1.7958474
87,ABHD17B,1.2715926,-1.9262867
88,ABHD17C,1.2665077,-1.8316259
89,ABHD18,1.373528,-1.9460583
