,gene_symbol,UMAP 0,UMAP 1
0,A1BG,16.284716,10.743926
1,A1CF,8.663771,5.3954396
2,A2M,5.162552,1.1168995
3,A2ML1,5.171873,1.1229317
4,A3GALT2,9.990291,1.1246624
5,A4GALT,9.973045,1.1418484
6,A4GNT,10.013447,1.1363782
7,AAAS,4.8762827,3.4943185
8,AACS,6.3698053,0.6794187
9,AADAC,8.677156,0.94586754
10,AADACL2,8.648156,1.0179775
11,AADACL3,8.670087,1.0121902
12,AADACL4,8.676708,1.0579174
13,AADAT,10.177646,11.345394
14,AAGAB,8.684111,2.8088539
15,AAK1,6.0544267,7.568111
16,AAMDC,8.610923,1.5429617
17,AAMP,4.5995092,2.548478
18,AANAT,8.871553,1.7472762
19,AAR2,8.438522,2.7015526
20,AARD,11.843645,6.6091676
21,AARS1,6.525943,1.6023432
22,AARS2,6.4525757,1.6505147
23,AARSD1,7.520803,1.3494344
24,AASDH,4.4357495,3.8387663
25,AASDHPPT,8.320346,1.7301129
26,AASS,6.4136353,1.8427567
27,AATF,8.00716,7.883477
28,AATK,5.624538,8.395289
29,ABAT,10.150132,11.316069
30,ABCA1,4.258796,6.720151
31,ABCA10,4.1082783,6.606658
32,ABCA12,4.287625,6.7358184
33,ABCA13,5.47681,10.728413
34,ABCA2,4.23402,6.7807407
35,ABCA3,4.018969,6.6039443
36,ABCA4,4.276703,6.7081985
37,ABCA5,4.106214,6.613627
38,ABCA6,4.1019144,6.6032906
39,ABCA7,4.2133894,6.668764
40,ABCA8,4.0979786,6.618564
41,ABCA9,4.114083,6.6204767
42,ABCB1,17.2006,5.7529974
43,ABCB10,16.939337,4.8185163
44,ABCB11,17.20216,5.7553897
45,ABCB4,17.206553,5.7515807
46,ABCB5,17.205648,5.752212
47,ABCB6,16.938862,4.810632
48,ABCB7,16.941404,4.81612
49,ABCB8,16.95082,4.8201723
50,ABCB9,16.937748,4.8103395
51,ABCC1,17.21168,5.7472706
52,ABCC10,17.214596,5.7466383
53,ABCC11,17.21403,5.747009
54,ABCC12,17.214436,5.747148
55,ABCC2,17.214111,5.7475395
