,gene_symbol,UMAP 0,UMAP 1
0,,7.517113,14.182772
1,,11.141233,6.36306
2,,13.652319,3.4652944
3,A1BG,13.615809,3.4696789
4,A1CF,9.959454,12.685126
5,A2M,10.011883,12.704038
6,,10.14803,12.58308
7,A2ML1,6.927967,8.782154
8,,12.100568,11.37637
9,,10.673143,12.225067
10,A3GALT2,10.697317,12.230024
11,A4GALT,10.257523,12.338848
12,A4GNT,10.251177,12.40764
13,,11.5535145,10.679811
14,AAAS,10.9074,9.283133
15,AACS,9.3975,9.941042
16,AADAC,7.0162625,8.829911
17,AADACL2,9.792048,11.580871
18,,10.421577,11.696822
19,AADACL3,9.971881,8.477525
20,AADACL4,12.963629,11.345115
21,AADAT,11.171833,10.797825
22,AAGAB,13.258805,10.311722
23,AAMDC,10.756839,9.947154
24,AAMP,12.365279,11.09585
25,AANAT,11.7621565,8.140276
26,AAR2,11.804073,7.2039294
27,AARD,11.62016,10.866481
28,,14.002606,1.3288023
29,AARS2,13.570258,2.9656742
30,AARSD1,14.00807,1.2539389
31,AASDH,14.036796,1.0878502
32,AASDHPPT,13.767845,2.5499763
33,AASS,14.009535,1.1852434
34,,13.666443,2.8029268
35,AATF,13.52725,2.8741999
36,AATK,14.014783,1.1652439
37,,13.563546,2.953631
38,ABAT,13.573327,2.9639935
39,ABCA1,3.7708166,14.392841
40,ABCA10,11.316437,11.7605095
41,ABCA12,3.7470062,14.343484
42,ABCA2,3.7656174,14.438033
43,ABCA3,3.7590458,14.292722
44,ABCA4,3.784939,13.935059
45,ABCA5,11.279498,11.891205
46,ABCA6,3.699716,13.853355
47,ABCA7,13.580795,2.967955
48,ABCA8,3.8112524,14.291829
49,ABCA9,3.7760332,14.408715
50,ABCB1,3.7826164,14.354795
51,ABCB10,13.577414,2.9823604
52,ABCB11,13.555369,3.0232978
53,ABCB4,3.796866,14.301624
54,ABCB5,3.7412403,14.419171
55,ABCB6,3.7583675,14.424349
56,ABCB8,13.743204,2.4193153
57,ABCB9,13.581342,2.9194608
58,ABCC1,12.078851,11.079182
59,ABCC10,11.569011,11.362965
60,ABCC11,11.196682,11.754265
61,ABCC12,12.221492,10.821775
62,ABCC2,12.639298,9.042712
63,ABCC3,12.287132,10.2198715
64,ABCC4,12.538012,10.857656
65,ABCC5,4.12631,14.052888
66,,4.1159616,13.999112
67,ABCC6,4.1368055,13.965106
68,ABCC8,4.127627,13.994489
69,ABCC9,4.1181464,13.963285
70,ABCD2,10.529863,11.709914
71,ABCD3,10.85814,10.535592
72,ABCD4,10.436047,11.009777
73,ABCE1,10.853233,10.838134
74,ABCF1,10.910319,10.634294
75,ABCF2,10.434731,12.584451
76,,10.294359,11.729903
77,ABCF3,11.387128,11.496851
78,ABCG1,10.026353,11.285283
79,ABCG2,10.019942,12.421262
80,ABCG4,11.947879,11.815738
81,ABCG5,10.192023,12.8585615
82,ABCG8,10.356002,11.602631
83,ABHD1,10.741058,10.4162855
84,ABHD10,9.953288,11.458737
85,ABHD11,11.357767,10.584362
86,ABHD12,11.447523,10.853065
87,ABHD12B,10.907974,11.215915
88,ABHD13,10.7457075,11.324873
89,ABHD14A,11.025895,11.15207
90,ABHD14A-ACY1,10.358967,10.83878
91,ABHD14B,10.155237,11.296926
92,ABHD15,11.856568,6.738919
93,,11.771574,6.760823
94,ABHD16A,10.570017,7.2537284
95,ABHD16B,7.3699594,13.257445
96,ABHD17A,10.281333,9.627351
97,ABHD17B,11.676539,7.2550774
98,ABHD17C,11.673452,7.231513
99,ABHD18,12.087642,7.4745765
100,ABHD2,11.048621,8.021815
101,ABHD3,11.154865,7.759206
102,ABHD4,10.096767,12.640814
103,ABHD5,12.904718,10.233774
104,ABHD6,10.376876,7.661385
105,ABHD8,9.481002,9.648835
