,gene_symbol,UMAP 0,UMAP 1
0,TMX2-CTNND1,-1.7117634,9.473944
1,CD300H,-4.485677,9.915556
2,IFNL4,-3.8785338,9.116732
3,PNLIPRP2,-3.53394,5.4605894
4,FCGR2C,0.15424539,5.989631
5,PYDC1,-2.46885,9.514868
6,PYCR3,-0.37313828,8.816169
7,BAG3,3.5170999,9.029044
8,PXT1,-3.0891435,9.256082
9,PXMP4,-0.21858795,8.4421015
10,PXK,0.40006787,12.780798
11,PUS7L,2.4051187,11.962785
12,PUM2,2.9479046,12.748482
13,PTX3,-0.60094786,6.5361423
14,PTPRU,-1.420741,10.3041
15,PTPRT,1.8354636,14.11938
16,SEMA6A,-0.38409263,12.926976
17,PTPRS,2.7270389,12.916539
18,PTPRQ,-1.7104512,12.404857
19,PTPRO,2.0648425,14.126707
20,PTPRN2,2.2189236,13.939897
21,PTPRG,2.4540293,14.091763
22,PTPRE,1.9910175,13.412348
23,NMI,0.22766371,5.8603578
24,EIF2D,0.99457973,8.842917
25,PMFBP1,-2.4061832,10.758302
26,SMC4,1.9533312,9.738975
27,PTPN7,0.70763296,5.4213915
28,PTPN6,1.0191776,6.0320024
29,PTPN4,2.7244089,13.153624
30,PTPN21,-0.050111808,10.960111
31,OR5A1,-4.0327506,8.989007
32,PTPDC1,1.6026553,12.024474
33,PTPA,-0.6741418,10.476688
34,ZNF567,-0.25304922,9.113471
35,PTP4A2,2.5348253,8.818825
36,FAM71E2,-2.509648,9.101475
37,TIPARP,-0.16823062,6.7975492
38,PTP4A1,-0.052104577,7.024465
39,PTMA,3.3378637,8.620574
40,PTK2B,1.3053432,12.804624
41,ITGA6,-1.3464289,6.4170814
42,PTHLH,-1.5333315,11.328595
43,MERTK,0.25510064,6.052707
44,PTGIS,-1.5048112,7.124847
45,HNRNPC,3.1434724,10.000704
46,SLC6A3,-2.213489,10.901353
47,PTGES2,1.6136811,8.280916
48,PTGES,-0.94073796,6.8320055
49,PTER,-2.9801984,6.978058
50,PTDSS2,-0.54435664,9.99659
51,PTAR1,0.974168,11.079835
52,FURIN,-1.0364869,8.343138
53,PSPC1,2.7770495,12.497957
54,PSORS1C1,-2.8713574,10.658521
55,PSMG4,1.3822786,8.562862
56,PSMG2,2.6884925,8.87587
57,SH3TC2,-0.7451311,12.546274
58,PSMF1,2.033037,7.953399
59,PSME4,2.603562,12.775316
60,PSME3,0.9601452,8.841242
61,ZG16,-3.0729644,5.7986994
62,PSME2,0.8899517,6.1229215
63,C16orf92,-3.622411,10.198251
64,PSMD5,0.06887923,10.243851
65,PLEKHG3,-0.94051427,12.342032
66,PSMD4,2.2692509,8.8209305
67,PSMD13,2.4207742,8.803935
68,PSMC3IP,1.0533137,9.445272
69,TENM1,1.3913593,13.791307
70,PSMB9,0.6768033,5.8689895
71,HS6ST2,1.0082908,13.459918
72,PSMB5,2.4377124,8.4485655
73,PSMB4,2.5787566,8.641384
74,KLHL35,-3.7313042,8.193163
75,TRAT1,0.77345854,5.054182
76,PSKH2,-3.0268462,10.140058
77,GPR150,-3.7387981,9.897798
78,PSIP1,3.0546536,10.552114
79,PSG9,-3.553766,7.902125
80,PSG8,-3.5816329,9.421578
81,NCF4,0.6594274,6.1124845
82,PSG1,-3.495719,7.8959026
83,CXCL6,-0.8018292,6.4960847
84,PSCA,-2.4259176,5.7272053
85,SLC22A14,-0.7397989,10.311553
86,PRY,-3.0918677,8.263207
87,ARL14EPL,-3.731246,9.0805235
88,SELENOI,1.4992044,11.083278
89,PRSS8,-1.6535184,5.829839
90,PRSS57,-0.30914325,5.1587925
91,PRSS53,-2.1256707,9.74329
92,AP3S2,1.1738312,11.201095
93,RAB22A,1.2645926,10.379268
94,PRSS37,-3.080117,9.087098
95,PRSS35,-1.5270075,7.5554833
96,PRSS2,-3.4890993,5.382119
97,SLC1A7,-3.1108296,11.025733
98,PRSS16,-2.8346696,7.5343275
99,LCN8,0.01886599,5.1289573
100,PRRX1,-1.348452,7.0362916
101,PRRT4,-2.0876806,10.308154
102,PRRT2,0.4454169,11.967229
103,PRRG4,-1.7079468,5.92925
104,PRTN3,-0.5090301,5.12752
105,PRRC2A,1.0262545,9.162592
106,TCEAL6,-0.06686503,11.228527
107,PRR32,-3.6006734,8.220601
108,PRR3,0.34580848,10.745686
109,PPP5C,1.2472042,9.149098
110,PRR20G,-3.2227385,10.434172
111,PRR20D,-2.8699334,6.488848
112,NRAS,-0.7053962,9.219432
113,PRR20C,-2.836359,9.170357
114,PRR14,-1.2592419,8.977652
115,PRR13,2.5069373,7.6162086
116,LCE3E,-2.0383744,5.686077
117,PRPF4B,2.9195478,10.636107
118,PRPF40A,2.9579494,10.546693
119,PROZ,-3.4117877,6.8244524
120,PROX2,-2.872366,8.539756
121,ATP5PF,3.074672,8.095201
122,PROX1,-0.9466973,11.610188
123,PROSER2,-2.0253236,8.559118
124,SPANXN5,-3.5015864,9.759765
125,PRODH2,-3.5234072,6.701786
126,GRAP2,0.8798012,5.090644
127,CLIC1,2.6204267,7.42586
128,PIGN,1.8330867,12.08221
129,SLC16A4,-3.2538583,6.756585
130,PRMT7,0.6354208,10.850224
131,PRMT6,-0.6332513,9.0536375
132,PRMT2,2.9802442,13.379184
133,PRM3,-1.4185668,9.507159
134,PRM2,-3.501867,7.6919885
135,VANGL2,-1.7334608,8.966127
136,PRLHR,-2.491104,10.064856
137,PLA2G12A,1.056748,10.696142
138,PRKRA,2.532322,9.591923
139,PRKD1,2.0309684,13.657202
140,PRKCH,-0.100474715,12.408947
141,PCMT1,2.7066844,9.1870985
142,PRKCE,2.3904073,13.818097
143,PRKCA,2.7572706,13.558404
144,PRKAR2B,1.5065948,12.97319
145,PRKACB,2.8695893,13.605504
146,PRKACA,-0.23353618,7.839774
147,PRKAB2,0.19921347,10.398098
148,PRKAB1,0.6596244,8.585801
149,RUNDC3B,2.1424623,13.110106
150,PRH2,-3.3550985,5.3843827
151,PIP5K1A,1.7141684,12.087898
152,PRELID1,2.595464,8.076717
153,PRAMEF12,-3.2851033,8.763779
154,PRDM6,-2.3031762,7.8523784
155,RFXAP,0.7651561,10.774499
156,PRDM2,2.942902,12.341122
157,PRDM15,-0.55053383,10.216128
158,PRDM13,-2.4699767,10.6596575
159,PRDM1,0.9524498,6.518938
160,PRB3,-3.3511462,5.38842
161,BRAT1,-0.65386677,9.041323
162,PRAMEF8,0.5900563,5.406098
163,IGHV3-23,0.45367873,2.2597988
164,PRAMEF25,-3.9160905,9.983613
165,CAV2,-1.0904013,6.358556
166,PRAMEF18,-2.832007,9.874805
167,TEX26,-2.6938434,11.930643
168,PRAMEF14,-3.7936213,9.147593
169,EDIL3,2.6887932,14.026239
170,PRAMEF10,-3.0012348,9.560348
171,PRAC2,1.6202549,9.851215
172,PPY,-3.5287986,7.610115
173,PPRC1,0.13082185,9.251352
174,PPP4R3A,1.8320636,10.7600355
175,PPP3CB,2.226071,12.593806
176,CKAP5,2.3336947,10.84242
177,PPP2R5C,2.9616666,12.739752
178,PTGDR,0.5462341,4.99616
179,PPP2R5A,-0.5518532,12.565522
180,PPP2R3A,1.9262784,12.755892
181,PPP2R2B,2.6097581,14.260891
182,PPP2R1B,-3.5784879,6.8610945
183,DDRGK1,2.1469543,7.9808393
184,PPP1R3G,-2.113414,8.474996
185,RNF31,-1.6662335,8.604171
186,PPP1R3D,-1.2528678,8.932944
187,PPP1R37,-3.2294776,9.146674
188,TMEM131,2.5362937,12.495106
189,ZNF239,-0.35790583,9.344307
190,PPP1R36,-2.9424105,11.501802
191,PPP1R35,-1.5914221,10.440088
192,PPP1R2B,-3.8908832,9.054949
193,ST6GAL2,1.913216,13.615801
194,PPP1R16B,1.863349,13.197984
195,PPP1R13B,2.361315,12.34231
196,C4orf54,-2.79641,8.170959
197,PPP1R11,1.1654049,8.146491
198,PPP1CA,2.4411218,7.886212
199,TRAJ24,-3.4236038,9.245262
200,TRBJ1-4,-4.4579673,9.793821
201,PPM1N,-1.2896925,8.069524
202,CIDEB,-3.005338,6.545704
203,PPM1M,0.41527852,5.9751196
204,PPM1J,-1.6494759,8.594
205,BLVRB,2.3659105,6.882335
206,PPM1E,2.280796,13.821933
207,ATG10,2.335913,12.340967
208,RWDD2A,-0.8251712,9.366436
209,NEO1,2.69984,13.451795
210,PPIL6,-2.28204,12.1731825
211,PPIL2,0.39704975,10.349527
212,CD164L2,-2.730867,12.002763
213,PPIC,-1.2050605,7.3126316
214,PPIB,2.427307,7.709183
215,PPIAL4G,-3.8398254,9.100443
216,PPFIBP1,2.6183517,13.520761
217,NDUFB7,2.7639832,8.117746
218,PPARG,1.0209768,6.4908285
219,PPARD,0.5385402,6.856984
220,PPA2,2.9136612,12.261129
221,POU3F2,-1.9863837,10.912689
222,POU2F2,0.6813415,6.0280004
223,POTEM,-3.0346165,8.6914
224,POTEJ,-3.7055922,8.676068
225,POTEB2,2.0417812,7.102699
226,RNASE13,-3.7656963,10.489732
227,POP1,0.32920268,10.314181
228,BIRC2,-0.15223226,7.2978525
229,POMT2,-0.7575619,9.598539
230,KLC3,-1.9293393,6.2033854
231,ZNF800,2.5432389,11.416114
232,POMP,2.9622226,8.298678
233,PAK6,-1.2316096,9.964583
234,POMGNT1,-1.0835117,10.032381
235,POM121L12,0.8879133,6.551317
236,POLRMT,-0.7549064,8.8371105
237,IL4,-0.47814807,5.39645
238,POLR3GL,0.9857647,8.269011
239,POLR3C,-0.19025709,9.046896
240,NEUROD4,-2.9513688,10.915302
241,OR2Y1,2.4728348,11.040344
242,POLR2I,2.743686,8.137572
243,PIF1,1.6100264,9.751605
244,POLR2G,2.0401113,8.393089
245,POLR2C,1.4426847,8.39719
246,MRPL39,1.4780068,8.864801
247,POLR2B,1.0148556,10.2243595
248,CCDC47,2.0641859,8.927464
249,ADAMTS16,0.5890454,12.439989
250,EPHB6,1.0940689,12.826997
251,KCTD4,-2.5225244,9.975509
252,POLR1E,0.7798286,8.667547
253,FADD,-1.2132962,8.903608
254,HIF3A,-1.2300775,12.100443
255,FAM193B,0.820632,11.718714
256,VIPR2,-2.0444362,7.991171
257,POLG,-0.7977142,9.374787
258,KRT27,-0.55373144,8.35313
259,UGT8,-0.6471478,12.752254
260,POLE,0.7213984,9.565656
261,POLD3,1.4425912,9.919222
262,SNORC,-2.6599128,5.6414385
263,POLD1,1.1772354,9.373903
264,POLA2,1.0541196,9.594462
265,POFUT1,-0.457653,9.428514
266,PODXL2,0.6224136,11.880165
267,MAGEA2,-3.498335,9.502438
268,PODNL1,-2.5353801,9.548789
269,PNPO,-0.43169132,8.999814
270,S100A9,-0.5688781,5.5322556
271,PNP,1.0972211,7.7825356
272,TOX3,1.2611796,13.827125
273,PNMT,2.2906315,6.9038167
274,PNMA8C,-1.0152678,10.192458
275,KDM8,-0.808159,8.521548
276,PNMA8B,-0.6858596,10.790042
277,PNMA8A,0.10703846,11.114726
278,PNMA6A,-1.0313971,10.265971
279,ISG20L2,0.20535202,9.388856
280,PNMA1,0.0471867,11.093647
281,PNLIP,-3.507942,5.423025
282,PNKP,0.17362921,8.808767
283,RBPJL,-3.5603676,5.481895
284,PNCK,0.39158258,11.678345
285,CSTA,-0.6087782,5.572755
286,PMM2,1.2688192,10.401311
287,SYNE4,-1.012586,8.709685
288,PMF1,1.9072928,7.6791635
289,UBA1,1.6641585,8.8300905
290,PMEL,-3.573588,7.5810447
291,RANBP10,1.0551533,11.59802
