,gene_symbol,UMAP 0,UMAP 1
0,A1BG,14.373751,10.616718
1,A1CF,9.333457,3.8846402
2,A2M,10.403171,9.465485
3,A2ML1,10.3761835,9.465682
4,A3GALT2,5.9215484,4.2121687
5,A4GALT,5.8325458,4.24919
6,A4GNT,5.870494,4.2206216
7,AAAS,7.0041013,6.4260864
8,AACS,4.1477976,3.4777472
9,AADAC,5.5907955,2.1164796
10,AADACL2,5.606106,2.153944
11,AADACL3,5.5903716,2.1281855
12,AADACL4,5.587715,2.113434
13,AADAT,4.400411,2.9160235
14,AAGAB,7.729342,2.920465
15,AAK1,8.059184,9.669935
16,AAMDC,6.0902705,2.341977
17,AAMP,6.5563526,6.561127
18,AANAT,6.4486966,2.405254
19,AAR2,6.685867,3.4393694
20,AARD,12.257184,1.3257489
21,AARS1,4.672055,3.7003765
22,AARS2,4.645443,3.7556958
23,AARSD1,5.4029,2.8879678
24,AASDH,9.782525,6.265811
25,AASDHPPT,6.341721,2.8352304
26,AASS,4.4977365,3.69174
27,AATF,7.219346,7.6434436
28,AATK,7.911717,10.609229
29,ABAT,4.472636,3.0192652
30,ABCA1,9.714967,8.394861
31,ABCA10,9.784762,8.427576
32,ABCA12,9.723801,8.391834
33,ABCA13,9.732432,8.144895
34,ABCA2,9.715666,8.390392
35,ABCA3,9.791395,8.445143
36,ABCA4,9.702209,8.396811
37,ABCA5,9.814996,8.461701
38,ABCA6,9.794038,8.437392
39,ABCA7,9.725564,8.382626
40,ABCA8,9.790981,8.442661
41,ABCA9,9.802618,8.449186
42,ABCB1,0.94830537,14.204551
43,ABCB10,4.1470923,11.628713
44,ABCB11,0.9480163,14.204211
45,ABCB4,0.9481689,14.204387
46,ABCB5,0.94794005,14.204375
47,ABCB6,4.152222,11.6047735
48,ABCB7,4.174068,11.579167
49,ABCB8,4.1357255,11.620303
50,ABCB9,4.1487226,11.61509
51,ABCC1,0.9479799,14.204883
52,ABCC10,0.94824183,14.204487
53,ABCC11,0.94859856,14.205584
54,ABCC12,0.9481565,14.204963
55,ABCC2,0.94826204,14.205102
56,ABCC3,0.9482821,14.204921
57,ABCC4,0.9497037,14.20717
58,ABCC5,0.9480852,14.205472
59,ABCC6,0.94770586,14.205467
60,ABCC8,0.94803137,14.20524
61,ABCC9,0.947578,14.205961
62,ABCD1,4.1817183,11.508659
63,ABCD2,4.174868,11.496905
64,ABCD3,4.164316,11.508303
65,ABCD4,4.180723,11.556662
66,ABCE1,6.7705812,5.487124
67,ABCF1,7.420846,5.9657874
68,ABCF2,6.867412,5.5035324
69,ABCF3,6.829005,5.4953613
70,ABCG1,4.1541753,11.53587
71,ABCG2,4.158574,11.541621
72,ABCG4,4.1590204,11.564987
73,ABCG5,4.1694765,11.559182
74,ABCG8,4.147066,11.530827
75,ABHD1,5.7583857,3.1203063
76,ABHD10,6.0100603,2.2070458
77,ABHD11,5.926544,2.2488713
78,ABHD12,6.111048,2.7265494
79,ABHD12B,5.9849663,2.505896
80,ABHD13,5.7759027,2.1529984
81,ABHD14A,5.8484735,2.1399143
82,ABHD14B,5.808073,2.156578
83,ABHD15,6.2672553,3.375776
84,ABHD16A,6.128774,3.8892732
85,ABHD16B,6.156261,3.674448
86,ABHD17A,5.971114,2.427011
87,ABHD17B,5.8989472,2.4025123
88,ABHD17C,6.019978,2.6587162
89,ABHD18,6.2216,3.1482751
90,ABHD2,5.687477,3.1517274
91,ABHD3,5.715116,2.90516
92,ABHD4,5.705927,2.288171
93,ABHD5,5.7030625,2.3146856
94,ABHD6,5.6632395,2.1437235
95,ABHD8,6.7545314,3.3420305
96,ABI1,6.7655797,8.012523
97,ABI2,6.7992826,7.996974
98,ABI3,9.683455,2.879448
99,ABI3BP,7.7104874,9.66878
100,ABITRAM,7.2783327,1.9404837
101,ABL1,8.202022,9.311987
102,ABL2,8.194723,9.366409
103,ABLIM1,7.941046,8.06436
104,ABLIM2,8.483237,5.377632
105,ABLIM3,7.859908,7.907784
106,ABO,5.9162407,4.2095175
107,ABR,7.9258556,5.5279384
108,ABRA,9.912715,2.20173
109,ABRACL,7.562887,2.358884
110,ABRAXAS1,8.509244,3.4120238
111,ABRAXAS2,8.972234,3.3521755
112,ABT1,9.0795765,2.6798778
113,ABTB1,7.4363594,4.2250257
114,ABTB2,8.060621,6.187598
115,ABTB3,8.199308,6.4516397
116,ACAA1,4.4760017,2.728801
117,ACAA2,4.522065,2.7249587
118,ACACA,8.986514,7.4252877
119,ACACB,9.019914,7.361303
120,ACAD10,4.4684157,3.6230145
121,ACAD11,4.45296,3.547311
122,ACAD8,5.879622,-2.1559439
123,ACAD9,4.4350505,3.577891
124,ACADL,5.8781314,-2.156945
125,ACADM,5.8774405,-2.157167
126,ACADS,5.8770394,-2.158039
127,ACADSB,5.8768673,-2.1578584
128,ACADVL,4.455188,3.5755265
129,ACAN,8.293468,10.174243
130,ACAP1,8.661419,5.9083433
131,ACAP2,8.608783,5.896055
132,ACAP3,8.619773,6.065798
133,ACAT1,4.5116634,2.7316
134,ACAT2,4.397586,2.7438288
135,ACBD3,8.410895,5.1451206
136,ACBD4,9.232317,3.0139406
137,ACBD5,6.4777093,8.882023
138,ACBD6,10.134313,4.744328
139,ACBD7,12.380569,3.756094
140,ACCS,4.466206,3.0456002
141,ACCSL,4.4685593,3.0641575
142,ACD,9.409456,3.79298
143,ACE,11.508234,10.283685
144,ACE2,10.473573,11.89163
145,ACER1,2.288666,5.827542
146,ACER2,2.2877862,5.8292375
147,ACER3,2.2825935,5.760397
148,ACHE,12.541665,5.369047
149,ACIN1,7.5459275,10.683987
150,ACKR1,15.639414,15.943147
151,ACKR2,15.728878,15.705322
152,ACKR3,15.776512,15.855052
153,ACKR4,15.727982,15.977946
154,ACLY,4.409411,3.6210685
155,ACMSD,5.308854,2.4189649
156,ACO1,4.4229865,3.5310514
157,ACO2,4.4774055,3.453332
158,ACOD1,4.9908113,3.0335891
159,ACOT1,5.923215,3.005481
160,ACOT11,5.6880536,3.1476693
161,ACOT12,5.652143,3.105698
162,ACOT13,5.851632,2.422125
163,ACOT2,5.9460225,3.152477
164,ACOT4,5.9293513,3.0156586
165,ACOT6,5.9278855,2.915225
166,ACOT7,6.056236,2.769586
167,ACOT7L,5.949433,2.581598
168,ACOT8,6.0571747,2.7668445
169,ACOT9,5.9495406,2.8545654
170,ACOX1,4.438794,3.652198
171,ACOX2,4.45245,3.6286974
172,ACOX3,4.454213,3.6408668
173,ACOXL,4.4452496,3.5952175
174,ACP1,6.0097694,2.2906191
175,ACP2,5.3968086,4.2333493
176,ACP3,5.3825374,4.230634
177,ACP4,5.3605347,4.241217
178,ACP5,5.7935567,3.4278712
179,ACP6,5.3763604,4.2235293
180,ACP7,5.414411,3.9826002
181,ACR,12.873744,11.707163
182,ACRBP,8.775936,5.693716
183,ACRV1,5.692479,8.565502
184,ACSBG1,4.0881615,3.5097907
185,ACSBG2,4.099803,3.484469
186,ACSF2,4.0822263,3.4662173
187,ACSF3,4.0526896,3.4617717
188,ACSL1,4.059905,3.5036507
189,ACSL3,4.0715175,3.510847
190,ACSL4,4.032404,3.51668
191,ACSL5,4.0346155,3.53807
192,ACSL6,4.064478,3.4893644
193,ACSM1,4.0578084,3.457061
194,ACSM2A,4.0959454,3.4388592
195,ACSM2B,4.0892005,3.4484944
196,ACSM3,4.0575414,3.4589643
197,ACSM4,4.0710783,3.4471827
198,ACSM5,4.068742,3.4545822
199,ACSM6,4.0469513,3.4455562
200,ACSS1,4.166561,3.4733815
201,ACSS2,4.1573505,3.470408
202,ACSS3,4.1220255,3.4829938
203,ACTA1,3.3294075,2.179068
204,ACTA2,3.3517306,2.1872177
205,ACTB,3.3404095,2.1857696
206,ACTBL2,3.3126476,2.1844745
207,ACTC1,3.3460646,2.18755
208,ACTG1,3.33446,2.1807632
209,ACTG2,3.3381271,2.1840217
210,ACTL10,3.2341423,2.1765068
211,ACTL6A,3.2694054,2.2111638
212,ACTL6B,3.2530031,2.198825
213,ACTL7A,3.249497,2.1889296
214,ACTL7B,3.2374372,2.1838367
215,ACTL8,3.2555943,2.2040617
216,ACTL9,3.2575774,2.1975715
217,ACTMAP,7.044414,3.1154943
218,ACTN1,10.136339,6.7724524
219,ACTN2,10.158539,6.7423587
220,ACTN3,10.123594,6.735838
221,ACTN4,10.165684,6.740957
222,ACTR10,3.2924945,2.227641
223,ACTR1A,3.2356355,2.1771827
224,ACTR1B,3.234942,2.1790617
225,ACTR2,3.2571292,2.1866884
226,ACTR3,3.2410822,2.1835768
227,ACTR3B,3.2446995,2.1870236
228,ACTR3C,3.2293732,2.1747763
229,ACTR5,6.145897,4.3772287
230,ACTR6,3.266323,2.2096798
231,ACTR8,6.0368495,4.4057584
232,ACTRT1,3.2318022,2.1760051
233,ACTRT2,3.236518,2.1763484
234,ACTRT3,3.234544,2.1817715
235,ACVR1,11.343628,5.8784547
236,ACVR1B,11.35136,5.8858633
237,ACVR1C,11.358294,5.882174
238,ACVR2A,11.347566,5.8840594
239,ACVR2B,11.341063,5.8826795
240,ACVRL1,11.345525,5.8654327
241,ACY1,4.990857,3.3659468
242,ACY3,5.96459,2.8159995
243,ACYP1,6.3469167,2.2476382
244,ACYP2,6.293871,2.244099
245,ADA,5.3890758,2.4864538
246,ADA2,5.4628243,4.3069763
247,ADAD1,8.084813,5.569319
248,ADAD2,8.0734,5.6508107
249,ADAL,5.413816,2.478293
250,ADAM10,11.265702,11.234857
251,ADAM11,11.255777,11.195857
252,ADAM12,11.155439,11.15355
253,ADAM15,11.226764,11.1806555
254,ADAM17,11.191353,11.190673
255,ADAM18,11.282249,11.177641
256,ADAM19,11.158784,11.103264
257,ADAM2,11.310388,11.148834
258,ADAM20,11.301478,11.216093
259,ADAM21,11.311043,11.194513
260,ADAM22,11.1804495,11.163681
261,ADAM23,11.23377,11.221089
262,ADAM28,11.265518,11.227517
263,ADAM29,11.221461,11.161993
264,ADAM30,11.322793,11.224018
265,ADAM32,11.258089,11.206264
266,ADAM33,11.236307,11.195343
267,ADAM5,12.74119,10.516167
268,ADAM7,11.252076,11.219709
269,ADAM8,11.249878,11.174957
270,ADAM9,11.234497,11.215048
271,ADAMDEC1,12.924314,10.748993
272,ADAMTS1,11.1873865,11.162107
273,ADAMTS10,11.082921,10.988385
274,ADAMTS12,10.865818,10.818902
275,ADAMTS13,10.920575,10.872109
276,ADAMTS14,10.9843025,10.983964
277,ADAMTS15,11.211281,11.156312
278,ADAMTS16,11.008711,11.013825
279,ADAMTS17,11.01167,11.001317
280,ADAMTS18,11.021952,11.001477
281,ADAMTS19,10.931723,10.912398
282,ADAMTS2,10.982116,11.039651
283,ADAMTS20,10.939277,10.888638
284,ADAMTS3,10.930493,11.00618
285,ADAMTS4,11.296764,11.193136
286,ADAMTS5,11.179031,11.153942
287,ADAMTS6,11.05553,11.01308
288,ADAMTS7,10.757459,10.673944
289,ADAMTS8,11.233198,11.172639
290,ADAMTS9,10.957335,10.882755
291,ADAMTSL1,10.916206,10.895631
292,ADAMTSL2,10.8431225,10.767409
293,ADAMTSL3,10.897502,10.92831
294,ADAMTSL4,10.818482,10.594365
295,ADAMTSL4-AS1,12.310096,-2.031762
296,ADAMTSL5,12.800749,10.560298
297,ADAP1,8.158401,3.1681056
298,ADAP2,8.131743,3.2137892
299,ADAR,8.099702,6.18199
300,ADARB1,8.130429,5.695714
301,ADARB2,8.137557,5.656584
302,ADARB2-AS1,11.515354,0.68135035
303,ADAT1,8.050933,5.6070304
304,ADAT2,6.0516944,2.3727872
305,ADAT3,6.914792,3.1068225
306,ADCK1,5.601349,3.45882
307,ADCK2,6.3662753,3.8596358
308,ADCK5,5.704647,3.6275942
309,ADCY1,4.8164887,7.1306267
310,ADCY10,9.637427,7.6842537
311,ADCY2,4.808992,7.125167
312,ADCY3,4.8073225,7.1047807
313,ADCY4,4.8052635,7.135549
314,ADCY5,4.8162713,7.1246867
315,ADCY6,4.8139987,7.138361
316,ADCY7,4.802604,7.114186
317,ADCY8,4.828087,7.1115355
318,ADCY9,4.8555293,7.1978087
319,ADCYAP1,11.4986,-0.015780963
320,ADCYAP1R1,5.226398,11.820391
321,ADD1,7.724527,7.289164
322,ADD2,7.734566,7.226353
323,ADD3,7.65959,7.134171
324,ADGB,8.767816,8.519389
325,ADGRA1,7.696387,8.325528
326,ADGRA2,10.483318,10.347155
327,ADGRA3,10.486562,10.343688
328,ADGRB1,10.503925,10.383535
329,ADGRB2,10.472855,10.366463
330,ADGRB3,10.482761,10.359037
331,ADGRD1,10.354481,10.200751
332,ADGRD2,10.467053,10.360638
333,ADGRE1,10.297844,10.17421
334,ADGRE2,10.278433,10.166822
335,ADGRE3,10.288479,10.170903
